subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,0,0.0,7.28178662,1.69718484
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,1,0.1,53.30309055,0.86840916
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,2,0.2,9.81131056,0.62741544
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,3,0.3,-90.32961485,1.93796864
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,4,0.4,16.20847807,1.96151684
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,5,0.5,-12.76815096,0.98998478
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,6,0.6,93.86097069,1.74396039
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,7,0.7,39.57297318,1.59359998
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,8,0.8,-19.22688735,1.3284153
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,9,0.9,-71.99383643,1.90824048
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,10,1.0,5.42324024,1.38687745
KES,0,0,2024-07-18T12:13:33.647Z,english_212.wav,0,pill,7623,19,2,Japanese,m,11,1.09391667,-66.1565739,0.48487656
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,0,0.0,41.8259341,0.17533452
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,1,0.1,17.38671322,1.08757539
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,2,0.2,86.12532741,1.96334993
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,3,0.3,-33.72650973,1.47062591
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,4,0.4,-40.64508362,1.06368379
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,5,0.5,29.34700904,1.07766545
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,6,0.6,-10.62645481,1.32143854
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,7,0.7,-39.23364733,0.74682372
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,8,0.8,1.23936202,0.56607345
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,9,0.9,54.61023708,0.97558446
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,10,1.0,68.93146106,0.53847025
KES,1,0,2024-07-18T12:13:33.647Z,english_653.wav,0,peel,7657,19,2,Japanese,m,11,1.09391667,98.0100566,0.14439152
KES,2,0,2024-07-18T12:13:33.647Z,english_694.wav,0,peel,2164,19,2,Japanese,m,0,0.0,28.89643962,0.23097519
