subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,0,0.0,54.87282188,1.23358014
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,1,0.1,38.39559314,0.90117281
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,2,0.2,45.94024754,1.29672558
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,3,0.3,23.2538411,1.0625388
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,4,0.4,-76.36457338,1.82179424
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,5,0.5,-7.52503837,0.15771982
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,6,0.6,-67.2018033,1.20020733
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,7,0.7,40.79859053,1.72655744
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,8,0.8,-54.00476677,1.68926394
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,9,0.9,-39.47782367,0.81447331
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,10,1.0,13.27455738,0.52461363
KUA,0,0,2024-06-30T18:47:49.786Z,english_160.wav,0,pill,2377,11,1.09391667,82.72582228,1.24111221
KUA,1,0,2024-06-30T18:47:49.786Z,english_838.wav,0,peel,1124,0,0.0,66.81838689,0.11169914
KUA,1,0,2024-06-30T18:47:49.786Z,english_838.wav,0,peel,1124,1,0.1,94.65046979,0.93671825
KUA,1,0,2024-06-30T18:47:49.786Z,english_838.wav,0,peel,1124,2,0.2,91.71604822,0.60356353
KUA,1,0,2024-06-30T18:47:49.786Z,english_838.wav,0,peel,1124,3,0.3,78.43794704,1.60109406
KUA,1,0,2024-06-30T18:47:49.786Z,english_838.wav,0,peel,1124,4,0.4,-73.47833102,0.84291267
