subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,0,0.0,91.86272704,0.9386026
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,1,0.1,-44.43630423,0.33540843
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,2,0.2,72.37874658,1.56241731
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,3,0.3,-59.64407805,1.95211947
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,4,0.4,3.98283537,1.78538666
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,5,0.5,-96.02756859,1.14694298
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,6,0.6,-93.99408703,0.91873994
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,7,0.7,-23.90252883,0.98699904
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,8,0.8,-21.6037345,0.66470347
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,9,0.9,5.15930496,0.74579671
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,10,1.0,-88.86892037,1.08133319
MAN,0,0,2024-06-19T03:25:58.028Z,english_438.wav,0,pill,1229,23,3,Japanese,m,11,1.09391667,6.8489947,0.0772073
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,0,0.0,-39.7925546,0.13458958
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,1,0.1,-49.30113257,1.48324952
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,2,0.2,5.97243806,0.77423602
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,3,0.3,16.41276851,0.11110742
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,4,0.4,72.72751695,0.50050507
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,5,0.5,30.43059144,1.62800327
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,6,0.6,-50.61460993,0.52150538
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,7,0.7,27.35581245,1.33185555
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,8,0.8,-42.43293374,1.57744059
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,9,0.9,65.78948432,0.93033448
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,10,1.0,10.78660964,1.1520653
MAN,1,0,2024-06-19T03:25:58.028Z,english_888.wav,0,peel,1513,23,3,Japanese,m,11,1.09391667,-21.51817703,1.84815249
MAN,2,0,2024-06-19T03:25:58.028Z,english_474.wav,0,pill,1113,23,3,Japanese,m,0,0.0,90.33187361,1.64439586
MAN,2,0,2024-06-19T03:25:58.028Z,english_474.wav,0,pill,1113,23,3,Japanese,m,1,0.1,-6.84069755,1.97409516
