subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,0,0.0,55.6354899,0.91537893
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,1,0.1,-10.72836947,1.07736676
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,2,0.2,-46.3197066,1.00419914
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,3,0.3,14.14356253,1.03753512
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,4,0.4,63.48594027,0.37720192
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,5,0.5,-15.52389471,1.44514108
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,6,0.6,1.31987166,1.5314543
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,7,0.7,3.643619,1.0492436
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,8,0.8,1.08608347,0.46166861
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,9,0.9,18.4969296,1.40405736
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,10,1.0,6.83798229,1.0046827
MIK07221023,0,0,2024-07-22T01:47:21.843Z,english_488.wav,0,peel,9392,11,1.09391667,65.10535749,0.03299625
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,0,0.0,-3.94489453,1.87262136
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,1,0.1,93.78845114,1.5911659
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,2,0.2,-15.4175353,0.77224849
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,3,0.3,69.96206512,1.66276975
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,4,0.4,-2.81275051,0.59757366
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,5,0.5,-99.06344561,1.2271396
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,6,0.6,93.3644365,0.27105927
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,7,0.7,38.15823311,1.13207073
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,8,0.8,51.44383365,0.42497597
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,9,0.9,19.95795113,0.54403667
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,10,1.0,-68.88770698,0.3131135
MIK07221023,1,0,2024-07-22T01:47:21.843Z,english_245.wav,0,pill,629,11,1.09391667,99.45926262,1.0229568
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,0,0.0,-0.71105911,1.19698802
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,1,0.1,-4.76372759,0.64302423
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,2,0.2,66.89870616,0.88986983
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,3,0.3,43.91062915,0.33391225
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,4,0.4,-57.8545691,0.78562285
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,5,0.5,-82.5179259,1.92178158
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,6,0.6,80.42837684,0.82903442
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,7,0.7,96.180933,0.59414127
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,8,0.8,17.6398549,1.2399684
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,9,0.9,-72.53927607,0.09321319
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,10,1.0,-51.27052229,0.68716523
MIK07221023,2,0,2024-07-22T01:47:21.843Z,english_494.wav,0,pill,533,11,1.09391667,16.38241645,1.81410855
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,0,0.0,-70.67724429,1.06843483
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,1,0.1,-71.688049,0.77169117
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,2,0.2,35.51924952,1.46248358
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,3,0.3,-2.11218413,1.49078151
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,4,0.4,-16.43862389,1.12150818
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,5,0.5,42.52341858,1.51009479
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,6,0.6,-45.01562353,1.56291015
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,7,0.7,41.4367476,1.91892948
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,8,0.8,-7.80846777,1.01197455
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,9,0.9,42.15448352,1.4134273
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,10,1.0,92.0591742,1.42236133
MIK07221023,3,0,2024-07-22T01:47:21.843Z,english_353.wav,0,peel,673,11,1.09391667,-12.12221809,0.78816947
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,0,0.0,-21.98271396,1.11106838
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,1,0.1,1.0207487,1.44455779
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,2,0.2,23.02274493,1.42587556
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,3,0.3,85.32608832,1.47521249
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,4,0.4,-33.34189035,1.68905856
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,5,0.5,29.21421043,1.40181913
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,6,0.6,56.26543798,1.46869984
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,7,0.7,7.71467122,0.70433786
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,8,0.8,88.21567756,1.11015014
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,9,0.9,-50.54904275,0.72100932
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,10,1.0,-64.3056321,1.02681764
MIK07221023,4,0,2024-07-22T01:47:21.843Z,english_915.wav,0,pill,1721,11,1.09391667,-64.41259803,0.869897
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,0,0.0,37.27554733,0.5612227
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,1,0.1,24.29830201,1.75747345
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,2,0.2,-43.3040728,1.33602667
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,3,0.3,32.63559677,0.25379983
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,4,0.4,65.75819377,0.46765889
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,5,0.5,93.24268126,0.0945868
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,6,0.6,-15.30697981,1.31767057
MIK07221023,5,0,2024-07-22T01:47:21.843Z,english_125.wav,0,peel,2443,7,0.7,92.42760244,0.46721292
