subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,0,0.0,-68.09670747,1.3485974
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,1,0.1,8.96692918,0.84698507
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,2,0.2,-46.83531772,0.06218337
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,3,0.3,-87.32202155,0.66181265
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,4,0.4,49.65406328,1.9600464
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,5,0.5,92.65716025,0.67849191
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,6,0.6,-17.76161657,0.9118753
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,7,0.7,-85.77085821,0.73811047
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,8,0.8,-31.44799715,0.91861979
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,9,0.9,-32.59755967,1.18816365
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,10,1.0,-96.2091504,1.86623217
MOT,0,0,2024-06-24T03:17:07.225Z,english_556.wav,0,peel,1174,25,4,Japanese,m,11,1.09391667,-0.57982779,0.61760757
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,0,0.0,-59.82766829,1.35471226
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,1,0.1,-4.54284015,0.81191054
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,2,0.2,75.12688257,1.30120799
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,3,0.3,52.77263543,1.91982738
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,4,0.4,-86.38859223,1.85775535
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,5,0.5,22.0573972,0.92799532
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,6,0.6,-81.94223644,0.39882237
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,7,0.7,33.46090425,1.85696096
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,8,0.8,10.59703074,0.26578536
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,9,0.9,74.40481447,1.80594265
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,10,1.0,35.18551728,0.66929464
MOT,1,0,2024-06-24T03:17:07.225Z,english_514.wav,0,pill,2188,25,4,Japanese,m,11,1.09391667,-52.88743611,1.62933111
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,0,0.0,86.77777259,1.86280309
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,1,0.1,88.68008012,0.36705596
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,2,0.2,40.87598241,1.32338867
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,3,0.3,-9.9272537,0.04586245
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,4,0.4,-53.77098496,1.95113809
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,5,0.5,-25.91846693,0.12780271
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,6,0.6,53.05484082,1.4683855
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,7,0.7,46.24971749,0.39810348
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,8,0.8,50.02749475,0.0385797
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,9,0.9,-19.53463888,0.83824927
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,10,1.0,-43.93805989,1.6446619
MOT,2,0,2024-06-24T03:17:07.225Z,english_973.wav,0,pill,1993,25,4,Japanese,m,11,1.09391667,-81.85773857,0.66244145
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,0,0.0,82.81450313,0.83149822
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,1,0.1,87.05662754,1.91463783
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,2,0.2,42.99051807,0.15190796
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,3,0.3,23.32883613,1.60754129
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,4,0.4,48.50951883,0.81229928
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,5,0.5,-47.47339199,1.3748652
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,6,0.6,-9.99119765,1.71927888
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,7,0.7,68.86997334,0.8455295
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,8,0.8,-44.22385081,0.49975448
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,9,0.9,14.75546466,0.2402037
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,10,1.0,-47.31135976,1.02101903
MOT,3,0,2024-06-24T03:17:07.225Z,english_503.wav,0,pill,333,25,4,Japanese,m,11,1.09391667,-18.86254353,1.59376689
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,0,0.0,17.49267602,0.00977258
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,1,0.1,17.59035292,1.17585195
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,2,0.2,83.12376417,1.66932103
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,3,0.3,-81.59474703,0.83160233
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,4,0.4,-99.63264863,1.05024367
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,5,0.5,42.69289025,1.13369845
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,6,0.6,82.55548118,0.21867151
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,7,0.7,15.87479687,0.32447169
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,8,0.8,-15.6323718,1.86350195
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,9,0.9,98.18396958,0.82463705
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,10,1.0,52.83112054,0.94709308
MOT,4,0,2024-06-24T03:17:07.225Z,english_305.wav,0,peel,1155,25,4,Japanese,m,11,1.09391667,33.63343534,0.36254065
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,0,0.0,-62.56630806,1.86832625
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,1,0.1,-47.88948562,0.16089863
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,2,0.2,32.64151801,0.0444821
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,3,0.3,-32.06511913,1.57257602
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,4,0.4,93.60270043,1.42885531
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,5,0.5,26.08771786,1.38538324
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,6,0.6,-3.7007295,1.01058653
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,7,0.7,58.86956752,0.52217054
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,8,0.8,-75.73304048,1.32659726
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,9,0.9,-35.43253665,0.88864926
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,10,1.0,-21.03744822,1.19784945
MOT,5,0,2024-06-24T03:17:07.225Z,english_566.wav,0,peel,709,25,4,Japanese,m,11,1.09391667,-19.58423429,0.92748285
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,0,0.0,76.42112213,1.57802926
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,1,0.1,-97.95203426,1.29835175
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,2,0.2,-59.82746333,0.53636504
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,3,0.3,-13.48573522,1.2021667
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,4,0.4,81.29973607,1.41426839
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,5,0.5,41.3671656,1.60295296
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,6,0.6,-85.98514438,0.58159358
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,7,0.7,57.90232239,0.76199649
MOT,6,0,2024-06-24T03:17:07.225Z,english_445.wav,0,pill,377,25,4,Japanese,m,8,0.8,-95.60547231,0.54097795
