subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,0,0.0,4.92084963,1.82046547
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,1,0.1,-92.73041115,1.60846764
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,2,0.2,-78.94275278,0.68214028
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,3,0.3,36.46358143,0.59431671
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,4,0.4,42.64715022,1.09166662
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,5,0.5,-54.71554497,0.66753255
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,6,0.6,24.90057363,1.53988743
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,7,0.7,42.42034457,1.41871396
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,8,0.8,-11.4569409,0.9466195
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,9,0.9,38.39502629,0.93569824
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,10,1.0,-82.69974188,0.72107622
RIT,0,0,2024-06-27T08:24:47.164Z,english_316.wav,0,pill,3515,11,1.09391667,-39.14916623,1.49118596
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,0,0.0,5.47810166,1.26408321
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,1,0.1,-9.2687044,0.26503637
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,2,0.2,71.91302434,0.46926152
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,3,0.3,-95.14086012,0.64840522
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,4,0.4,81.24819191,0.79568814
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,5,0.5,-43.38316414,0.82256958
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,6,0.6,81.5189634,1.36445651
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,7,0.7,36.28483158,0.42135765
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,8,0.8,68.43717388,0.07801016
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,9,0.9,10.19963637,0.70937824
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,10,1.0,-15.25841054,1.62056491
RIT,1,0,2024-06-27T08:24:47.164Z,english_790.wav,0,pill,3661,11,1.09391667,-62.44422803,1.67467407
RIT,2,0,2024-06-27T08:24:47.164Z,english_70.wav,0,peel,1831,0,0.0,84.7445928,1.85159723
RIT,2,0,2024-06-27T08:24:47.164Z,english_70.wav,0,peel,1831,1,0.1,-17.05936153,0.49913073
