subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,0,0.0,34.76400378,1.78994994
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,1,0.1,-36.42076645,1.4795907
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,2,0.2,-52.38985079,1.80721514
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,3,0.3,98.14853718,1.70059719
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,4,0.4,97.5674754,0.69719837
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,5,0.5,-80.04687885,1.37290399
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,6,0.6,-8.81047571,1.53741575
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,7,0.7,-78.45129318,1.54350611
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,8,0.8,39.54454361,0.49170725
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,9,0.9,32.62160332,1.04663897
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,10,1.0,-98.98158135,0.63020253
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,pill,2010,11,1.09391667,19.08613563,0.96318783
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,0,0.0,74.40610552,1.10397813
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,1,0.1,-14.0058198,0.67044391
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,2,0.2,-43.18870249,1.06331023
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,3,0.3,85.51038869,0.60586728
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,4,0.4,8.36930428,0.11380816
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,5,0.5,-11.10468326,1.21530961
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,6,0.6,0.77760872,1.48658081
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,7,0.7,61.82804998,1.41412243
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,8,0.8,-21.718638,0.93606202
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,9,0.9,-41.58529941,0.40038549
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,10,1.0,22.99211782,0.6748387
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,pill,1051,11,1.09391667,-96.82772328,0.72929926
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,0,0.0,50.7358721,1.24615014
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,1,0.1,-37.41238679,1.8454839
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,2,0.2,-21.91541438,1.76277899
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,3,0.3,67.49251718,0.88473448
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,4,0.4,36.0609863,0.58271182
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,5,0.5,29.68399092,1.46602634
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,6,0.6,69.24169566,1.79468998
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,7,0.7,2.10305954,1.56143928
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,8,0.8,23.93501401,0.46568097
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,9,0.9,-17.64282744,0.5808441
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,10,1.0,80.89116082,1.80196263
YAY,2,0,2024-06-22T16:12:10.035Z,english_584.wav,0,peel,1189,11,1.09391667,-10.99932322,1.58954467
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,0,0.0,63.63841723,1.21965741
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,1,0.1,-16.46655099,1.77063888
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,2,0.2,59.94652085,1.19972221
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,3,0.3,87.91202499,1.09192955
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,4,0.4,-9.72604882,0.69529064
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,5,0.5,72.16172308,1.09710692
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,6,0.6,-64.88013083,1.91297745
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,7,0.7,26.66035036,1.12487674
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,8,0.8,-43.66675722,0.95542007
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,9,0.9,4.29997564,1.3922733
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,10,1.0,-68.31489554,1.61053031
YAY,3,0,2024-06-22T16:12:10.035Z,english_669.wav,0,peel,201,11,1.09391667,-65.69487781,0.28856802
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,0,0.0,-6.61362073,0.69132615
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,1,0.1,16.0389953,1.70453966
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,2,0.2,-15.26495654,1.15898488
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,3,0.3,-82.62165142,0.76725677
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,4,0.4,85.7387579,1.1728167
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,5,0.5,15.3822882,1.82028555
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,6,0.6,-26.54266781,1.83292981
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,7,0.7,-60.18579541,1.929681
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,8,0.8,-28.6472792,0.83713433
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,9,0.9,66.02417384,0.85579123
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,10,1.0,39.52898261,1.16758419
YAY,4,0,2024-06-22T16:12:10.035Z,english_325.wav,0,peel,397,11,1.09391667,-19.70187517,1.84761063
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,0,0.0,23.35137092,0.15397845
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,1,0.1,76.34325819,1.80908671
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,2,0.2,77.87153215,0.91237222
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,3,0.3,45.89033074,0.3916486
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,4,0.4,-92.46008591,1.60354114
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,5,0.5,-89.27810563,0.90173572
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,6,0.6,61.30206765,1.86939155
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,7,0.7,68.07705407,0.57523975
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,8,0.8,47.81218941,0.88835081
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,9,0.9,85.67647673,0.33175344
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,10,1.0,69.08166842,0.8335266
YAY,5,0,2024-06-22T16:12:10.035Z,english_726.wav,0,pill,391,11,1.09391667,71.61978118,0.36613886
YAY,6,0,2024-06-22T16:12:10.035Z,english_326.wav,0,pill,159,0,0.0,-43.10917618,0.92818159
YAY,6,0,2024-06-22T16:12:10.035Z,english_326.wav,0,pill,159,1,0.1,51.71010142,0.32622589
YAY,6,0,2024-06-22T16:12:10.035Z,english_326.wav,0,pill,159,2,0.2,-51.98898793,0.25183357
