subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,0,0.0,56.94082111,1.46471885
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,1,0.1,23.76823823,0.27157125
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,2,0.2,-72.77208824,0.89995591
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,3,0.3,-26.01651227,0.86595775
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,4,0.4,97.95217456,0.99665554
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,5,0.5,-88.35240054,1.5130978
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,6,0.6,8.20957713,0.89371921
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,7,0.7,-0.21457891,0.60499738
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,8,0.8,-22.50054627,0.6752389
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,9,0.9,-26.93782132,0.26345185
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,10,1.0,-9.93952746,0.41919446
YUS,0,0,2024-06-24T06:52:29.917Z,english_183.wav,0,pill,4400,25,4,Japanese,f,11,1.09391667,16.7040789,0.61479122
YUS,1,0,2024-06-24T06:52:29.917Z,english_350.wav,0,pill,2935,25,4,Japanese,f,0,0.0,-49.74850435,0.22554434
YUS,1,0,2024-06-24T06:52:29.917Z,english_350.wav,0,pill,2935,25,4,Japanese,f,1,0.1,68.30317627,1.05889666
YUS,1,0,2024-06-24T06:52:29.917Z,english_350.wav,0,pill,2935,25,4,Japanese,f,2,0.2,-65.19955472,1.66837242
YUS,1,0,2024-06-24T06:52:29.917Z,english_350.wav,0,pill,2935,25,4,Japanese,f,3,0.3,16.55905503,1.26247407
YUS,1,0,2024-06-24T06:52:29.917Z,english_350.wav,0,pill,2935,25,4,Japanese,f,4,0.4,-91.2937095,1.50505412
