subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch,stretch,age,english,language,sex
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,0,0,34.76400378,1.78994994,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,1,0.1,-36.42076645,1.4795907,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,2,0.2,-52.38985079,1.80721514,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,3,0.3,98.14853718,1.70059719,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,4,0.4,97.5674754,0.69719837,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,5,0.5,-80.04687885,1.37290399,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,6,0.6,-8.81047571,1.53741575,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,7,0.7,-78.45129318,1.54350611,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,8,0.8,39.54454361,0.49170725,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,9,0.9,32.62160332,1.04663897,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,10,1,-98.98158135,0.63020253,,,,
YAY,0,0,2024-06-22T16:12:10.035Z,english_624.wav,0,0,2010,11,1.09391667,19.08613563,0.96318783,,,,
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,0,1051,0,0,74.40610552,1.10397813,,,,
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,0,1051,1,0.1,-14.0058198,0.67044391,,,,
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,0,1051,2,0.2,-43.18870249,1.06331023,,,,
YAY,1,0,2024-06-22T16:12:10.035Z,english_903.wav,0,0,1051,3,0.3,85.51038869,0.60586728,,,,
