subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
AKY,0,0,2024-06-29T07:52:56.098Z,english_137.wav,0,peel,8969,52,4,Japanese,f,0,0.0,-81.54177422,0.16940048
AKY,0,0,2024-06-29T07:52:56.098Z,english_137.wav,0,peel,8969,52,4,Japanese,f,1,0.1,48.50229113,1.33204053
AKY,0,0,2024-06-29T07:52:56.098Z,english_137.wav,0,peel,8969,52,4,Japanese,f,2,0.2,-43.40912925,1.8593258
AKY,0,0,2024-06-29T07:52:56.098Z,english_137.wav,0,peel,8969,52,4,Japanese,f,3,0.3,54.89578869,1.77805515
AKY,0,0,2024-06-29T07:52:56.098Z,english_137.wav,0,peel,8969,52,4,Japanese,f,4,0.32341667,90.09778797,1.80981769
AKY,1,0,2024-06-29T07:52:56.098Z,english_431.wav,0,peel,7468,52,4,Japanese,f,0,0.0,-28.91437381,1.3282391
AKY,1,0,2024-06-29T07:52:56.098Z,english_431.wav,0,peel,7468,52,4,Japanese,f,1,0.1,30.6479342,1.9405757
AKY,1,0,2024-06-29T07:52:56.098Z,english_431.wav,0,peel,7468,52,4,Japanese,f,2,0.2,41.25713347,1.67607787
AKY,1,0,2024-06-29T07:52:56.098Z,english_431.wav,0,peel,7468,52,4,Japanese,f,3,0.3,9.19018397,0.62213613
AKY,1,0,2024-06-29T07:52:56.098Z,english_431.wav,0,peel,7468,52,4,Japanese,f,4,0.32341667,-61.77590044,0.50881411
AKY,2,0,2024-06-29T07:52:56.098Z,english_310.wav,0,peel,5649,52,4,Japanese,f,0,0.0,82.1385274,0.14341218
AKY,2,0,2024-06-29T07:52:56.098Z,english_310.wav,0,peel,5649,52,4,Japanese,f,1,0.1,-33.74608058,1.80934389
AKY,2,0,2024-06-29T07:52:56.098Z,english_310.wav,0,peel,5649,52,4,Japanese,f,2,0.2,62.12487376,1.28785402
AKY,2,0,2024-06-29T07:52:56.098Z,english_310.wav,0,peel,5649,52,4,Japanese,f,3,0.3,96.31437548,1.13060378
AKY,2,0,2024-06-29T07:52:56.098Z,english_310.wav,0,peel,5649,52,4,Japanese,f,4,0.32341667,-23.64802517,1.05137249
AKY,3,0,2024-06-29T07:52:56.098Z,english_872.wav,0,peel,3494,52,4,Japanese,f,0,0.0,0.56374655,0.10935802
AKY,3,0,2024-06-29T07:52:56.098Z,english_872.wav,0,peel,3494,52,4,Japanese,f,1,0.1,-70.88107799,0.91778609
AKY,3,0,2024-06-29T07:52:56.098Z,english_872.wav,0,peel,3494,52,4,Japanese,f,2,0.2,6.46677515,1.38740199
AKY,3,0,2024-06-29T07:52:56.098Z,english_872.wav,0,peel,3494,52,4,Japanese,f,3,0.3,-23.51354109,0.12682507
AKY,3,0,2024-06-29T07:52:56.098Z,english_872.wav,0,peel,3494,52,4,Japanese,f,4,0.32341667,81.64578493,0.71067476
AKY,4,0,2024-06-29T07:52:56.098Z,english_649.wav,0,peel,5047,52,4,Japanese,f,0,0.0,65.82222467,0.56154429
AKY,4,0,2024-06-29T07:52:56.098Z,english_649.wav,0,peel,5047,52,4,Japanese,f,1,0.1,-9.35575527,0.64767017
AKY,4,0,2024-06-29T07:52:56.098Z,english_649.wav,0,peel,5047,52,4,Japanese,f,2,0.2,-91.83315911,0.84538271
AKY,4,0,2024-06-29T07:52:56.098Z,english_649.wav,0,peel,5047,52,4,Japanese,f,3,0.3,79.30022345,0.4979411
AKY,4,0,2024-06-29T07:52:56.098Z,english_649.wav,0,peel,5047,52,4,Japanese,f,4,0.32341667,45.86180924,0.89353148
AKY,5,0,2024-06-29T07:52:56.098Z,english_160.wav,0,peel,5267,52,4,Japanese,f,0,0.0,2.54964477,0.54357393
AKY,5,0,2024-06-29T07:52:56.098Z,english_160.wav,0,peel,5267,52,4,Japanese,f,1,0.1,26.84692557,1.29343216
AKY,5,0,2024-06-29T07:52:56.098Z,english_160.wav,0,peel,5267,52,4,Japanese,f,2,0.2,72.58457191,0.42070854
AKY,5,0,2024-06-29T07:52:56.098Z,english_160.wav,0,peel,5267,52,4,Japanese,f,3,0.3,-6.94481249,1.04489529
AKY,5,0,2024-06-29T07:52:56.098Z,english_160.wav,0,peel,5267,52,4,Japanese,f,4,0.32341667,35.80656171,0.26802137
AKY,6,0,2024-06-29T07:52:56.098Z,english_864.wav,0,peel,8493,52,4,Japanese,f,0,0.0,-41.66547405,0.15536101
AKY,6,0,2024-06-29T07:52:56.098Z,english_864.wav,0,peel,8493,52,4,Japanese,f,1,0.1,47.36949562,1.78739046
AKY,6,0,2024-06-29T07:52:56.098Z,english_864.wav,0,peel,8493,52,4,Japanese,f,2,0.2,87.97635609,1.48310956
AKY,6,0,2024-06-29T07:52:56.098Z,english_864.wav,0,peel,8493,52,4,Japanese,f,3,0.3,-18.88921291,0.35838492
AKY,6,0,2024-06-29T07:52:56.098Z,english_864.wav,0,peel,8493,52,4,Japanese,f,4,0.32341667,13.88839096,0.21709894
AKY,7,0,2024-06-29T07:52:56.098Z,english_366.wav,0,pill,6339,52,4,Japanese,f,0,0.0,30.08929792,0.87054072
AKY,7,0,2024-06-29T07:52:56.098Z,english_366.wav,0,pill,6339,52,4,Japanese,f,1,0.1,-17.9139155,0.34658018
AKY,7,0,2024-06-29T07:52:56.098Z,english_366.wav,0,pill,6339,52,4,Japanese,f,2,0.2,-66.75779592,0.49970414
AKY,7,0,2024-06-29T07:52:56.098Z,english_366.wav,0,pill,6339,52,4,Japanese,f,3,0.3,77.64459909,1.94720887
AKY,7,0,2024-06-29T07:52:56.098Z,english_366.wav,0,pill,6339,52,4,Japanese,f,4,0.32341667,72.64294537,1.76390144
AKY,8,0,2024-06-29T07:52:56.098Z,english_671.wav,0,pill,1851,52,4,Japanese,f,0,0.0,32.91930287,1.74193101
AKY,8,0,2024-06-29T07:52:56.098Z,english_671.wav,0,pill,1851,52,4,Japanese,f,1,0.1,6.16976114,0.51820224
AKY,8,0,2024-06-29T07:52:56.098Z,english_671.wav,0,pill,1851,52,4,Japanese,f,2,0.2,-34.00390264,0.07120536
AKY,8,0,2024-06-29T07:52:56.098Z,english_671.wav,0,pill,1851,52,4,Japanese,f,3,0.3,18.374511,0.3828633
