subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
AYN,0,0,2024-07-07T09:06:52.758Z,english_234.wav,0,pill,1885,0,0.0,-96.19421376,0.0948498
AYN,0,0,2024-07-07T09:06:52.758Z,english_234.wav,0,pill,1885,1,0.1,96.13097212,1.36649532
AYN,0,0,2024-07-07T09:06:52.758Z,english_234.wav,0,pill,1885,2,0.2,-68.61115628,0.00312314
AYN,0,0,2024-07-07T09:06:52.758Z,english_234.wav,0,pill,1885,3,0.3,58.3624958,0.01269103
AYN,0,0,2024-07-07T09:06:52.758Z,english_234.wav,0,pill,1885,4,0.32341667,60.51337125,1.76377265
AYN,1,0,2024-07-07T09:06:52.758Z,english_863.wav,0,peel,1485,0,0.0,52.03013683,1.83111202
AYN,1,0,2024-07-07T09:06:52.758Z,english_863.wav,0,peel,1485,1,0.1,21.53783975,0.9779226
AYN,1,0,2024-07-07T09:06:52.758Z,english_863.wav,0,peel,1485,2,0.2,-42.8061331,1.19089157
AYN,1,0,2024-07-07T09:06:52.758Z,english_863.wav,0,peel,1485,3,0.3,-9.69253087,0.269847
AYN,1,0,2024-07-07T09:06:52.758Z,english_863.wav,0,peel,1485,4,0.32341667,56.44290307,0.87913369
AYN,2,0,2024-07-07T09:06:52.758Z,english_800.wav,0,pill,1502,0,0.0,-9.91001254,0.13142639
AYN,2,0,2024-07-07T09:06:52.758Z,english_800.wav,0,pill,1502,1,0.1,-86.79409322,1.71040153
AYN,2,0,2024-07-07T09:06:52.758Z,english_800.wav,0,pill,1502,2,0.2,-27.39997365,0.18637657
AYN,2,0,2024-07-07T09:06:52.758Z,english_800.wav,0,pill,1502,3,0.3,13.46737707,1.09766523
AYN,2,0,2024-07-07T09:06:52.758Z,english_800.wav,0,pill,1502,4,0.32341667,-32.56208711,1.57940615
AYN,3,0,2024-07-07T09:06:52.758Z,english_812.wav,0,peel,1450,0,0.0,70.24469457,0.85599223
AYN,3,0,2024-07-07T09:06:52.758Z,english_812.wav,0,peel,1450,1,0.1,-27.51466786,0.39005905
AYN,3,0,2024-07-07T09:06:52.758Z,english_812.wav,0,peel,1450,2,0.2,60.55844263,1.43275618
AYN,3,0,2024-07-07T09:06:52.758Z,english_812.wav,0,peel,1450,3,0.3,52.93607499,1.34329238
AYN,3,0,2024-07-07T09:06:52.758Z,english_812.wav,0,peel,1450,4,0.32341667,74.74872052,0.96810209
AYN,4,0,2024-07-07T09:06:52.758Z,english_954.wav,0,peel,1492,0,0.0,-31.7323473,1.78985335
AYN,4,0,2024-07-07T09:06:52.758Z,english_954.wav,0,peel,1492,1,0.1,26.42807939,1.38754521
AYN,4,0,2024-07-07T09:06:52.758Z,english_954.wav,0,peel,1492,2,0.2,22.25968883,1.54917493
AYN,4,0,2024-07-07T09:06:52.758Z,english_954.wav,0,peel,1492,3,0.3,-25.30270181,1.54718362
AYN,4,0,2024-07-07T09:06:52.758Z,english_954.wav,0,peel,1492,4,0.32341667,46.97185243,0.09638929
AYN,5,0,2024-07-07T09:06:52.758Z,english_913.wav,0,peel,2307,0,0.0,27.9375346,0.72243167
AYN,5,0,2024-07-07T09:06:52.758Z,english_913.wav,0,peel,2307,1,0.1,41.67879689,1.59129257
