subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
AYT,0,0,2024-06-29T09:52:24.879Z,english_889.wav,0,pill,1530,19,5,Japanese,F,0,0.0,-92.0683747,0.69619005
AYT,0,0,2024-06-29T09:52:24.879Z,english_889.wav,0,pill,1530,19,5,Japanese,F,1,0.1,92.92883541,1.46059979
AYT,0,0,2024-06-29T09:52:24.879Z,english_889.wav,0,pill,1530,19,5,Japanese,F,2,0.2,-38.78028918,1.13034103
AYT,0,0,2024-06-29T09:52:24.879Z,english_889.wav,0,pill,1530,19,5,Japanese,F,3,0.3,33.48812202,1.0639125
AYT,0,0,2024-06-29T09:52:24.879Z,english_889.wav,0,pill,1530,19,5,Japanese,F,4,0.32341667,68.79643169,0.42066581
AYT,1,0,2024-06-29T09:52:24.879Z,english_877.wav,0,peel,716,19,5,Japanese,F,0,0.0,49.36401037,1.25510861
AYT,1,0,2024-06-29T09:52:24.879Z,english_877.wav,0,peel,716,19,5,Japanese,F,1,0.1,15.17280231,0.84700305
AYT,1,0,2024-06-29T09:52:24.879Z,english_877.wav,0,peel,716,19,5,Japanese,F,2,0.2,22.36436744,0.32703774
AYT,1,0,2024-06-29T09:52:24.879Z,english_877.wav,0,peel,716,19,5,Japanese,F,3,0.3,-25.51979868,1.72637958
AYT,1,0,2024-06-29T09:52:24.879Z,english_877.wav,0,peel,716,19,5,Japanese,F,4,0.32341667,-55.72443313,0.52117686
AYT,2,0,2024-06-29T09:52:24.879Z,english_126.wav,0,peel,619,19,5,Japanese,F,0,0.0,-71.89060105,0.84485729
AYT,2,0,2024-06-29T09:52:24.879Z,english_126.wav,0,peel,619,19,5,Japanese,F,1,0.1,-54.28004149,1.61340521
AYT,2,0,2024-06-29T09:52:24.879Z,english_126.wav,0,peel,619,19,5,Japanese,F,2,0.2,67.0997098,1.10892805
AYT,2,0,2024-06-29T09:52:24.879Z,english_126.wav,0,peel,619,19,5,Japanese,F,3,0.3,-96.31741745,1.20133652
AYT,2,0,2024-06-29T09:52:24.879Z,english_126.wav,0,peel,619,19,5,Japanese,F,4,0.32341667,22.67293764,0.33470898
AYT,3,0,2024-06-29T09:52:24.879Z,english_834.wav,0,pill,751,19,5,Japanese,F,0,0.0,-64.94927172,0.98752234
AYT,3,0,2024-06-29T09:52:24.879Z,english_834.wav,0,pill,751,19,5,Japanese,F,1,0.1,49.61052881,1.31122352
AYT,3,0,2024-06-29T09:52:24.879Z,english_834.wav,0,pill,751,19,5,Japanese,F,2,0.2,-25.04715585,0.09065599
AYT,3,0,2024-06-29T09:52:24.879Z,english_834.wav,0,pill,751,19,5,Japanese,F,3,0.3,95.09819394,1.07854905
AYT,3,0,2024-06-29T09:52:24.879Z,english_834.wav,0,pill,751,19,5,Japanese,F,4,0.32341667,84.16953653,1.76453498
AYT,4,0,2024-06-29T09:52:24.879Z,english_533.wav,0,pill,1837,19,5,Japanese,F,0,0.0,-10.36570298,0.10013008
AYT,4,0,2024-06-29T09:52:24.879Z,english_533.wav,0,pill,1837,19,5,Japanese,F,1,0.1,-67.04420928,1.73583104
AYT,4,0,2024-06-29T09:52:24.879Z,english_533.wav,0,pill,1837,19,5,Japanese,F,2,0.2,-31.24691396,1.00550506
AYT,4,0,2024-06-29T09:52:24.879Z,english_533.wav,0,pill,1837,19,5,Japanese,F,3,0.3,-22.73912087,1.21009828
AYT,4,0,2024-06-29T09:52:24.879Z,english_533.wav,0,pill,1837,19,5,Japanese,F,4,0.32341667,-4.63915005,1.69946188
AYT,5,0,2024-06-29T09:52:24.879Z,english_995.wav,0,pill,1321,19,5,Japanese,F,0,0.0,49.33707883,0.89732458
AYT,5,0,2024-06-29T09:52:24.879Z,english_995.wav,0,pill,1321,19,5,Japanese,F,1,0.1,54.78730957,0.49662083
AYT,5,0,2024-06-29T09:52:24.879Z,english_995.wav,0,pill,1321,19,5,Japanese,F,2,0.2,-5.99414072,0.83265132
AYT,5,0,2024-06-29T09:52:24.879Z,english_995.wav,0,pill,1321,19,5,Japanese,F,3,0.3,26.8687238,1.32035917
AYT,5,0,2024-06-29T09:52:24.879Z,english_995.wav,0,pill,1321,19,5,Japanese,F,4,0.32341667,38.3348194,1.99869744
AYT,6,0,2024-06-29T09:52:24.879Z,english_205.wav,0,peel,650,19,5,Japanese,F,0,0.0,55.03693902,1.41699591
AYT,6,0,2024-06-29T09:52:24.879Z,english_205.wav,0,peel,650,19,5,Japanese,F,1,0.1,59.05347117,0.25749205
AYT,6,0,2024-06-29T09:52:24.879Z,english_205.wav,0,peel,650,19,5,Japanese,F,2,0.2,-51.93258482,1.78695407
AYT,6,0,2024-06-29T09:52:24.879Z,english_205.wav,0,peel,650,19,5,Japanese,F,3,0.3,-18.66886592,0.11157042
AYT,6,0,2024-06-29T09:52:24.879Z,english_205.wav,0,peel,650,19,5,Japanese,F,4,0.32341667,-25.16213195,1.74030417
AYT,7,0,2024-06-29T09:52:24.879Z,english_470.wav,0,peel,429,19,5,Japanese,F,0,0.0,-20.39789813,1.83124966
AYT,7,0,2024-06-29T09:52:24.879Z,english_470.wav,0,peel,429,19,5,Japanese,F,1,0.1,20.62750989,0.41787925
AYT,7,0,2024-06-29T09:52:24.879Z,english_470.wav,0,peel,429,19,5,Japanese,F,2,0.2,-59.78251605,1.85790598
AYT,7,0,2024-06-29T09:52:24.879Z,english_470.wav,0,peel,429,19,5,Japanese,F,3,0.3,-88.74051682,0.99710793
AYT,7,0,2024-06-29T09:52:24.879Z,english_470.wav,0,peel,429,19,5,Japanese,F,4,0.32341667,8.31634628,0.56985764
AYT,8,0,2024-06-29T09:52:24.879Z,english_267.wav,0,pill,1024,19,5,Japanese,F,0,0.0,-83.13365237,1.47105267
AYT,8,0,2024-06-29T09:52:24.879Z,english_267.wav,0,pill,1024,19,5,Japanese,F,1,0.1,76.30308178,0.87521108
AYT,8,0,2024-06-29T09:52:24.879Z,english_267.wav,0,pill,1024,19,5,Japanese,F,2,0.2,53.87961391,1.04060287
AYT,8,0,2024-06-29T09:52:24.879Z,english_267.wav,0,pill,1024,19,5,Japanese,F,3,0.3,62.72167491,0.25080793
AYT,8,0,2024-06-29T09:52:24.879Z,english_267.wav,0,pill,1024,19,5,Japanese,F,4,0.32341667,-33.79574379,1.11989054
AYT,9,0,2024-06-29T09:52:24.879Z,english_7.wav,0,pill,929,19,5,Japanese,F,0,0.0,-21.06405819,1.08184232
AYT,9,0,2024-06-29T09:52:24.879Z,english_7.wav,0,pill,929,19,5,Japanese,F,1,0.1,52.71042782,0.36719269
AYT,9,0,2024-06-29T09:52:24.879Z,english_7.wav,0,pill,929,19,5,Japanese,F,2,0.2,-75.60464889,0.43185312
AYT,9,0,2024-06-29T09:52:24.879Z,english_7.wav,0,pill,929,19,5,Japanese,F,3,0.3,-40.56941306,0.01474265
AYT,9,0,2024-06-29T09:52:24.879Z,english_7.wav,0,pill,929,19,5,Japanese,F,4,0.32341667,63.70656894,0.90880476
AYT,10,0,2024-06-29T09:52:24.879Z,english_35.wav,0,pill,3761,19,5,Japanese,F,0,0.0,-35.14158545,0.855771
AYT,10,0,2024-06-29T09:52:24.879Z,english_35.wav,0,pill,3761,19,5,Japanese,F,1,0.1,-54.49669119,0.5452371
AYT,10,0,2024-06-29T09:52:24.879Z,english_35.wav,0,pill,3761,19,5,Japanese,F,2,0.2,37.91149238,1.65995376
AYT,10,0,2024-06-29T09:52:24.879Z,english_35.wav,0,pill,3761,19,5,Japanese,F,3,0.3,-55.38086503,0.74505496
AYT,10,0,2024-06-29T09:52:24.879Z,english_35.wav,0,pill,3761,19,5,Japanese,F,4,0.32341667,54.77667999,0.83530932
AYT,11,0,2024-06-29T09:52:24.879Z,english_988.wav,0,pill,1348,19,5,Japanese,F,0,0.0,23.53561789,0.18772999
AYT,11,0,2024-06-29T09:52:24.879Z,english_988.wav,0,pill,1348,19,5,Japanese,F,1,0.1,39.09545525,0.71537172
AYT,11,0,2024-06-29T09:52:24.879Z,english_988.wav,0,pill,1348,19,5,Japanese,F,2,0.2,-32.2225044,0.50944864
AYT,11,0,2024-06-29T09:52:24.879Z,english_988.wav,0,pill,1348,19,5,Japanese,F,3,0.3,5.54449519,0.59930705
AYT,11,0,2024-06-29T09:52:24.879Z,english_988.wav,0,pill,1348,19,5,Japanese,F,4,0.32341667,-94.58480047,1.43881296
AYT,12,0,2024-06-29T09:52:24.879Z,english_304.wav,0,pill,1205,19,5,Japanese,F,0,0.0,-80.7192326,0.54130022
AYT,12,0,2024-06-29T09:52:24.879Z,english_304.wav,0,pill,1205,19,5,Japanese,F,1,0.1,34.14230443,0.20766845
AYT,12,0,2024-06-29T09:52:24.879Z,english_304.wav,0,pill,1205,19,5,Japanese,F,2,0.2,-43.78548789,1.25157904
AYT,12,0,2024-06-29T09:52:24.879Z,english_304.wav,0,pill,1205,19,5,Japanese,F,3,0.3,85.79520644,0.76195837
AYT,12,0,2024-06-29T09:52:24.879Z,english_304.wav,0,pill,1205,19,5,Japanese,F,4,0.32341667,-29.32737886,0.20991234
AYT,13,0,2024-06-29T09:52:24.879Z,english_104.wav,0,peel,2651,19,5,Japanese,F,0,0.0,42.44693926,0.1741435
AYT,13,0,2024-06-29T09:52:24.879Z,english_104.wav,0,peel,2651,19,5,Japanese,F,1,0.1,82.22484934,0.11379641
AYT,13,0,2024-06-29T09:52:24.879Z,english_104.wav,0,peel,2651,19,5,Japanese,F,2,0.2,7.21737924,1.60376175
AYT,13,0,2024-06-29T09:52:24.879Z,english_104.wav,0,peel,2651,19,5,Japanese,F,3,0.3,26.54640215,1.08059257
AYT,13,0,2024-06-29T09:52:24.879Z,english_104.wav,0,peel,2651,19,5,Japanese,F,4,0.32341667,-33.4974026,1.8061622
AYT,14,0,2024-06-29T09:52:24.879Z,english_620.wav,0,peel,1756,19,5,Japanese,F,0,0.0,-92.9203055,0.0,0.43561856
AYT,14,0,2024-06-29T09:52:24.879Z,english_620.wav,0,peel,1756,19,5,Japanese,F,1,0.1,26.7086056,0.1,0.24535421
AYT,14,0,2024-06-29T09:52:24.879Z,english_620.wav,0,peel,1756,19,5,Japanese,F,2,0.2,89.1883135,0.2,1.34102831
AYT,14,0,2024-06-29T09:52:24.879Z,english_620.wav,0,peel,1756,19,5,Japanese,F,3,0.3,-0.0557738795,0.3,1.80103954
AYT,14,0,2024-06-29T09:52:24.879Z,english_620.wav,0,peel,1756,19,5,Japanese,F,4,0.323416667,2.9787243,0.32341667,0.21248525
AYT,15,0,2024-06-29T09:52:24.879Z,english_151.wav,0,peel,431,19,5,Japanese,F,0,0.0,-8.78950662,1.36403682
AYT,15,0,2024-06-29T09:52:24.879Z,english_151.wav,0,peel,431,19,5,Japanese,F,1,0.1,-1.70650264,1.76375426
AYT,15,0,2024-06-29T09:52:24.879Z,english_151.wav,0,peel,431,19,5,Japanese,F,2,0.2,-17.50286784,1.43087438
AYT,15,0,2024-06-29T09:52:24.879Z,english_151.wav,0,peel,431,19,5,Japanese,F,3,0.3,88.78233286,1.18017331
AYT,15,0,2024-06-29T09:52:24.879Z,english_151.wav,0,peel,431,19,5,Japanese,F,4,0.32341667,55.08117545,1.30400061
AYT,16,0,2024-06-29T09:52:24.879Z,english_946.wav,0,pill,650,19,5,Japanese,F,0,0.0,-74.23479435,1.22824298
AYT,16,0,2024-06-29T09:52:24.879Z,english_946.wav,0,pill,650,19,5,Japanese,F,1,0.1,-11.3601526,0.85784227
AYT,16,0,2024-06-29T09:52:24.879Z,english_946.wav,0,pill,650,19,5,Japanese,F,2,0.2,36.50675361,0.09585286
AYT,16,0,2024-06-29T09:52:24.879Z,english_946.wav,0,pill,650,19,5,Japanese,F,3,0.3,-13.94845552,0.43829102
AYT,16,0,2024-06-29T09:52:24.879Z,english_946.wav,0,pill,650,19,5,Japanese,F,4,0.32341667,-6.97265347,0.86422506
AYT,17,0,2024-06-29T09:52:24.879Z,english_818.wav,0,peel,582,19,5,Japanese,F,0,0.0,88.49542613,1.4873036
AYT,17,0,2024-06-29T09:52:24.879Z,english_818.wav,0,peel,582,19,5,Japanese,F,1,0.1,-7.37005163,1.25102077
AYT,17,0,2024-06-29T09:52:24.879Z,english_818.wav,0,peel,582,19,5,Japanese,F,2,0.2,-1.58613611,0.80764036
AYT,17,0,2024-06-29T09:52:24.879Z,english_818.wav,0,peel,582,19,5,Japanese,F,3,0.3,-69.41222379,0.80656775
AYT,17,0,2024-06-29T09:52:24.879Z,english_818.wav,0,peel,582,19,5,Japanese,F,4,0.32341667,14.01707612,1.41859799
AYT,18,0,2024-06-29T09:52:24.879Z,english_100.wav,0,peel,1031,19,5,Japanese,F,0,0.0,-66.86198445,0.79522553
AYT,18,0,2024-06-29T09:52:24.879Z,english_100.wav,0,peel,1031,19,5,Japanese,F,1,0.1,32.23990363,0.27784591
AYT,18,0,2024-06-29T09:52:24.879Z,english_100.wav,0,peel,1031,19,5,Japanese,F,2,0.2,-63.31896149,1.76330212
AYT,18,0,2024-06-29T09:52:24.879Z,english_100.wav,0,peel,1031,19,5,Japanese,F,3,0.3,-73.00038049,0.60946618
AYT,18,0,2024-06-29T09:52:24.879Z,english_100.wav,0,peel,1031,19,5,Japanese,F,4,0.32341667,32.15710315,0.42695433
AYT,19,0,2024-06-29T09:52:24.879Z,english_702.wav,0,peel,322,19,5,Japanese,F,0,0.0,-19.6614881,1.13820402
AYT,19,0,2024-06-29T09:52:24.879Z,english_702.wav,0,peel,322,19,5,Japanese,F,1,0.1,-92.60133235,1.47755069
AYT,19,0,2024-06-29T09:52:24.879Z,english_702.wav,0,peel,322,19,5,Japanese,F,2,0.2,-18.01071493,1.33705675
AYT,19,0,2024-06-29T09:52:24.879Z,english_702.wav,0,peel,322,19,5,Japanese,F,3,0.3,91.54675011,0.59768286
AYT,19,0,2024-06-29T09:52:24.879Z,english_702.wav,0,peel,322,19,5,Japanese,F,4,0.32341667,23.09112348,0.82103567
AYT,20,0,2024-06-29T09:52:24.879Z,english_121.wav,0,pill,1731,19,5,Japanese,F,0,0.0,-30.24687583,0.23154591
AYT,20,0,2024-06-29T09:52:24.879Z,english_121.wav,0,pill,1731,19,5,Japanese,F,1,0.1,-28.09260766,0.6680997
AYT,20,0,2024-06-29T09:52:24.879Z,english_121.wav,0,pill,1731,19,5,Japanese,F,2,0.2,-29.54951374,1.79539672
AYT,20,0,2024-06-29T09:52:24.879Z,english_121.wav,0,pill,1731,19,5,Japanese,F,3,0.3,-37.35286973,0.57554739
AYT,20,0,2024-06-29T09:52:24.879Z,english_121.wav,0,pill,1731,19,5,Japanese,F,4,0.32341667,58.68529554,1.8709958
AYT,21,0,2024-06-29T09:52:24.879Z,english_448.wav,0,peel,353,19,5,Japanese,F,0,0.0,0.37188167,1.15390094
AYT,21,0,2024-06-29T09:52:24.879Z,english_448.wav,0,peel,353,19,5,Japanese,F,1,0.1,-67.82723624,1.58767458
AYT,21,0,2024-06-29T09:52:24.879Z,english_448.wav,0,peel,353,19,5,Japanese,F,2,0.2,65.77705469,1.13313853
AYT,21,0,2024-06-29T09:52:24.879Z,english_448.wav,0,peel,353,19,5,Japanese,F,3,0.3,83.31626383,0.27075507
AYT,21,0,2024-06-29T09:52:24.879Z,english_448.wav,0,peel,353,19,5,Japanese,F,4,0.32341667,-27.56829045,1.20964916
AYT,22,0,2024-06-29T09:52:24.879Z,english_425.wav,0,pill,2462,19,5,Japanese,F,0,0.0,52.16022051,1.95369626
AYT,22,0,2024-06-29T09:52:24.879Z,english_425.wav,0,pill,2462,19,5,Japanese,F,1,0.1,-4.0342476,0.01224448
AYT,22,0,2024-06-29T09:52:24.879Z,english_425.wav,0,pill,2462,19,5,Japanese,F,2,0.2,71.82190917,1.45838463
AYT,22,0,2024-06-29T09:52:24.879Z,english_425.wav,0,pill,2462,19,5,Japanese,F,3,0.3,77.8432037,1.1656734
AYT,22,0,2024-06-29T09:52:24.879Z,english_425.wav,0,pill,2462,19,5,Japanese,F,4,0.32341667,29.14791909,1.54078916
AYT,23,0,2024-06-29T09:52:24.879Z,english_155.wav,0,peel,232,19,5,Japanese,F,0,0.0,53.87474094,1.93436975
AYT,23,0,2024-06-29T09:52:24.879Z,english_155.wav,0,peel,232,19,5,Japanese,F,1,0.1,74.81745726,0.64472983
AYT,23,0,2024-06-29T09:52:24.879Z,english_155.wav,0,peel,232,19,5,Japanese,F,2,0.2,8.25192738,1.6098708
AYT,23,0,2024-06-29T09:52:24.879Z,english_155.wav,0,peel,232,19,5,Japanese,F,3,0.3,-52.88121257,1.15705679
AYT,23,0,2024-06-29T09:52:24.879Z,english_155.wav,0,peel,232,19,5,Japanese,F,4,0.32341667,48.31209788,0.66500292
AYT,24,0,2024-06-29T09:52:24.879Z,english_555.wav,0,peel,635,19,5,Japanese,F,0,0.0,69.49762262,1.08530069
AYT,24,0,2024-06-29T09:52:24.879Z,english_555.wav,0,peel,635,19,5,Japanese,F,1,0.1,42.72159746,0.99979939
AYT,24,0,2024-06-29T09:52:24.879Z,english_555.wav,0,peel,635,19,5,Japanese,F,2,0.2,96.74773092,1.75882447
AYT,24,0,2024-06-29T09:52:24.879Z,english_555.wav,0,peel,635,19,5,Japanese,F,3,0.3,-27.92411753,1.36775981
AYT,24,0,2024-06-29T09:52:24.879Z,english_555.wav,0,peel,635,19,5,Japanese,F,4,0.32341667,33.93273626,0.90104071
AYT,25,0,2024-06-29T09:52:24.879Z,english_331.wav,0,peel,404,19,5,Japanese,F,0,0.0,12.66323204,1.93220763
AYT,25,0,2024-06-29T09:52:24.879Z,english_331.wav,0,peel,404,19,5,Japanese,F,1,0.1,-81.78605138,1.48237299
AYT,25,0,2024-06-29T09:52:24.879Z,english_331.wav,0,peel,404,19,5,Japanese,F,2,0.2,59.07546792,1.15413743
AYT,25,0,2024-06-29T09:52:24.879Z,english_331.wav,0,peel,404,19,5,Japanese,F,3,0.3,-83.73170191,1.02182823
AYT,25,0,2024-06-29T09:52:24.879Z,english_331.wav,0,peel,404,19,5,Japanese,F,4,0.32341667,3.10587362,0.81670354
AYT,26,0,2024-06-29T09:52:24.879Z,english_801.wav,0,pill,317,19,5,Japanese,F,0,0.0,66.50571345,0.19311528
AYT,26,0,2024-06-29T09:52:24.879Z,english_801.wav,0,pill,317,19,5,Japanese,F,1,0.1,-53.03260979,0.48683601
AYT,26,0,2024-06-29T09:52:24.879Z,english_801.wav,0,pill,317,19,5,Japanese,F,2,0.2,-3.89459646,1.16293258
AYT,26,0,2024-06-29T09:52:24.879Z,english_801.wav,0,pill,317,19,5,Japanese,F,3,0.3,8.32951864,1.55734707
AYT,26,0,2024-06-29T09:52:24.879Z,english_801.wav,0,pill,317,19,5,Japanese,F,4,0.32341667,-87.46806733,0.63471681
AYT,27,0,2024-06-29T09:52:24.879Z,english_240.wav,0,pill,811,19,5,Japanese,F,0,0.0,-96.55121617,1.04823872
AYT,27,0,2024-06-29T09:52:24.879Z,english_240.wav,0,pill,811,19,5,Japanese,F,1,0.1,73.99435309,1.11556714
AYT,27,0,2024-06-29T09:52:24.879Z,english_240.wav,0,pill,811,19,5,Japanese,F,2,0.2,-27.17256968,0.68795106
AYT,27,0,2024-06-29T09:52:24.879Z,english_240.wav,0,pill,811,19,5,Japanese,F,3,0.3,-2.05185553,1.30325309
AYT,27,0,2024-06-29T09:52:24.879Z,english_240.wav,0,pill,811,19,5,Japanese,F,4,0.32341667,80.37406519,0.86977317
