subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
KES,0,0,2024-07-18T11:46:30.017Z,english_802.wav,0,pill,6788,19,3,Japanese,m,0,0.0,44.11448731,1.89082481
KES,0,0,2024-07-18T11:46:30.017Z,english_802.wav,0,pill,6788,19,3,Japanese,m,1,0.1,27.89646601,1.73386287
KES,0,0,2024-07-18T11:46:30.017Z,english_802.wav,0,pill,6788,19,3,Japanese,m,2,0.2,-19.36127415,0.34468699
KES,0,0,2024-07-18T11:46:30.017Z,english_802.wav,0,pill,6788,19,3,Japanese,m,3,0.3,15.17899174,0.39328876
KES,0,0,2024-07-18T11:46:30.017Z,english_802.wav,0,pill,6788,19,3,Japanese,m,4,0.32341667,-18.70870555,1.25778986
KES,1,0,2024-07-18T11:46:30.017Z,english_953.wav,0,peel,2494,19,3,Japanese,m,0,0.0,-16.02430182,0.31806788
KES,1,0,2024-07-18T11:46:30.017Z,english_953.wav,0,peel,2494,19,3,Japanese,m,1,0.1,29.58660593,0.5983964
KES,1,0,2024-07-18T11:46:30.017Z,english_953.wav,0,peel,2494,19,3,Japanese,m,2,0.2,-69.77021268,1.47459901
KES,1,0,2024-07-18T11:46:30.017Z,english_953.wav,0,peel,2494,19,3,Japanese,m,3,0.3,10.24378989,1.63555671
KES,1,0,2024-07-18T11:46:30.017Z,english_953.wav,0,peel,2494,19,3,Japanese,m,4,0.32341667,-68.66835117,1.74756834
KES,2,0,2024-07-18T11:46:30.017Z,english_751.wav,0,peel,6171,19,3,Japanese,m,0,0.0,45.03630887,0.43450625
KES,2,0,2024-07-18T11:46:30.017Z,english_751.wav,0,peel,6171,19,3,Japanese,m,1,0.1,46.59103402,1.30072592
KES,2,0,2024-07-18T11:46:30.017Z,english_751.wav,0,peel,6171,19,3,Japanese,m,2,0.2,-30.90440374,1.20093797
KES,2,0,2024-07-18T11:46:30.017Z,english_751.wav,0,peel,6171,19,3,Japanese,m,3,0.3,-61.26470289,0.81911259
KES,2,0,2024-07-18T11:46:30.017Z,english_751.wav,0,peel,6171,19,3,Japanese,m,4,0.32341667,34.91384756,0.19140491
KES,3,0,2024-07-18T11:46:30.017Z,english_646.wav,0,pill,7378,19,3,Japanese,m,0,0.0,65.65927644,1.85038449
KES,3,0,2024-07-18T11:46:30.017Z,english_646.wav,0,pill,7378,19,3,Japanese,m,1,0.1,-31.23211399,1.10748568
