subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
KUA,0,0,2024-06-30T18:31:21.970Z,english_467.wav,0,peel,2479,45,4,japanese,f,0,0.0,-0.54983343,1.824027
KUA,0,0,2024-06-30T18:31:21.970Z,english_467.wav,0,peel,2479,45,4,japanese,f,1,0.1,-84.54516502,1.06295632
KUA,0,0,2024-06-30T18:31:21.970Z,english_467.wav,0,peel,2479,45,4,japanese,f,2,0.2,54.30123894,1.09976952
KUA,0,0,2024-06-30T18:31:21.970Z,english_467.wav,0,peel,2479,45,4,japanese,f,3,0.3,-82.00368026,1.11766566
KUA,0,0,2024-06-30T18:31:21.970Z,english_467.wav,0,peel,2479,45,4,japanese,f,4,0.32341667,-54.10816942,0.44824559
KUA,1,0,2024-06-30T18:31:21.970Z,english_176.wav,0,pill,1415,45,4,japanese,f,0,0.0,-62.84257592,0.68193044
KUA,1,0,2024-06-30T18:31:21.970Z,english_176.wav,0,pill,1415,45,4,japanese,f,1,0.1,86.95506575,0.26950978
KUA,1,0,2024-06-30T18:31:21.970Z,english_176.wav,0,pill,1415,45,4,japanese,f,2,0.2,-28.0397163,0.45294908
KUA,1,0,2024-06-30T18:31:21.970Z,english_176.wav,0,pill,1415,45,4,japanese,f,3,0.3,-64.80124174,0.91353321
KUA,1,0,2024-06-30T18:31:21.970Z,english_176.wav,0,pill,1415,45,4,japanese,f,4,0.32341667,-98.66046935,1.10925614
KUA,2,0,2024-06-30T18:31:21.970Z,english_979.wav,0,peel,4372,45,4,japanese,f,0,0.0,-1.00654814,1.61411081
KUA,2,0,2024-06-30T18:31:21.970Z,english_979.wav,0,peel,4372,45,4,japanese,f,1,0.1,18.39835707,1.30464512
KUA,2,0,2024-06-30T18:31:21.970Z,english_979.wav,0,peel,4372,45,4,japanese,f,2,0.2,-42.91789413,0.93120215
KUA,2,0,2024-06-30T18:31:21.970Z,english_979.wav,0,peel,4372,45,4,japanese,f,3,0.3,-58.29527223,0.87145212
KUA,2,0,2024-06-30T18:31:21.970Z,english_979.wav,0,peel,4372,45,4,japanese,f,4,0.32341667,86.14740424,1.17332389
KUA,3,0,2024-06-30T18:31:21.970Z,english_618.wav,0,pill,5061,45,4,japanese,f,0,0.0,58.31579708,1.46895394
KUA,3,0,2024-06-30T18:31:21.970Z,english_618.wav,0,pill,5061,45,4,japanese,f,1,0.1,6.96253647,0.48660613
KUA,3,0,2024-06-30T18:31:21.970Z,english_618.wav,0,pill,5061,45,4,japanese,f,2,0.2,-4.41581756,1.00963977
KUA,3,0,2024-06-30T18:31:21.970Z,english_618.wav,0,pill,5061,45,4,japanese,f,3,0.3,-63.5775247,1.29399549
KUA,3,0,2024-06-30T18:31:21.970Z,english_618.wav,0,pill,5061,45,4,japanese,f,4,0.32341667,97.77631762,0.84060701
KUA,4,0,2024-06-30T18:31:21.970Z,english_100.wav,0,peel,2200,45,4,japanese,f,0,0.0,-66.86198445,0.79522553
KUA,4,0,2024-06-30T18:31:21.970Z,english_100.wav,0,peel,2200,45,4,japanese,f,1,0.1,32.23990363,0.27784591
KUA,4,0,2024-06-30T18:31:21.970Z,english_100.wav,0,peel,2200,45,4,japanese,f,2,0.2,-63.31896149,1.76330212
KUA,4,0,2024-06-30T18:31:21.970Z,english_100.wav,0,peel,2200,45,4,japanese,f,3,0.3,-73.00038049,0.60946618
KUA,4,0,2024-06-30T18:31:21.970Z,english_100.wav,0,peel,2200,45,4,japanese,f,4,0.32341667,32.15710315,0.42695433
KUA,5,0,2024-06-30T18:31:21.970Z,english_177.wav,0,pill,1708,45,4,japanese,f,0,0.0,87.98258728,1.54790065
KUA,5,0,2024-06-30T18:31:21.970Z,english_177.wav,0,pill,1708,45,4,japanese,f,1,0.1,87.12011565,0.90861448
KUA,5,0,2024-06-30T18:31:21.970Z,english_177.wav,0,pill,1708,45,4,japanese,f,2,0.2,-29.82518494,0.58649069
KUA,5,0,2024-06-30T18:31:21.970Z,english_177.wav,0,pill,1708,45,4,japanese,f,3,0.3,54.38835911,0.51296238
KUA,5,0,2024-06-30T18:31:21.970Z,english_177.wav,0,pill,1708,45,4,japanese,f,4,0.32341667,53.98423531,1.78492888
KUA,6,0,2024-06-30T18:31:21.970Z,english_854.wav,0,peel,1021,45,4,japanese,f,0,0.0,-3.2532791,1.78139632
KUA,6,0,2024-06-30T18:31:21.970Z,english_854.wav,0,peel,1021,45,4,japanese,f,1,0.1,19.40039505,1.50161717
KUA,6,0,2024-06-30T18:31:21.970Z,english_854.wav,0,peel,1021,45,4,japanese,f,2,0.2,-14.62360686,0.8978804
KUA,6,0,2024-06-30T18:31:21.970Z,english_854.wav,0,peel,1021,45,4,japanese,f,3,0.3,-63.13820282,1.66267041
KUA,6,0,2024-06-30T18:31:21.970Z,english_854.wav,0,peel,1021,45,4,japanese,f,4,0.32341667,44.42181264,1.68588082
KUA,7,0,2024-06-30T18:31:21.970Z,english_898.wav,0,peel,1320,45,4,japanese,f,0,0.0,77.23607787,0.41308158
KUA,7,0,2024-06-30T18:31:21.970Z,english_898.wav,0,peel,1320,45,4,japanese,f,1,0.1,-36.99854877,1.59324842
KUA,7,0,2024-06-30T18:31:21.970Z,english_898.wav,0,peel,1320,45,4,japanese,f,2,0.2,16.09723403,1.42339693
KUA,7,0,2024-06-30T18:31:21.970Z,english_898.wav,0,peel,1320,45,4,japanese,f,3,0.3,29.12208023,1.17478291
KUA,7,0,2024-06-30T18:31:21.970Z,english_898.wav,0,peel,1320,45,4,japanese,f,4,0.32341667,-69.45423228,1.88393163
KUA,8,0,2024-06-30T18:31:21.970Z,english_837.wav,0,peel,1127,45,4,japanese,f,0,0.0,-10.72674788,0.56055933
KUA,8,0,2024-06-30T18:31:21.970Z,english_837.wav,0,peel,1127,45,4,japanese,f,1,0.1,33.60933966,1.16716927
KUA,8,0,2024-06-30T18:31:21.970Z,english_837.wav,0,peel,1127,45,4,japanese,f,2,0.2,-1.37827911,1.02731607
KUA,8,0,2024-06-30T18:31:21.970Z,english_837.wav,0,peel,1127,45,4,japanese,f,3,0.3,29.3498758,1.96665864
KUA,8,0,2024-06-30T18:31:21.970Z,english_837.wav,0,peel,1127,45,4,japanese,f,4,0.32341667,31.86641091,0.45425732
KUA,9,0,2024-06-30T18:31:21.970Z,english_718.wav,0,peel,2956,45,4,japanese,f,0,0.0,-62.54470118,0.40124114
KUA,9,0,2024-06-30T18:31:21.970Z,english_718.wav,0,peel,2956,45,4,japanese,f,1,0.1,-40.70811043,0.49945062
KUA,9,0,2024-06-30T18:31:21.970Z,english_718.wav,0,peel,2956,45,4,japanese,f,2,0.2,-11.25435391,1.54880463
KUA,9,0,2024-06-30T18:31:21.970Z,english_718.wav,0,peel,2956,45,4,japanese,f,3,0.3,-68.52161814,0.39118497
KUA,9,0,2024-06-30T18:31:21.970Z,english_718.wav,0,peel,2956,45,4,japanese,f,4,0.32341667,-77.89834334,0.07447668
KUA,10,0,2024-06-30T18:31:21.970Z,english_663.wav,0,peel,1292,45,4,japanese,f,0,0.0,55.84438863,1.29444713
KUA,10,0,2024-06-30T18:31:21.970Z,english_663.wav,0,peel,1292,45,4,japanese,f,1,0.1,-89.02249371,0.90215198
KUA,10,0,2024-06-30T18:31:21.970Z,english_663.wav,0,peel,1292,45,4,japanese,f,2,0.2,-13.61345685,1.61104603
KUA,10,0,2024-06-30T18:31:21.970Z,english_663.wav,0,peel,1292,45,4,japanese,f,3,0.3,14.50375693,0.31375715
KUA,10,0,2024-06-30T18:31:21.970Z,english_663.wav,0,peel,1292,45,4,japanese,f,4,0.32341667,80.63633164,1.01784406
KUA,11,0,2024-06-30T18:31:21.970Z,english_540.wav,0,pill,1481,45,4,japanese,f,0,0.0,-46.6752609,1.16352469
KUA,11,0,2024-06-30T18:31:21.970Z,english_540.wav,0,pill,1481,45,4,japanese,f,1,0.1,-93.20209644,0.0234781
KUA,11,0,2024-06-30T18:31:21.970Z,english_540.wav,0,pill,1481,45,4,japanese,f,2,0.2,64.96419662,0.05926191
KUA,11,0,2024-06-30T18:31:21.970Z,english_540.wav,0,pill,1481,45,4,japanese,f,3,0.3,-12.16484387,1.47406284
KUA,11,0,2024-06-30T18:31:21.970Z,english_540.wav,0,pill,1481,45,4,japanese,f,4,0.32341667,-44.34688232,0.60104864
KUA,12,0,2024-06-30T18:31:21.970Z,english_655.wav,0,peel,1062,45,4,japanese,f,0,0.0,84.9811401,1.09123398
KUA,12,0,2024-06-30T18:31:21.970Z,english_655.wav,0,peel,1062,45,4,japanese,f,1,0.1,70.1996811,0.51840547
KUA,12,0,2024-06-30T18:31:21.970Z,english_655.wav,0,peel,1062,45,4,japanese,f,2,0.2,-5.60681941,0.58569322
KUA,12,0,2024-06-30T18:31:21.970Z,english_655.wav,0,peel,1062,45,4,japanese,f,3,0.3,-33.00324328,1.11132849
KUA,12,0,2024-06-30T18:31:21.970Z,english_655.wav,0,peel,1062,45,4,japanese,f,4,0.32341667,24.65490624,0.28465301
KUA,13,0,2024-06-30T18:31:21.970Z,english_445.wav,0,peel,903,45,4,japanese,f,0,0.0,88.00598922,1.42174052
KUA,13,0,2024-06-30T18:31:21.970Z,english_445.wav,0,peel,903,45,4,japanese,f,1,0.1,96.51328737,1.49122509
KUA,13,0,2024-06-30T18:31:21.970Z,english_445.wav,0,peel,903,45,4,japanese,f,2,0.2,29.11093561,0.62095286
KUA,13,0,2024-06-30T18:31:21.970Z,english_445.wav,0,peel,903,45,4,japanese,f,3,0.3,69.6076589,1.14630865
KUA,13,0,2024-06-30T18:31:21.970Z,english_445.wav,0,peel,903,45,4,japanese,f,4,0.32341667,-59.73938179,1.38538671
KUA,14,0,2024-06-30T18:31:21.970Z,english_564.wav,0,peel,1051,45,4,japanese,f,0,0.0,-4.16228192,1.35245187
KUA,14,0,2024-06-30T18:31:21.970Z,english_564.wav,0,peel,1051,45,4,japanese,f,1,0.1,-8.38376801,0.24798142
KUA,14,0,2024-06-30T18:31:21.970Z,english_564.wav,0,peel,1051,45,4,japanese,f,2,0.2,52.82752554,1.26376743
KUA,14,0,2024-06-30T18:31:21.970Z,english_564.wav,0,peel,1051,45,4,japanese,f,3,0.3,-92.64870354,0.73548171
KUA,14,0,2024-06-30T18:31:21.970Z,english_564.wav,0,peel,1051,45,4,japanese,f,4,0.32341667,-48.86146536,0.1394123
KUA,15,0,2024-06-30T18:31:21.970Z,english_422.wav,0,pill,1175,45,4,japanese,f,0,0.0,-79.81150205,1.34332733
KUA,15,0,2024-06-30T18:31:21.970Z,english_422.wav,0,pill,1175,45,4,japanese,f,1,0.1,-2.02836706,0.77514932
KUA,15,0,2024-06-30T18:31:21.970Z,english_422.wav,0,pill,1175,45,4,japanese,f,2,0.2,-11.18998235,0.33214039
KUA,15,0,2024-06-30T18:31:21.970Z,english_422.wav,0,pill,1175,45,4,japanese,f,3,0.3,52.04958687,0.53493982
KUA,15,0,2024-06-30T18:31:21.970Z,english_422.wav,0,pill,1175,45,4,japanese,f,4,0.32341667,-63.48776447,0.45685022
KUA,16,0,2024-06-30T18:31:21.970Z,english_44.wav,0,peel,897,45,4,japanese,f,0,0.0,-68.86201344,1.38154723
KUA,16,0,2024-06-30T18:31:21.970Z,english_44.wav,0,peel,897,45,4,japanese,f,1,0.1,36.61833882,0.11193842
KUA,16,0,2024-06-30T18:31:21.970Z,english_44.wav,0,peel,897,45,4,japanese,f,2,0.2,-60.65796264,0.83798569
KUA,16,0,2024-06-30T18:31:21.970Z,english_44.wav,0,peel,897,45,4,japanese,f,3,0.3,-99.582901,0.3073865
KUA,16,0,2024-06-30T18:31:21.970Z,english_44.wav,0,peel,897,45,4,japanese,f,4,0.32341667,68.59920212,1.10922951
KUA,17,0,2024-06-30T18:31:21.970Z,english_714.wav,0,peel,785,45,4,japanese,f,0,0.0,6.62463448,0.98205871
KUA,17,0,2024-06-30T18:31:21.970Z,english_714.wav,0,peel,785,45,4,japanese,f,1,0.1,-7.37775178,1.90018259
KUA,17,0,2024-06-30T18:31:21.970Z,english_714.wav,0,peel,785,45,4,japanese,f,2,0.2,-58.74003357,1.33033281
KUA,17,0,2024-06-30T18:31:21.970Z,english_714.wav,0,peel,785,45,4,japanese,f,3,0.3,-38.84014254,0.20009115
KUA,17,0,2024-06-30T18:31:21.970Z,english_714.wav,0,peel,785,45,4,japanese,f,4,0.32341667,-23.67047323,0.44650169
KUA,18,0,2024-06-30T18:31:21.970Z,english_330.wav,0,peel,866,45,4,japanese,f,0,0.0,-66.0623823,0.0,1.84658225
KUA,18,0,2024-06-30T18:31:21.970Z,english_330.wav,0,peel,866,45,4,japanese,f,1,0.1,-90.7862333,0.1,0.94726644
KUA,18,0,2024-06-30T18:31:21.970Z,english_330.wav,0,peel,866,45,4,japanese,f,2,0.2,-0.00810713819,0.2,1.52006519
KUA,18,0,2024-06-30T18:31:21.970Z,english_330.wav,0,peel,866,45,4,japanese,f,3,0.3,-61.2450651,0.3,1.63286843
KUA,18,0,2024-06-30T18:31:21.970Z,english_330.wav,0,peel,866,45,4,japanese,f,4,0.323416667,-0.344586516,0.32341667,1.74173618
KUA,19,0,2024-06-30T18:31:21.970Z,english_683.wav,0,pill,2471,45,4,japanese,f,0,0.0,-73.37543508,1.70409633
KUA,19,0,2024-06-30T18:31:21.970Z,english_683.wav,0,pill,2471,45,4,japanese,f,1,0.1,66.4080647,1.25556383
KUA,19,0,2024-06-30T18:31:21.970Z,english_683.wav,0,pill,2471,45,4,japanese,f,2,0.2,46.46812351,0.87554738
KUA,19,0,2024-06-30T18:31:21.970Z,english_683.wav,0,pill,2471,45,4,japanese,f,3,0.3,71.67755016,1.32863005
KUA,19,0,2024-06-30T18:31:21.970Z,english_683.wav,0,pill,2471,45,4,japanese,f,4,0.32341667,2.86253031,0.20364682
