subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
MIK07221023,0,0,2024-07-22T01:23:22.931Z,english_349.wav,0,pill,10272,0,0.0,-10.00495534,0.36915768
MIK07221023,0,0,2024-07-22T01:23:22.931Z,english_349.wav,0,pill,10272,1,0.1,54.31199814,0.83111041
MIK07221023,0,0,2024-07-22T01:23:22.931Z,english_349.wav,0,pill,10272,2,0.2,48.17968705,1.70147194
MIK07221023,0,0,2024-07-22T01:23:22.931Z,english_349.wav,0,pill,10272,3,0.3,8.48926652,1.08588898
MIK07221023,0,0,2024-07-22T01:23:22.931Z,english_349.wav,0,pill,10272,4,0.32341667,42.05620052,0.02584958
MIK07221023,1,0,2024-07-22T01:23:22.931Z,english_295.wav,0,pill,4402,0,0.0,-76.51454746,1.12273409
MIK07221023,1,0,2024-07-22T01:23:22.931Z,english_295.wav,0,pill,4402,1,0.1,-96.9380047,0.2018376
MIK07221023,1,0,2024-07-22T01:23:22.931Z,english_295.wav,0,pill,4402,2,0.2,-72.79782389,1.81703153
MIK07221023,1,0,2024-07-22T01:23:22.931Z,english_295.wav,0,pill,4402,3,0.3,-31.86888898,0.31799467
MIK07221023,1,0,2024-07-22T01:23:22.931Z,english_295.wav,0,pill,4402,4,0.32341667,-51.47839766,0.71777059
MIK07221023,2,0,2024-07-22T01:23:22.931Z,english_14.wav,0,pill,2204,0,0.0,98.00979643,0.92494293
MIK07221023,2,0,2024-07-22T01:23:22.931Z,english_14.wav,0,pill,2204,1,0.1,-39.90204919,0.80403915
MIK07221023,2,0,2024-07-22T01:23:22.931Z,english_14.wav,0,pill,2204,2,0.2,51.0517473,0.29426005
MIK07221023,2,0,2024-07-22T01:23:22.931Z,english_14.wav,0,pill,2204,3,0.3,-8.39716694,0.14957292
MIK07221023,2,0,2024-07-22T01:23:22.931Z,english_14.wav,0,pill,2204,4,0.32341667,82.54419716,0.1717279
MIK07221023,3,0,2024-07-22T01:23:22.931Z,english_943.wav,0,pill,2488,0,0.0,-88.39234314,0.07745413
MIK07221023,3,0,2024-07-22T01:23:22.931Z,english_943.wav,0,pill,2488,1,0.1,65.27529367,1.64078214
MIK07221023,3,0,2024-07-22T01:23:22.931Z,english_943.wav,0,pill,2488,2,0.2,-24.85222093,0.23468741
MIK07221023,3,0,2024-07-22T01:23:22.931Z,english_943.wav,0,pill,2488,3,0.3,20.61002448,1.49561498
MIK07221023,3,0,2024-07-22T01:23:22.931Z,english_943.wav,0,pill,2488,4,0.32341667,-74.64601709,1.25217021
MIK07221023,4,0,2024-07-22T01:23:22.931Z,english_697.wav,0,pill,1333,0,0.0,34.8877197,0.0,0.10761674
MIK07221023,4,0,2024-07-22T01:23:22.931Z,english_697.wav,0,pill,1333,1,0.1,-0.0129750448,0.1,0.88035305
MIK07221023,4,0,2024-07-22T01:23:22.931Z,english_697.wav,0,pill,1333,2,0.2,48.8877829,0.2,0.12183403
MIK07221023,4,0,2024-07-22T01:23:22.931Z,english_697.wav,0,pill,1333,3,0.3,68.5745634,0.3,0.55306263
MIK07221023,4,0,2024-07-22T01:23:22.931Z,english_697.wav,0,pill,1333,4,0.323416667,18.9536775,0.32341667,1.83833688
MIK07221023,5,0,2024-07-22T01:23:22.931Z,english_185.wav,0,pill,2138,0,0.0,-67.20213277,0.62417316
MIK07221023,5,0,2024-07-22T01:23:22.931Z,english_185.wav,0,pill,2138,1,0.1,-70.91279736,1.12829576
MIK07221023,5,0,2024-07-22T01:23:22.931Z,english_185.wav,0,pill,2138,2,0.2,11.55913655,0.70978518
MIK07221023,5,0,2024-07-22T01:23:22.931Z,english_185.wav,0,pill,2138,3,0.3,-88.76292025,0.02882377
MIK07221023,5,0,2024-07-22T01:23:22.931Z,english_185.wav,0,pill,2138,4,0.32341667,-25.67800099,0.52970381
MIK07221023,6,0,2024-07-22T01:23:22.931Z,english_171.wav,0,peel,1566,0,0.0,13.65984607,0.71637608
MIK07221023,6,0,2024-07-22T01:23:22.931Z,english_171.wav,0,peel,1566,1,0.1,70.55092655,1.80826384
MIK07221023,6,0,2024-07-22T01:23:22.931Z,english_171.wav,0,peel,1566,2,0.2,57.57935127,0.47277884
MIK07221023,6,0,2024-07-22T01:23:22.931Z,english_171.wav,0,peel,1566,3,0.3,-55.35579571,1.22036711
MIK07221023,6,0,2024-07-22T01:23:22.931Z,english_171.wav,0,peel,1566,4,0.32341667,13.04572565,0.00907712
