subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
NBI,0,0,2024-10-08T00:42:29.521Z,english_205.wav,0,pill,4373,41,5,Japanese,m,0,0.0,55.03693902,1.41699591
NBI,0,0,2024-10-08T00:42:29.521Z,english_205.wav,0,pill,4373,41,5,Japanese,m,1,0.1,59.05347117,0.25749205
NBI,0,0,2024-10-08T00:42:29.521Z,english_205.wav,0,pill,4373,41,5,Japanese,m,2,0.2,-51.93258482,1.78695407
NBI,0,0,2024-10-08T00:42:29.521Z,english_205.wav,0,pill,4373,41,5,Japanese,m,3,0.3,-18.66886592,0.11157042
NBI,0,0,2024-10-08T00:42:29.521Z,english_205.wav,0,pill,4373,41,5,Japanese,m,4,0.32341667,-25.16213195,1.74030417
NBI,1,0,2024-10-08T00:42:29.521Z,english_186.wav,0,peel,1342,41,5,Japanese,m,0,0.0,-54.7664391,1.87021502
NBI,1,0,2024-10-08T00:42:29.521Z,english_186.wav,0,peel,1342,41,5,Japanese,m,1,0.1,-8.4263529,1.36390049
NBI,1,0,2024-10-08T00:42:29.521Z,english_186.wav,0,peel,1342,41,5,Japanese,m,2,0.2,6.22451559,1.69942617
NBI,1,0,2024-10-08T00:42:29.521Z,english_186.wav,0,peel,1342,41,5,Japanese,m,3,0.3,-12.35671223,1.8066537
NBI,1,0,2024-10-08T00:42:29.521Z,english_186.wav,0,peel,1342,41,5,Japanese,m,4,0.32341667,86.21839615,1.2511354
NBI,2,0,2024-10-08T00:42:29.521Z,english_650.wav,0,pill,2509,41,5,Japanese,m,0,0.0,-14.34164867,1.10695192
NBI,2,0,2024-10-08T00:42:29.521Z,english_650.wav,0,pill,2509,41,5,Japanese,m,1,0.1,-59.47569919,1.2442548
NBI,2,0,2024-10-08T00:42:29.521Z,english_650.wav,0,pill,2509,41,5,Japanese,m,2,0.2,-47.0995584,0.31281267
NBI,2,0,2024-10-08T00:42:29.521Z,english_650.wav,0,pill,2509,41,5,Japanese,m,3,0.3,-55.25841156,1.9869399
NBI,2,0,2024-10-08T00:42:29.521Z,english_650.wav,0,pill,2509,41,5,Japanese,m,4,0.32341667,83.92345375,1.10607629
NBI,3,0,2024-10-08T00:42:29.521Z,english_642.wav,0,pill,2586,41,5,Japanese,m,0,0.0,31.40946548,0.21393667
NBI,3,0,2024-10-08T00:42:29.521Z,english_642.wav,0,pill,2586,41,5,Japanese,m,1,0.1,4.73018903,1.31302396
NBI,3,0,2024-10-08T00:42:29.521Z,english_642.wav,0,pill,2586,41,5,Japanese,m,2,0.2,85.2390777,0.95537026
NBI,3,0,2024-10-08T00:42:29.521Z,english_642.wav,0,pill,2586,41,5,Japanese,m,3,0.3,-59.81643451,1.00167733
NBI,3,0,2024-10-08T00:42:29.521Z,english_642.wav,0,pill,2586,41,5,Japanese,m,4,0.32341667,-42.92691369,0.89750156
NBI,4,0,2024-10-08T00:42:29.521Z,english_797.wav,0,pill,2008,41,5,Japanese,m,0,0.0,-10.77604935,1.75152448
NBI,4,0,2024-10-08T00:42:29.521Z,english_797.wav,0,pill,2008,41,5,Japanese,m,1,0.1,76.52998448,0.25625033
NBI,4,0,2024-10-08T00:42:29.521Z,english_797.wav,0,pill,2008,41,5,Japanese,m,2,0.2,-52.30950648,1.63910521
NBI,4,0,2024-10-08T00:42:29.521Z,english_797.wav,0,pill,2008,41,5,Japanese,m,3,0.3,-19.27189704,1.44412191
NBI,4,0,2024-10-08T00:42:29.521Z,english_797.wav,0,pill,2008,41,5,Japanese,m,4,0.32341667,-68.52312916,1.41513857
NBI,5,0,2024-10-08T00:42:29.521Z,english_617.wav,0,pill,939,41,5,Japanese,m,0,0.0,-99.94195333,1.17597353
NBI,5,0,2024-10-08T00:42:29.521Z,english_617.wav,0,pill,939,41,5,Japanese,m,1,0.1,-27.54289523,0.72595777
NBI,5,0,2024-10-08T00:42:29.521Z,english_617.wav,0,pill,939,41,5,Japanese,m,2,0.2,-31.48016085,0.94648609
NBI,5,0,2024-10-08T00:42:29.521Z,english_617.wav,0,pill,939,41,5,Japanese,m,3,0.3,-72.28967102,1.67485207
NBI,5,0,2024-10-08T00:42:29.521Z,english_617.wav,0,pill,939,41,5,Japanese,m,4,0.32341667,-18.83127656,0.94146903
NBI,6,0,2024-10-08T00:42:29.521Z,english_566.wav,0,peel,2306,41,5,Japanese,m,0,0.0,70.56000247,1.04698608
NBI,6,0,2024-10-08T00:42:29.521Z,english_566.wav,0,peel,2306,41,5,Japanese,m,1,0.1,-0.18246418,1.13826263
NBI,6,0,2024-10-08T00:42:29.521Z,english_566.wav,0,peel,2306,41,5,Japanese,m,2,0.2,-23.7188651,1.91259561
NBI,6,0,2024-10-08T00:42:29.521Z,english_566.wav,0,peel,2306,41,5,Japanese,m,3,0.3,12.5469797,1.08561121
NBI,6,0,2024-10-08T00:42:29.521Z,english_566.wav,0,peel,2306,41,5,Japanese,m,4,0.32341667,-84.37997634,1.98926692
NBI,7,0,2024-10-08T00:42:29.521Z,english_417.wav,0,peel,1160,41,5,Japanese,m,0,0.0,-17.25972862,1.29903721
NBI,7,0,2024-10-08T00:42:29.521Z,english_417.wav,0,peel,1160,41,5,Japanese,m,1,0.1,72.11413149,0.87773419
NBI,7,0,2024-10-08T00:42:29.521Z,english_417.wav,0,peel,1160,41,5,Japanese,m,2,0.2,83.70212603,1.45838331
NBI,7,0,2024-10-08T00:42:29.521Z,english_417.wav,0,peel,1160,41,5,Japanese,m,3,0.3,67.19530478,0.90979472
NBI,7,0,2024-10-08T00:42:29.521Z,english_417.wav,0,peel,1160,41,5,Japanese,m,4,0.32341667,29.72084594,0.1224986
NBI,8,0,2024-10-08T00:42:29.521Z,english_80.wav,0,peel,2547,41,5,Japanese,m,0,0.0,33.21374474,1.09809668
NBI,8,0,2024-10-08T00:42:29.521Z,english_80.wav,0,peel,2547,41,5,Japanese,m,1,0.1,-72.2618742,1.73594877
NBI,8,0,2024-10-08T00:42:29.521Z,english_80.wav,0,peel,2547,41,5,Japanese,m,2,0.2,-29.44860443,0.30037535
NBI,8,0,2024-10-08T00:42:29.521Z,english_80.wav,0,peel,2547,41,5,Japanese,m,3,0.3,-33.36418129,0.36613598
NBI,8,0,2024-10-08T00:42:29.521Z,english_80.wav,0,peel,2547,41,5,Japanese,m,4,0.32341667,-65.11319145,0.50687614
NBI,9,0,2024-10-08T00:42:29.521Z,english_113.wav,0,peel,1021,41,5,Japanese,m,0,0.0,8.7952765,0.51001639
NBI,9,0,2024-10-08T00:42:29.521Z,english_113.wav,0,peel,1021,41,5,Japanese,m,1,0.1,91.94692023,1.45766025
NBI,9,0,2024-10-08T00:42:29.521Z,english_113.wav,0,peel,1021,41,5,Japanese,m,2,0.2,-6.68088057,1.25674442
NBI,9,0,2024-10-08T00:42:29.521Z,english_113.wav,0,peel,1021,41,5,Japanese,m,3,0.3,38.28142065,1.93213547
NBI,9,0,2024-10-08T00:42:29.521Z,english_113.wav,0,peel,1021,41,5,Japanese,m,4,0.32341667,-37.19939988,0.45590133
NBI,10,0,2024-10-08T00:42:29.521Z,english_79.wav,0,pill,956,41,5,Japanese,m,0,0.0,-69.52518262,0.23164561
NBI,10,0,2024-10-08T00:42:29.521Z,english_79.wav,0,pill,956,41,5,Japanese,m,1,0.1,56.533406,1.01948637
NBI,10,0,2024-10-08T00:42:29.521Z,english_79.wav,0,pill,956,41,5,Japanese,m,2,0.2,25.92051761,0.17653141
NBI,10,0,2024-10-08T00:42:29.521Z,english_79.wav,0,pill,956,41,5,Japanese,m,3,0.3,81.58880491,0.14868702
NBI,10,0,2024-10-08T00:42:29.521Z,english_79.wav,0,pill,956,41,5,Japanese,m,4,0.32341667,-19.75719301,0.33345335
