subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
RIT,0,0,2024-06-27T06:57:09.625Z,english_607.wav,0,pill,12020,18,5,Japanese,f,0,0.0,46.6865757,1.30575186
RIT,0,0,2024-06-27T06:57:09.625Z,english_607.wav,0,pill,12020,18,5,Japanese,f,1,0.1,39.2269946,1.04660061
RIT,0,0,2024-06-27T06:57:09.625Z,english_607.wav,0,pill,12020,18,5,Japanese,f,2,0.2,9.54774619,0.88274406
RIT,0,0,2024-06-27T06:57:09.625Z,english_607.wav,0,pill,12020,18,5,Japanese,f,3,0.3,16.02187378,1.5824547
RIT,0,0,2024-06-27T06:57:09.625Z,english_607.wav,0,pill,12020,18,5,Japanese,f,4,0.32341667,75.62266759,0.67660632
RIT,1,0,2024-06-27T06:57:09.625Z,english_928.wav,0,pill,7828,18,5,Japanese,f,0,0.0,55.07207497,1.22706758
RIT,1,0,2024-06-27T06:57:09.625Z,english_928.wav,0,pill,7828,18,5,Japanese,f,1,0.1,83.71672672,0.97206042
RIT,1,0,2024-06-27T06:57:09.625Z,english_928.wav,0,pill,7828,18,5,Japanese,f,2,0.2,-43.28929986,0.16969859
RIT,1,0,2024-06-27T06:57:09.625Z,english_928.wav,0,pill,7828,18,5,Japanese,f,3,0.3,-17.1692271,0.90092586
RIT,1,0,2024-06-27T06:57:09.625Z,english_928.wav,0,pill,7828,18,5,Japanese,f,4,0.32341667,-36.644272,0.43024518
RIT,2,0,2024-06-27T06:57:09.625Z,english_340.wav,0,pill,4630,18,5,Japanese,f,0,0.0,42.62794877,1.44385011
RIT,2,0,2024-06-27T06:57:09.625Z,english_340.wav,0,pill,4630,18,5,Japanese,f,1,0.1,67.09042835,1.29329602
RIT,2,0,2024-06-27T06:57:09.625Z,english_340.wav,0,pill,4630,18,5,Japanese,f,2,0.2,-80.28719593,1.71068781
RIT,2,0,2024-06-27T06:57:09.625Z,english_340.wav,0,pill,4630,18,5,Japanese,f,3,0.3,-47.97556268,0.48872717
RIT,2,0,2024-06-27T06:57:09.625Z,english_340.wav,0,pill,4630,18,5,Japanese,f,4,0.32341667,32.7013797,1.09000269
RIT,3,0,2024-06-27T06:57:09.625Z,english_482.wav,0,pill,9100,18,5,Japanese,f,0,0.0,-75.58658814,1.00366747
RIT,3,0,2024-06-27T06:57:09.625Z,english_482.wav,0,pill,9100,18,5,Japanese,f,1,0.1,-97.88900999,1.47597923
RIT,3,0,2024-06-27T06:57:09.625Z,english_482.wav,0,pill,9100,18,5,Japanese,f,2,0.2,-4.46161317,1.10854794
RIT,3,0,2024-06-27T06:57:09.625Z,english_482.wav,0,pill,9100,18,5,Japanese,f,3,0.3,31.34799552,1.07348452
RIT,3,0,2024-06-27T06:57:09.625Z,english_482.wav,0,pill,9100,18,5,Japanese,f,4,0.32341667,-51.80510351,0.67390339
RIT,4,0,2024-06-27T06:57:09.625Z,english_488.wav,0,peel,1746,18,5,Japanese,f,0,0.0,7.19120882,0.55609806
RIT,4,0,2024-06-27T06:57:09.625Z,english_488.wav,0,peel,1746,18,5,Japanese,f,1,0.1,11.64873536,1.36121935
RIT,4,0,2024-06-27T06:57:09.625Z,english_488.wav,0,peel,1746,18,5,Japanese,f,2,0.2,59.26032861,0.93872915
