subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
RIY,0,0,2024-06-30T12:40:55.171Z,english_759.wav,0,pill,4607,0,0.0,22.56482953,0.32974928
RIY,0,0,2024-06-30T12:40:55.171Z,english_759.wav,0,pill,4607,1,0.1,-26.57515882,0.74944663
RIY,0,0,2024-06-30T12:40:55.171Z,english_759.wav,0,pill,4607,2,0.2,58.52096087,0.73148935
RIY,0,0,2024-06-30T12:40:55.171Z,english_759.wav,0,pill,4607,3,0.3,67.88336338,0.69769471
RIY,0,0,2024-06-30T12:40:55.171Z,english_759.wav,0,pill,4607,4,0.32341667,-98.7178367,1.46371733
RIY,1,0,2024-06-30T12:40:55.171Z,english_617.wav,0,pill,1541,0,0.0,-99.94195333,1.17597353
RIY,1,0,2024-06-30T12:40:55.171Z,english_617.wav,0,pill,1541,1,0.1,-27.54289523,0.72595777
RIY,1,0,2024-06-30T12:40:55.171Z,english_617.wav,0,pill,1541,2,0.2,-31.48016085,0.94648609
RIY,1,0,2024-06-30T12:40:55.171Z,english_617.wav,0,pill,1541,3,0.3,-72.28967102,1.67485207
RIY,1,0,2024-06-30T12:40:55.171Z,english_617.wav,0,pill,1541,4,0.32341667,-18.83127656,0.94146903
RIY,2,0,2024-06-30T12:40:55.171Z,english_911.wav,0,pill,3912,0,0.0,62.6913709,0.89860539
RIY,2,0,2024-06-30T12:40:55.171Z,english_911.wav,0,pill,3912,1,0.1,-28.7089255,0.06791792
RIY,2,0,2024-06-30T12:40:55.171Z,english_911.wav,0,pill,3912,2,0.2,-71.03383871,1.00076401
RIY,2,0,2024-06-30T12:40:55.171Z,english_911.wav,0,pill,3912,3,0.3,93.02773855,1.24961505
RIY,2,0,2024-06-30T12:40:55.171Z,english_911.wav,0,pill,3912,4,0.32341667,93.73973981,1.26639778
RIY,3,0,2024-06-30T12:40:55.171Z,english_416.wav,0,peel,5538,0,0.0,26.92040942,0.66708871
RIY,3,0,2024-06-30T12:40:55.171Z,english_416.wav,0,peel,5538,1,0.1,32.98463782,0.46140785
RIY,3,0,2024-06-30T12:40:55.171Z,english_416.wav,0,peel,5538,2,0.2,94.30298269,0.4311344
RIY,3,0,2024-06-30T12:40:55.171Z,english_416.wav,0,peel,5538,3,0.3,71.4008894,0.4522554
RIY,3,0,2024-06-30T12:40:55.171Z,english_416.wav,0,peel,5538,4,0.32341667,-13.61584313,0.23817019
RIY,4,0,2024-06-30T12:40:55.171Z,english_328.wav,0,peel,3831,0,0.0,-24.96515822,0.68772771
RIY,4,0,2024-06-30T12:40:55.171Z,english_328.wav,0,peel,3831,1,0.1,36.64267249,0.30369637
RIY,4,0,2024-06-30T12:40:55.171Z,english_328.wav,0,peel,3831,2,0.2,-93.60804347,1.16330199
RIY,4,0,2024-06-30T12:40:55.171Z,english_328.wav,0,peel,3831,3,0.3,9.86556644,0.69001341
RIY,4,0,2024-06-30T12:40:55.171Z,english_328.wav,0,peel,3831,4,0.32341667,-17.13685423,0.54642887
RIY,5,0,2024-06-30T12:40:55.171Z,english_752.wav,0,peel,629,0,0.0,-89.50526135,1.26833375
RIY,5,0,2024-06-30T12:40:55.171Z,english_752.wav,0,peel,629,1,0.1,16.42916277,1.25445964
RIY,5,0,2024-06-30T12:40:55.171Z,english_752.wav,0,peel,629,2,0.2,-62.11724863,1.84048801
RIY,5,0,2024-06-30T12:40:55.171Z,english_752.wav,0,peel,629,3,0.3,-22.7839786,0.96813738
RIY,5,0,2024-06-30T12:40:55.171Z,english_752.wav,0,peel,629,4,0.32341667,21.77934146,1.95604557
RIY,6,0,2024-06-30T12:40:55.171Z,english_870.wav,0,peel,1399,0,0.0,-85.66751388,1.70746054
RIY,6,0,2024-06-30T12:40:55.171Z,english_870.wav,0,peel,1399,1,0.1,30.55194498,0.68953906
RIY,6,0,2024-06-30T12:40:55.171Z,english_870.wav,0,peel,1399,2,0.2,-98.28008273,1.62274852
RIY,6,0,2024-06-30T12:40:55.171Z,english_870.wav,0,peel,1399,3,0.3,-58.1418371,0.74531017
RIY,6,0,2024-06-30T12:40:55.171Z,english_870.wav,0,peel,1399,4,0.32341667,81.20200135,1.06596266
RIY,7,0,2024-06-30T12:40:55.171Z,english_914.wav,0,peel,502,0,0.0,37.51857345,0.04486829
RIY,7,0,2024-06-30T12:40:55.171Z,english_914.wav,0,peel,502,1,0.1,-30.53068311,1.18486584
RIY,7,0,2024-06-30T12:40:55.171Z,english_914.wav,0,peel,502,2,0.2,-12.980452,1.58356311
RIY,7,0,2024-06-30T12:40:55.171Z,english_914.wav,0,peel,502,3,0.3,-99.09260462,1.35478251
RIY,7,0,2024-06-30T12:40:55.171Z,english_914.wav,0,peel,502,4,0.32341667,-34.91402533,1.16671671
RIY,8,0,2024-06-30T12:40:55.171Z,english_216.wav,0,peel,407,0,0.0,-62.2888105,1.07577895
RIY,8,0,2024-06-30T12:40:55.171Z,english_216.wav,0,peel,407,1,0.1,-52.19325919,1.07125686
RIY,8,0,2024-06-30T12:40:55.171Z,english_216.wav,0,peel,407,2,0.2,-77.81566322,1.51342084
RIY,8,0,2024-06-30T12:40:55.171Z,english_216.wav,0,peel,407,3,0.3,73.5246301,1.37714716
RIY,8,0,2024-06-30T12:40:55.171Z,english_216.wav,0,peel,407,4,0.32341667,73.4409389,1.55456291
RIY,9,0,2024-06-30T12:40:55.171Z,english_838.wav,0,peel,685,0,0.0,-46.43239877,0.57293762
RIY,9,0,2024-06-30T12:40:55.171Z,english_838.wav,0,peel,685,1,0.1,-0.77549132,1.65450135
RIY,9,0,2024-06-30T12:40:55.171Z,english_838.wav,0,peel,685,2,0.2,-47.56158581,0.30574951
RIY,9,0,2024-06-30T12:40:55.171Z,english_838.wav,0,peel,685,3,0.3,7.18116474,0.96315644
RIY,9,0,2024-06-30T12:40:55.171Z,english_838.wav,0,peel,685,4,0.32341667,-87.38880816,0.83017899
RIY,10,0,2024-06-30T12:40:55.171Z,english_376.wav,0,peel,990,0,0.0,-10.66231765,0.83936518
RIY,10,0,2024-06-30T12:40:55.171Z,english_376.wav,0,peel,990,1,0.1,-53.95799634,1.7265478
RIY,10,0,2024-06-30T12:40:55.171Z,english_376.wav,0,peel,990,2,0.2,-44.60014177,0.44309389
RIY,10,0,2024-06-30T12:40:55.171Z,english_376.wav,0,peel,990,3,0.3,-84.32777745,1.91772458
RIY,10,0,2024-06-30T12:40:55.171Z,english_376.wav,0,peel,990,4,0.32341667,-2.76179289,0.76255227
RIY,11,0,2024-06-30T12:40:55.171Z,english_256.wav,0,peel,2553,0,0.0,22.60769813,1.84037168
RIY,11,0,2024-06-30T12:40:55.171Z,english_256.wav,0,peel,2553,1,0.1,-95.01444593,0.47687766
RIY,11,0,2024-06-30T12:40:55.171Z,english_256.wav,0,peel,2553,2,0.2,-19.91310746,0.85339151
RIY,11,0,2024-06-30T12:40:55.171Z,english_256.wav,0,peel,2553,3,0.3,-6.39209363,0.75097161
RIY,11,0,2024-06-30T12:40:55.171Z,english_256.wav,0,peel,2553,4,0.32341667,24.02209282,1.98695073
RIY,12,0,2024-06-30T12:40:55.171Z,english_648.wav,0,peel,747,0,0.0,-36.17742204,0.57576188
RIY,12,0,2024-06-30T12:40:55.171Z,english_648.wav,0,peel,747,1,0.1,30.10697278,1.1310908
RIY,12,0,2024-06-30T12:40:55.171Z,english_648.wav,0,peel,747,2,0.2,-67.31320052,1.67112441
RIY,12,0,2024-06-30T12:40:55.171Z,english_648.wav,0,peel,747,3,0.3,-10.94597212,0.39641968
RIY,12,0,2024-06-30T12:40:55.171Z,english_648.wav,0,peel,747,4,0.32341667,72.59648235,1.93789316
RIY,13,0,2024-06-30T12:40:55.171Z,english_63.wav,0,peel,410,0,0.0,-99.27532027,1.55063038
RIY,13,0,2024-06-30T12:40:55.171Z,english_63.wav,0,peel,410,1,0.1,76.75365344,0.78453917
RIY,13,0,2024-06-30T12:40:55.171Z,english_63.wav,0,peel,410,2,0.2,-4.19867406,1.54061689
RIY,13,0,2024-06-30T12:40:55.171Z,english_63.wav,0,peel,410,3,0.3,58.21469339,0.9417581
RIY,13,0,2024-06-30T12:40:55.171Z,english_63.wav,0,peel,410,4,0.32341667,-76.25580242,1.07689855
RIY,14,0,2024-06-30T12:40:55.171Z,english_346.wav,0,peel,3651,0,0.0,29.51078372,1.24489428
RIY,14,0,2024-06-30T12:40:55.171Z,english_346.wav,0,peel,3651,1,0.1,86.25753287,1.77356048
RIY,14,0,2024-06-30T12:40:55.171Z,english_346.wav,0,peel,3651,2,0.2,95.6553577,1.30862901
RIY,14,0,2024-06-30T12:40:55.171Z,english_346.wav,0,peel,3651,3,0.3,-65.97707071,0.68318311
RIY,14,0,2024-06-30T12:40:55.171Z,english_346.wav,0,peel,3651,4,0.32341667,49.79896228,1.63073528
RIY,15,0,2024-06-30T12:40:55.171Z,english_954.wav,0,peel,1102,0,0.0,-31.7323473,1.78985335
RIY,15,0,2024-06-30T12:40:55.171Z,english_954.wav,0,peel,1102,1,0.1,26.42807939,1.38754521
RIY,15,0,2024-06-30T12:40:55.171Z,english_954.wav,0,peel,1102,2,0.2,22.25968883,1.54917493
RIY,15,0,2024-06-30T12:40:55.171Z,english_954.wav,0,peel,1102,3,0.3,-25.30270181,1.54718362
RIY,15,0,2024-06-30T12:40:55.171Z,english_954.wav,0,peel,1102,4,0.32341667,46.97185243,0.09638929
RIY,16,0,2024-06-30T12:40:55.171Z,english_94.wav,0,pill,4299,0,0.0,-78.50776969,1.58967719
RIY,16,0,2024-06-30T12:40:55.171Z,english_94.wav,0,pill,4299,1,0.1,21.81048112,0.88841047
RIY,16,0,2024-06-30T12:40:55.171Z,english_94.wav,0,pill,4299,2,0.2,76.78230264,1.12549424
RIY,16,0,2024-06-30T12:40:55.171Z,english_94.wav,0,pill,4299,3,0.3,-35.62145712,1.80621507
RIY,16,0,2024-06-30T12:40:55.171Z,english_94.wav,0,pill,4299,4,0.32341667,-71.39427505,1.00879957
RIY,17,0,2024-06-30T12:40:55.171Z,english_263.wav,0,pill,1071,0,0.0,4.78285782,1.6410762
RIY,17,0,2024-06-30T12:40:55.171Z,english_263.wav,0,pill,1071,1,0.1,13.60270601,0.7602565
RIY,17,0,2024-06-30T12:40:55.171Z,english_263.wav,0,pill,1071,2,0.2,39.50896912,0.2694778
RIY,17,0,2024-06-30T12:40:55.171Z,english_263.wav,0,pill,1071,3,0.3,22.44107494,1.51649535
RIY,17,0,2024-06-30T12:40:55.171Z,english_263.wav,0,pill,1071,4,0.32341667,-36.00172497,0.60574629
RIY,18,0,2024-06-30T12:40:55.171Z,english_293.wav,0,pill,1410,0,0.0,-22.15906653,1.76366583
RIY,18,0,2024-06-30T12:40:55.171Z,english_293.wav,0,pill,1410,1,0.1,-88.62057809,0.55660069
RIY,18,0,2024-06-30T12:40:55.171Z,english_293.wav,0,pill,1410,2,0.2,-18.47979893,1.17282558
RIY,18,0,2024-06-30T12:40:55.171Z,english_293.wav,0,pill,1410,3,0.3,-74.2852497,0.49477424
RIY,18,0,2024-06-30T12:40:55.171Z,english_293.wav,0,pill,1410,4,0.32341667,59.45323022,0.66659794
RIY,19,0,2024-06-30T12:40:55.171Z,english_58.wav,0,peel,404,0,0.0,20.12478601,1.19415515
RIY,19,0,2024-06-30T12:40:55.171Z,english_58.wav,0,peel,404,1,0.1,-22.60038942,0.26098942
RIY,19,0,2024-06-30T12:40:55.171Z,english_58.wav,0,peel,404,2,0.2,34.38627512,1.99195241
RIY,19,0,2024-06-30T12:40:55.171Z,english_58.wav,0,peel,404,3,0.3,30.90369434,0.42925074
RIY,19,0,2024-06-30T12:40:55.171Z,english_58.wav,0,peel,404,4,0.32341667,11.39971337,0.50368767
RIY,20,0,2024-06-30T12:40:55.171Z,english_96.wav,0,pill,1091,0,0.0,-2.60251168,1.33849038
RIY,20,0,2024-06-30T12:40:55.171Z,english_96.wav,0,pill,1091,1,0.1,3.1808695,1.03790095
RIY,20,0,2024-06-30T12:40:55.171Z,english_96.wav,0,pill,1091,2,0.2,-93.89625608,0.32730996
RIY,20,0,2024-06-30T12:40:55.171Z,english_96.wav,0,pill,1091,3,0.3,22.03695444,1.15118519
RIY,20,0,2024-06-30T12:40:55.171Z,english_96.wav,0,pill,1091,4,0.32341667,89.13776591,1.37996061
RIY,21,0,2024-06-30T12:40:55.171Z,english_6.wav,0,peel,356,0,0.0,-8.2116192,1.24832701
