subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
SAF,0,0,2024-10-15T04:08:19.027Z,english_860.wav,0,pill,4199,39,5,Japanese,m,0,0.0,10.25066679,1.47817545
SAF,0,0,2024-10-15T04:08:19.027Z,english_860.wav,0,pill,4199,39,5,Japanese,m,1,0.1,55.87909831,1.32859058
SAF,0,0,2024-10-15T04:08:19.027Z,english_860.wav,0,pill,4199,39,5,Japanese,m,2,0.2,81.09373959,0.99201561
SAF,0,0,2024-10-15T04:08:19.027Z,english_860.wav,0,pill,4199,39,5,Japanese,m,3,0.3,15.52286826,0.3312489
SAF,0,0,2024-10-15T04:08:19.027Z,english_860.wav,0,pill,4199,39,5,Japanese,m,4,0.32341667,58.18702512,0.66001743
SAF,1,0,2024-10-15T04:08:19.027Z,english_409.wav,0,pill,4559,39,5,Japanese,m,0,0.0,-24.04105399,0.29560797
SAF,1,0,2024-10-15T04:08:19.027Z,english_409.wav,0,pill,4559,39,5,Japanese,m,1,0.1,-26.67389605,1.53762848
SAF,1,0,2024-10-15T04:08:19.027Z,english_409.wav,0,pill,4559,39,5,Japanese,m,2,0.2,23.9966363,0.34602898
SAF,1,0,2024-10-15T04:08:19.027Z,english_409.wav,0,pill,4559,39,5,Japanese,m,3,0.3,16.61705293,1.21824435
SAF,1,0,2024-10-15T04:08:19.027Z,english_409.wav,0,pill,4559,39,5,Japanese,m,4,0.32341667,73.09980407,1.55330233
SAF,2,0,2024-10-15T04:08:19.027Z,english_850.wav,0,pill,5183,39,5,Japanese,m,0,0.0,79.79173837,1.46721922
SAF,2,0,2024-10-15T04:08:19.027Z,english_850.wav,0,pill,5183,39,5,Japanese,m,1,0.1,-44.24877139,0.57242606
SAF,2,0,2024-10-15T04:08:19.027Z,english_850.wav,0,pill,5183,39,5,Japanese,m,2,0.2,74.77623955,0.15597525
SAF,2,0,2024-10-15T04:08:19.027Z,english_850.wav,0,pill,5183,39,5,Japanese,m,3,0.3,-86.32612653,1.3358867
SAF,2,0,2024-10-15T04:08:19.027Z,english_850.wav,0,pill,5183,39,5,Japanese,m,4,0.32341667,-11.10230867,1.14618682
