subj,trial,block,date,stim,stim_order,response,rt,param_index,segment,pitch,stretch
YAY,0,0,2024-06-22T16:01:35.419Z,english_496.wav,0,pill,4209,0,0.0,-50.36729616,1.24588939
YAY,0,0,2024-06-22T16:01:35.419Z,english_496.wav,0,pill,4209,1,0.1,43.15166092,1.651593
YAY,0,0,2024-06-22T16:01:35.419Z,english_496.wav,0,pill,4209,2,0.2,-89.08132341,0.94120535
YAY,0,0,2024-06-22T16:01:35.419Z,english_496.wav,0,pill,4209,3,0.3,-31.93753525,0.55989053
YAY,0,0,2024-06-22T16:01:35.419Z,english_496.wav,0,pill,4209,4,0.32341667,-79.66514086,1.95233748
YAY,1,0,2024-06-22T16:01:35.419Z,english_703.wav,0,pill,1114,0,0.0,21.25560127,1.22587136
YAY,1,0,2024-06-22T16:01:35.419Z,english_703.wav,0,pill,1114,1,0.1,-5.61566417,1.28752652
YAY,1,0,2024-06-22T16:01:35.419Z,english_703.wav,0,pill,1114,2,0.2,-88.15973778,1.61643937
YAY,1,0,2024-06-22T16:01:35.419Z,english_703.wav,0,pill,1114,3,0.3,39.86499493,1.32560109
YAY,1,0,2024-06-22T16:01:35.419Z,english_703.wav,0,pill,1114,4,0.32341667,64.67338156,0.74206522
YAY,2,0,2024-06-22T16:01:35.419Z,english_457.wav,0,pill,2568,0,0.0,-73.30847947,0.35525387
YAY,2,0,2024-06-22T16:01:35.419Z,english_457.wav,0,pill,2568,1,0.1,-25.74413936,0.90483023
YAY,2,0,2024-06-22T16:01:35.419Z,english_457.wav,0,pill,2568,2,0.2,8.82772976,1.30004432
YAY,2,0,2024-06-22T16:01:35.419Z,english_457.wav,0,pill,2568,3,0.3,-2.30416086,0.93422762
YAY,2,0,2024-06-22T16:01:35.419Z,english_457.wav,0,pill,2568,4,0.32341667,-34.04493945,1.31504388
YAY,3,0,2024-06-22T16:01:35.419Z,english_352.wav,0,pill,2082,0,0.0,71.64354449,0.18312459
YAY,3,0,2024-06-22T16:01:35.419Z,english_352.wav,0,pill,2082,1,0.1,53.2516906,1.19991438
YAY,3,0,2024-06-22T16:01:35.419Z,english_352.wav,0,pill,2082,2,0.2,28.90726554,1.21095973
YAY,3,0,2024-06-22T16:01:35.419Z,english_352.wav,0,pill,2082,3,0.3,-49.8940387,1.61067418
YAY,3,0,2024-06-22T16:01:35.419Z,english_352.wav,0,pill,2082,4,0.32341667,21.76832357,1.26376439
YAY,4,0,2024-06-22T16:01:35.419Z,english_953.wav,0,pill,2149,0,0.0,-16.02430182,0.31806788
YAY,4,0,2024-06-22T16:01:35.419Z,english_953.wav,0,pill,2149,1,0.1,29.58660593,0.5983964
YAY,4,0,2024-06-22T16:01:35.419Z,english_953.wav,0,pill,2149,2,0.2,-69.77021268,1.47459901
YAY,4,0,2024-06-22T16:01:35.419Z,english_953.wav,0,pill,2149,3,0.3,10.24378989,1.63555671
