subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
consent,0,0,2024-05-30T21:02:11.858Z,english_765.wav,0,pill,2506,29,2,Japanese,m,0,0.0,-52.71695997,0.24697616
consent,0,0,2024-05-30T21:02:11.858Z,english_765.wav,0,pill,2506,29,2,Japanese,m,1,0.1,-0.72548599,1.34458244
consent,0,0,2024-05-30T21:02:11.858Z,english_765.wav,0,pill,2506,29,2,Japanese,m,2,0.2,-25.46106624,0.2833524
consent,0,0,2024-05-30T21:02:11.858Z,english_765.wav,0,pill,2506,29,2,Japanese,m,3,0.3,-15.36834083,0.99517128
consent,0,0,2024-05-30T21:02:11.858Z,english_765.wav,0,pill,2506,29,2,Japanese,m,4,0.32341667,-34.08212533,0.81265208
consent,1,0,2024-05-30T21:02:11.858Z,english_363.wav,0,pill,7970,29,2,Japanese,m,0,0.0,-8.62246293,0.22304778
consent,1,0,2024-05-30T21:02:11.858Z,english_363.wav,0,pill,7970,29,2,Japanese,m,1,0.1,-37.95317313,0.51009023
consent,1,0,2024-05-30T21:02:11.858Z,english_363.wav,0,pill,7970,29,2,Japanese,m,2,0.2,-98.56362786,1.67320701
consent,1,0,2024-05-30T21:02:11.858Z,english_363.wav,0,pill,7970,29,2,Japanese,m,3,0.3,79.4101663,0.32318158
consent,1,0,2024-05-30T21:02:11.858Z,english_363.wav,0,pill,7970,29,2,Japanese,m,4,0.32341667,-19.01593507,1.23606141
consent,2,0,2024-05-30T21:02:11.858Z,english_287.wav,0,pill,4079,29,2,Japanese,m,0,0.0,-5.71925808,1.04112926
consent,2,0,2024-05-30T21:02:11.858Z,english_287.wav,0,pill,4079,29,2,Japanese,m,1,0.1,-94.78041007,0.35149142
consent,2,0,2024-05-30T21:02:11.858Z,english_287.wav,0,pill,4079,29,2,Japanese,m,2,0.2,8.34641368,0.86781598
consent,2,0,2024-05-30T21:02:11.858Z,english_287.wav,0,pill,4079,29,2,Japanese,m,3,0.3,36.34893025,1.897904
consent,2,0,2024-05-30T21:02:11.858Z,english_287.wav,0,pill,4079,29,2,Japanese,m,4,0.32341667,-22.47689594,0.5607403
consent,3,0,2024-05-30T21:02:11.858Z,english_493.wav,0,pill,2266,29,2,Japanese,m,0,0.0,42.62366846,0.72879325
consent,3,0,2024-05-30T21:02:11.858Z,english_493.wav,0,pill,2266,29,2,Japanese,m,1,0.1,-24.95330968,1.87742997
consent,3,0,2024-05-30T21:02:11.858Z,english_493.wav,0,pill,2266,29,2,Japanese,m,2,0.2,82.3526737,1.69463318
consent,3,0,2024-05-30T21:02:11.858Z,english_493.wav,0,pill,2266,29,2,Japanese,m,3,0.3,53.78370402,0.82529142
consent,3,0,2024-05-30T21:02:11.858Z,english_493.wav,0,pill,2266,29,2,Japanese,m,4,0.32341667,-52.5410085,0.10126548
consent,4,0,2024-05-30T21:02:11.858Z,english_688.wav,0,pill,918,29,2,Japanese,m,0,0.0,-45.64286614,1.06356906
consent,4,0,2024-05-30T21:02:11.858Z,english_688.wav,0,pill,918,29,2,Japanese,m,1,0.1,39.73956276,0.85197809
consent,4,0,2024-05-30T21:02:11.858Z,english_688.wav,0,pill,918,29,2,Japanese,m,2,0.2,40.53719602,0.68718846
consent,4,0,2024-05-30T21:02:11.858Z,english_688.wav,0,pill,918,29,2,Japanese,m,3,0.3,-71.29470492,1.67995478
consent,4,0,2024-05-30T21:02:11.858Z,english_688.wav,0,pill,918,29,2,Japanese,m,4,0.32341667,73.7490074,1.45979079
