subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,0,0,-31.43099856,1.38428974
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,1,0.1,8.65477654,1.381989
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,2,0.2,-52.28282098,0.85842321
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,3,0.3,91.1008366,0.86053133
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,4,0.4,-9.23078544,0.18720345
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,5,0.5,-48.12825779,1.02834673
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,6,0.6,31.75901499,0.26507894
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,7,0.7,26.51097314,0.89767529
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,8,0.8,-0.94893242,1.04721154
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,9,0.9,-80.42410318,1.94213174
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,10,1,-37.42269733,0.45384942
CW,0,0,2024-06-15T08:33:59.292Z,english_775.wav,0,0,21422,27,4,chinese,male,11,1.09391667,-30.31023423,1.30082565
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,0,0,15.15197213,1.10343193
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,1,0.1,12.09834356,1.24784569
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,2,0.2,-98.90945178,0.69536812
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,3,0.3,-7.24132806,1.50082123
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,4,0.4,-22.04912785,1.78962455
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,5,0.5,53.27175302,0.59868421
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,6,0.6,18.92228417,1.36027969
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,7,0.7,65.4652164,1.44726147
CW,1,0,2024-06-15T08:33:59.292Z,english_896.wav,0,0,5169,27,4,chinese,male,8,0.8,51.91420072,1.08983894
