subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,0,0,82.43182744,0.48127721
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,1,0.1,53.03166004,0.55506125
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,2,0.2,97.51798843,1.10002465
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,3,0.3,29.41957171,0.46187328
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,4,0.4,-25.73379092,1.80124094
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,5,0.5,-41.53228359,1.29733702
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,6,0.6,-18.26850451,0.88634114
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,7,0.7,36.25947798,0.74571926
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,8,0.8,3.82481386,0.12319745
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,9,0.9,51.45810025,1.56017106
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,10,1,0.92473006,1.11470687
DJX,0,0,2024-06-13T10:28:56.157Z,english_416.wav,0,0,1526,20,4,Chinese,f,11,1.09391667,18.75162815,1.36917422
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,0,0,-67.17987083,1.61589393
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,1,0.1,70.02176421,1.03467422
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,2,0.2,82.2704811,1.69488483
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,3,0.3,-4.42560713,0.26984678
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,4,0.4,-22.03224373,1.53427209
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,5,0.5,-71.21536039,1.44135847
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,6,0.6,23.47193627,0.91698709
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,7,0.7,-95.21485964,0.33548871
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,8,0.8,76.54647,1.77334308
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,9,0.9,67.43828429,1.62177199
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,10,1,-41.3478141,0.29474728
DJX,1,0,2024-06-13T10:28:56.157Z,english_426.wav,0,1,4063,20,4,Chinese,f,11,1.09391667,-8.81391429,0.79627592
DJX,2,0,2024-06-13T10:28:56.157Z,english_636.wav,0,0,1186,20,4,Chinese,f,0,0,67.71914356,0.71351394
DJX,2,0,2024-06-13T10:28:56.157Z,english_636.wav,0,0,1186,20,4,Chinese,f,1,0.1,73.23750135,0.58810626
