subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,0,0,-56.93168928,1.92395656
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,1,0.1,-40.57515649,1.41156549
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,2,0.2,-26.26283105,0.14185194
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,3,0.3,-49.62797955,1.1985334
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,4,0.4,47.07146778,0.83326814
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,5,0.5,-96.41882062,0.71224123
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,6,0.6,63.09662026,1.58040322
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,7,0.7,98.67053018,1.02327595
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,8,0.8,-56.85749065,1.48703987
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,9,0.9,-18.03690135,0.70290333
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,10,1,52.13097753,0.53460392
FDQ,0,0,2024-06-13T05:52:13.846Z,english_857.wav,0,0,9411,21,4,Chinese,f,11,1.09391667,52.54650928,1.10851945
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,0,0,-35.3182661,1.27669121
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,1,0.1,-21.7738587,1.4602349
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,2,0.2,82.1428169,0.09750383
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,3,0.3,-12.2731677,0.51655458
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,4,0.4,4.83424811,1.15347497
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,5,0.5,-0.0854945092,1.01469442
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,6,0.6,-92.693816,0.31102011
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,7,0.7,-91.5131295,1.44230515
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,8,0.8,58.0373061,0.03377485
FDQ,1,0,2024-06-13T05:52:13.846Z,english_917.wav,0,0,7943,21,4,Chinese,f,9,0.9,-28.6534312,0.48994194
