subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,0,0,21.21965496,0.74332802
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,1,0.1,-28.10028624,0.09938773
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,2,0.2,87.2285398,0.50575358
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,3,0.3,41.56317367,0.643087
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,4,0.4,-7.26177219,0.60738988
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,5,0.5,82.03356609,0.78763104
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,6,0.6,-50.47589124,1.37786949
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,7,0.7,-94.47584418,1.33601808
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,8,0.8,-25.95412099,1.06645132
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,9,0.9,99.30679825,1.13650404
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,10,1,62.70648748,0.36591568
FQC,0,0,2024-06-14T03:00:52.107Z,english_862.wav,0,1,1887,,,,,11,1.09391667,64.43642371,1.86759313
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,0,0,40.69288354,1.09000391
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,1,0.1,-87.28554983,0.74880644
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,2,0.2,-64.50130746,0.58255578
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,3,0.3,65.0554957,0.66468618
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,4,0.4,-34.90387066,1.54627645
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,5,0.5,29.56597753,0.56660027
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,6,0.6,36.50215848,0.69792946
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,7,0.7,-55.69798386,1.00541299
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,8,0.8,12.84757482,0.65534854
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,9,0.9,-23.54866279,1.89531092
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,10,1,-55.73647309,0.87598705
FQC,1,0,2024-06-14T03:00:52.107Z,english_367.wav,0,1,1061,,,,,11,1.09391667,79.84600893,1.75535151
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,0,0,-82.79812385,1.11396114
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,1,0.1,13.26533661,1.75736632
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,2,0.2,-27.77858548,0.50029201
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,3,0.3,-8.21179447,0.94281284
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,4,0.4,42.22985327,0.51943545
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,5,0.5,28.42887923,1.6869371
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,6,0.6,80.44970592,0.17301415
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,7,0.7,21.26225147,1.48852219
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,8,0.8,-37.93625661,1.01404105
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,9,0.9,-26.7095537,1.17770211
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,10,1,-21.16506099,1.73105649
FQC,2,0,2024-06-14T03:00:52.107Z,english_442.wav,0,1,1123,,,,,11,1.09391667,7.34933703,1.8720967
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,0,0,15.97763116,1.94177241
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,1,0.1,-13.3847134,0.74015027
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,2,0.2,-29.63675022,0.26772348
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,3,0.3,-94.12252117,0.24482628
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,4,0.4,37.44404644,0.73676391
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,5,0.5,-13.47562993,0.3869803
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,6,0.6,28.72077468,0.62582606
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,7,0.7,-25.31213713,0.50244213
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,8,0.8,12.33791488,0.1260874
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,9,0.9,1.56732473,0.8031848
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,10,1,-29.87361041,1.5387452
FQC,3,0,2024-06-14T03:00:52.107Z,english_260.wav,0,1,2458,,,,,11,1.09391667,9.56042619,0.69389389
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,0,0,41.65293518,0.10243767
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,1,0.1,12.19905505,1.22737147
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,2,0.2,-17.7367635,0.80405871
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,3,0.3,82.5511566,1.55191633
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,4,0.4,24.18828857,0.00681269
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,5,0.5,-37.78588701,1.47971367
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,6,0.6,12.42409681,0.34468947
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,7,0.7,-1.0486121,0.87101018
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,8,0.8,-50.74764629,1.12590191
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,9,0.9,-93.36344031,1.039516
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,10,1,39.91763763,1.26341771
FQC,4,0,2024-06-14T03:00:52.107Z,english_854.wav,0,1,4087,,,,,11,1.09391667,-16.62780594,1.79941384
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,0,0,-7.75302897,0.29368166
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,1,0.1,23.88086762,1.58141682
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,2,0.2,-0.54854112,0.68322719
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,3,0.3,11.38417001,1.0607803
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,4,0.4,76.48373601,0.5459371
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,5,0.5,34.68075028,1.82829661
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,6,0.6,-14.34298834,1.23009433
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,7,0.7,26.82043511,1.38131853
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,8,0.8,60.32593039,0.45099226
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,9,0.9,-38.40765739,1.79672484
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,10,1,7.55243951,0.11050545
FQC,5,0,2024-06-14T03:00:52.107Z,english_499.wav,0,1,2033,,,,,11,1.09391667,-96.29085545,0.98124995
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,0,0,-81.37820874,0.766267
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,1,0.1,78.5335862,0.99963617
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,2,0.2,2.49490295,0.86356333
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,3,0.3,-86.79579175,1.2935249
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,4,0.4,67.70163639,1.06200742
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,5,0.5,15.95354821,0.35652914
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,6,0.6,39.96363373,0.94623028
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,7,0.7,26.12658962,1.75391992
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,8,0.8,-97.91039736,0.51382587
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,9,0.9,-31.02807756,0.42089134
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,10,1,-20.21947661,0.35251111
FQC,6,0,2024-06-14T03:00:52.107Z,english_23.wav,0,0,1059,,,,,11,1.09391667,-62.16065677,0.28724109
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,0,0,17.48179392,1.16767435
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,1,0.1,-20.93259057,1.12895723
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,2,0.2,38.48191575,0.3034601
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,3,0.3,-43.04758346,1.48058882
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,4,0.4,-27.49631219,0.85133692
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,5,0.5,-43.30662093,1.76317004
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,6,0.6,-11.80067145,0.40561242
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,7,0.7,-65.69750473,0.69119528
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,8,0.8,36.09713106,0.70403422
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,9,0.9,-89.16917769,0.50785509
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,10,1,-11.53730863,0.15277714
FQC,7,0,2024-06-14T03:00:52.107Z,english_418.wav,0,0,915,,,,,11,1.09391667,91.60971419,0.42464397
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,0,0,66.81838689,0.11169914
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,1,0.1,94.65046979,0.93671825
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,2,0.2,91.71604822,0.60356353
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,3,0.3,78.43794704,1.60109406
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,4,0.4,-73.47833102,0.84291267
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,5,0.5,11.66623314,1.01630723
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,6,0.6,-66.11404528,1.23732351
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,7,0.7,28.35642813,1.37061964
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,8,0.8,73.65825503,1.54014816
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,9,0.9,-30.5228579,0.53177064
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,10,1,-38.8042384,1.47567338
FQC,8,0,2024-06-14T03:00:52.107Z,english_838.wav,0,1,941,,,,,11,1.09391667,90.67589939,0.7352694
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,0,0,4.31802361,1.29887764
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,1,0.1,47.0728406,1.11913745
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,2,0.2,-14.77115386,1.22583552
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,3,0.3,48.30959917,1.94992967
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,4,0.4,-48.39525922,1.60078026
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,5,0.5,-15.20190814,1.61096713
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,6,0.6,-7.79536513,0.91293866
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,7,0.7,-57.36737228,1.91414895
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,8,0.8,-4.58128381,0.38490234
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,9,0.9,-46.69208344,1.07535839
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,10,1,-83.85792586,1.14300315
FQC,9,0,2024-06-14T03:00:52.107Z,english_44.wav,0,0,2060,,,,,11,1.09391667,-0.53505125,0.87829704
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,0,0,-2.19989306,1.80366268
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,1,0.1,-17.54385673,0.63199927
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,2,0.2,-35.4480887,1.72021084
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,3,0.3,38.42421814,1.85097281
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,4,0.4,19.51422171,0.29605958
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,5,0.5,-2.86344702,1.04155763
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,6,0.6,24.21245357,0.33290829
FQC,10,0,2024-06-14T03:00:52.107Z,english_165.wav,0,1,910,,,,,7,0.7,-20.07763652,0.77719776
