subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,0,0,91.12421142,0.39537222
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,1,0.1,-19.58540638,0.64754321
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,2,0.2,-79.28932671,1.33811004
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,3,0.3,84.41656944,0.79999887
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,4,0.4,-7.14437585,0.34341238
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,5,0.5,-65.427815,0.89137249
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,6,0.6,24.29112002,1.67993341
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,7,0.7,-96.64014953,1.65600172
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,8,0.8,-19.88619379,0.2664894
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,9,0.9,6.75538061,1.80740877
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,10,1,-9.4599271,0.27817675
LLG,0,0,2024-06-14T14:40:01.680Z,english_770.wav,0,0,968,24,4,Chinese,m,11,1.09391667,37.64052975,0.07045036
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,0,0,-67.02841194,0.33593724
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,1,0.1,-61.53416047,1.45592665
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,2,0.2,58.59657868,0.89843982
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,3,0.3,29.19204806,0.82315135
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,4,0.4,23.45650743,1.88697526
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,5,0.5,68.99571545,0.96876146
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,6,0.6,-55.06633408,0.51998357
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,7,0.7,-84.88813755,0.83848957
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,8,0.8,-86.25019985,0.75519813
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,9,0.9,32.09324542,0.08799146
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,10,1,-18.86097807,1.1327065
LLG,1,0,2024-06-14T14:40:01.680Z,english_798.wav,0,0,1541,24,4,Chinese,m,11,1.09391667,-0.34975855,0.30601278
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,0,0,54.27416022,0.37224575
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,1,0.1,37.10784124,1.19176423
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,2,0.2,-11.42343802,1.11602641
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,3,0.3,83.07683271,0.86319718
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,4,0.4,-41.86230003,1.45181299
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,5,0.5,-65.18909296,0.00810665
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,6,0.6,73.88921211,1.82551729
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,7,0.7,-78.27421644,0.97441054
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,8,0.8,-55.91875918,1.38456518
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,9,0.9,38.52779866,1.39025004
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,10,1,-63.00995407,0.73323837
LLG,2,0,2024-06-14T14:40:01.680Z,english_632.wav,0,1,465,24,4,Chinese,m,11,1.09391667,-47.01105768,1.12337895
LLG,3,0,2024-06-14T14:40:01.680Z,english_947.wav,0,0,1279,24,4,Chinese,m,0,0,30.31601864,1.90953585
LLG,3,0,2024-06-14T14:40:01.680Z,english_947.wav,0,0,1279,24,4,Chinese,m,1,0.1,-75.95641423,1.97785982
LLG,3,0,2024-06-14T14:40:01.680Z,english_947.wav,0,0,1279,24,4,Chinese,m,2,0.2,54.94521645,0.82379025
LLG,3,0,2024-06-14T14:40:01.680Z,english_947.wav,0,0,1279,24,4,Chinese,m,3,0.3,26.24562162,0.15379293
