subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,0,0,-40.27379603,1.31885312
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,1,0.1,-9.47472605,1.52413536
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,2,0.2,10.83044308,0.3375517
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,3,0.3,-73.80571365,0.67857864
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,4,0.4,41.89217051,0.9344087
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,5,0.5,-33.36366466,0.89775046
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,6,0.6,-97.24072999,0.74652634
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,7,0.7,-3.36916359,0.00621512
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,8,0.8,-1.27566838,0.72729094
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,9,0.9,29.4346129,1.23180128
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,10,1,96.31719875,0.44193416
LYZ,0,0,2024-06-14T05:20:06.699Z,english_216.wav,0,1,24049,21,4,chinese,m,11,1.09391667,90.69441865,0.08230135
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,0,0,16.41054839,1.82011871
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,1,0.1,-23.44264217,1.5788444
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,2,0.2,67.00437835,0.98241909
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,3,0.3,32.24147439,1.73565394
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,4,0.4,-69.94095423,0.23880913
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,5,0.5,-75.95608649,1.64825439
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,6,0.6,26.64856795,1.51416343
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,7,0.7,28.46707033,0.23765412
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,8,0.8,8.57252797,0.78664096
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,9,0.9,-43.42045484,1.03412093
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,10,1,-38.23728815,1.06202892
LYZ,1,0,2024-06-14T05:20:06.699Z,english_406.wav,0,1,4106,21,4,chinese,m,11,1.09391667,-48.66780803,0.40663901
