subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,0,0,-82.81265179,1.86592143
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,1,0.1,18.23831049,0.0388768
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,2,0.2,-76.96396075,1.09878478
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,3,0.3,86.02032489,0.28431894
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,4,0.4,57.7574695,0.60530487
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,5,0.5,-18.45048615,0.68867988
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,6,0.6,-3.56295596,0.07188907
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,7,0.7,30.63851894,1.28694892
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,8,0.8,-39.32138092,0.37107191
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,9,0.9,87.82943792,0.0101762
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,10,1,-83.54766347,1.03448412
QMH,0,0,2024-06-14T15:32:36.649Z,english_541.wav,0,0,9666,20,3,Chinese,f,11,1.09391667,-65.29737413,1.0808851
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,0,0,-66.23189197,1.64024725
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,1,0.1,-7.28081394,1.33861833
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,2,0.2,-74.05426979,0.21996253
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,3,0.3,-2.17834407,0.9295354
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,4,0.4,-44.29553612,0.18867482
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,5,0.5,-21.93882769,0.17745141
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,6,0.6,-6.80381408,1.36415298
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,7,0.7,9.00050206,1.08571676
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,8,0.8,-19.58321875,1.38544941
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,9,0.9,-97.27632106,0.33380342
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,10,1,94.36582119,0.16971293
QMH,1,0,2024-06-14T15:32:36.649Z,english_504.wav,0,0,12288,20,3,Chinese,f,11,1.09391667,-77.55415354,0.89224977
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,0,0,68.06713434,1.26196428
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,1,0.1,51.53363243,1.49608983
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,2,0.2,96.79789275,1.01925431
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,3,0.3,-32.97805092,1.27259864
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,4,0.4,38.32175517,0.99325409
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,5,0.5,-48.79684279,1.83296218
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,6,0.6,6.57101052,1.99419824
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,7,0.7,30.34426539,1.31395906
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,8,0.8,57.10485473,1.83167901
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,9,0.9,-93.21826179,1.93422624
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,10,1,58.97430912,1.62256756
QMH,2,0,2024-06-14T15:32:36.649Z,english_554.wav,0,1,3125,20,3,Chinese,f,11,1.09391667,32.65345188,0.90589094
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,0,0,-83.67346728,1.27391906
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,1,0.1,-68.43297462,0.75913393
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,2,0.2,47.84560439,1.02363825
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,3,0.3,71.43971258,1.78775676
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,4,0.4,-30.40941836,0.0961221
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,5,0.5,69.31214212,1.18933693
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,6,0.6,-95.04564508,1.9379163
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,7,0.7,-61.88405175,1.91389769
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,8,0.8,11.43915949,1.08895614
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,9,0.9,79.6365109,1.52042952
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,10,1,58.29305302,0.38016323
QMH,3,0,2024-06-14T15:32:36.649Z,english_998.wav,0,0,3223,20,3,Chinese,f,11,1.09391667,44.0288717,1.77799574
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,0,0,16.62356483,0.11907426
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,1,0.1,-64.66657599,1.11022803
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,2,0.2,20.81574107,1.93552837
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,3,0.3,62.21324861,0.18628365
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,4,0.4,-96.92379856,1.68045213
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,5,0.5,-63.09314604,0.56124054
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,6,0.6,85.3804948,1.40840471
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,7,0.7,-5.84073458,0.76045624
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,8,0.8,1.07766227,0.79738911
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,9,0.9,-3.48391837,0.78873787
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,10,1,5.39755614,0.96854707
QMH,4,0,2024-06-14T15:32:36.649Z,english_359.wav,0,0,1225,20,3,Chinese,f,11,1.09391667,59.72301587,0.15927381
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,0,0,97.77122609,0.40936323
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,1,0.1,75.39760322,0.83333714
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,2,0.2,-92.56300928,1.9299588
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,3,0.3,73.60734954,0.31044819
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,4,0.4,84.82420222,1.11112706
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,5,0.5,-57.35733587,0.30641345
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,6,0.6,36.05799571,1.79191215
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,7,0.7,-80.10781894,1.43353199
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,8,0.8,79.81818761,0.61341243
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,9,0.9,71.53815245,1.6920607
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,10,1,39.3075371,0.85862509
QMH,5,0,2024-06-14T15:32:36.649Z,english_743.wav,0,0,2371,20,3,Chinese,f,11,1.09391667,85.61049635,0.78833379
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,0,0,34.32682043,0.82312646
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,1,0.1,-35.22347769,0.84965345
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,2,0.2,15.69043139,0.84607348
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,3,0.3,-71.83777825,0.55995079
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,4,0.4,-96.81426106,0.51635348
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,5,0.5,-51.15803827,1.6072313
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,6,0.6,-12.70248505,1.25349503
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,7,0.7,-30.75730157,1.4731344
QMH,6,0,2024-06-14T15:32:36.649Z,english_173.wav,0,0,1502,20,3,Chinese,f,8,0.8,-5.0022938,0.28621328
