subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,0,0,3.14918828,0.91646938
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,1,0.1,-23.77765777,0.05935653
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,2,0.2,33.06216364,1.47739407
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,3,0.3,-62.11705981,0.33072981
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,4,0.4,7.17201603,0.11578877
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,5,0.5,-75.75571993,1.27391033
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,6,0.6,-11.73418988,0.32212457
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,7,0.7,-67.42384643,1.51956894
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,8,0.8,50.24136352,0.3318501
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,9,0.9,-60.42241677,0.78089197
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,10,1,70.30658547,0.6122717
Shay,0,0,2024-04-17T07:14:01.088Z,english_849.wav,0,0,8591,30,4,mandarin,f,11,1.09391667,-8.44903954,1.08036793
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,0,0,39.93653704,0.59804512
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,1,0.1,-44.37889142,1.22051814
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,2,0.2,-71.95009912,1.02272202
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,3,0.3,0.10723305,0.82768739
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,4,0.4,32.85070006,0.75023907
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,5,0.5,84.39314217,1.45571946
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,6,0.6,-27.64718927,1.19333558
Shay,1,0,2024-04-17T07:14:01.088Z,english_817.wav,0,1,4952,30,4,mandarin,f,7,0.7,-96.89614882,0.88124366
