subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,0,0,-0.0387960156,1.23414585
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,1,0.1,38.1316994,0.9307675
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,2,0.2,-27.0649645,0.03913176
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,3,0.3,48.6299289,0.1581059
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,4,0.4,-73.1690056,1.26848515
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,5,0.5,-28.1080401,1.70642176
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,6,0.6,47.3805694,1.16045112
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,7,0.7,-91.4211748,1.92718933
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,8,0.8,5.88699375,0.86462582
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,9,0.9,88.3416583,0.91973589
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,10,1,-36.7945697,0.59650291
WWH,0,0,2024-06-13T06:55:29.282Z,english_864.wav,0,1,9113,21,2,Chinese,f,11,1.09391667,-60.7645339,0.61493886
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,0,0,-44.03154286,0.78645575
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,1,0.1,43.53292368,1.64980838
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,2,0.2,-39.32029451,0.9179457
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,3,0.3,56.48937501,1.56943765
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,4,0.4,79.97019062,0.89618619
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,5,0.5,-25.23129683,1.22477339
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,6,0.6,14.98640169,1.05903803
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,7,0.7,23.2049895,0.37835505
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,8,0.8,-71.91072082,1.6139649
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,9,0.9,-47.29216682,1.9176564
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,10,1,71.77208334,1.62142696
WWH,1,0,2024-06-13T06:55:29.282Z,english_611.wav,0,1,1979,21,2,Chinese,f,11,1.09391667,-64.89664383,1.10334919
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,0,0,-3.64613535,1.37294904
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,1,0.1,86.84394447,1.4753173
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,2,0.2,48.90447279,1.11933896
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,3,0.3,81.52724945,0.74342717
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,4,0.4,38.37028175,1.29789975
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,5,0.5,-1.05640966,0.71005602
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,6,0.6,92.75218552,1.1127111
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,7,0.7,25.6384544,0.88036435
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,8,0.8,39.31857394,0.01207507
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,9,0.9,-39.8545052,1.55647861
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,10,1,-46.14237673,1.32252767
WWH,2,0,2024-06-13T06:55:29.282Z,english_763.wav,0,0,2538,21,2,Chinese,f,11,1.09391667,4.92972848,1.12126405
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,0,0,44.67997232,1.19309781
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,1,0.1,27.10099403,0.27221696
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,2,0.2,-48.30493583,0.58591156
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,3,0.3,-73.5260898,1.06118241
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,4,0.4,19.32057449,1.53382291
WWH,3,0,2024-06-13T06:55:29.282Z,english_758.wav,0,1,1715,21,2,Chinese,f,5,0.5,-32.65273306,1.10934516
