subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,0,0,48.72029915,1.46381994
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,1,0.1,3.36267099,1.74177862
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,2,0.2,-54.73892797,0.37153285
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,3,0.3,-4.43599027,1.37930547
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,4,0.4,-4.38697431,1.2025528
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,5,0.5,12.32416895,1.41669348
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,6,0.6,-35.16299901,1.90409923
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,7,0.7,-18.71198536,0.35955458
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,8,0.8,50.45333825,0.73524
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,9,0.9,24.10808682,1.22465208
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,10,1,-10.46564493,1.61244098
WZL_2014,0,0,2024-06-16T12:14:34.938Z,english_391.wav,0,0,5077,25,4,chinese,m,11,1.09391667,6.45782967,1.66867903
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,0,0,-57.56576196,0.04722973
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,1,0.1,-19.70677764,1.09555253
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,2,0.2,83.71549809,0.8122888
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,3,0.3,0.72860566,0.82350502
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,4,0.4,23.57010212,0.7141467
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,5,0.5,-90.6432868,0.19918411
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,6,0.6,3.97952781,0.04680372
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,7,0.7,47.87385022,0.22857445
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,8,0.8,-10.29099789,1.06043027
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,9,0.9,-55.37554035,1.28411096
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,10,1,-74.87108339,1.38807885
WZL_2014,1,0,2024-06-16T12:14:34.938Z,english_722.wav,0,0,1616,25,4,chinese,m,11,1.09391667,32.13407254,0.54998416
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,0,0,-98.58408334,0.99511883
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,1,0.1,-61.87034705,1.73357078
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,2,0.2,-18.09819366,0.0586696
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,3,0.3,12.3782964,0.06385699
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,4,0.4,-22.02938965,1.69798328
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,5,0.5,59.95527001,1.42811841
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,6,0.6,-20.50157966,1.57518039
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,7,0.7,-21.89990222,1.02318801
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,8,0.8,25.10186839,0.72889481
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,9,0.9,-9.02191032,0.61952628
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,10,1,-16.49784397,1.31221342
WZL_2014,2,0,2024-06-16T12:14:34.938Z,english_772.wav,0,0,3037,25,4,chinese,m,11,1.09391667,-42.94184761,1.78690458
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,0,0,-89.21120638,0.86013949
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,1,0.1,-61.94586113,1.20415769
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,2,0.2,66.92224931,1.12519254
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,3,0.3,-8.83169244,1.93563119
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,4,0.4,-62.26224073,1.36290277
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,5,0.5,-40.69471865,0.31823405
WZL_2014,3,0,2024-06-16T12:14:34.938Z,english_980.wav,0,0,4203,25,4,chinese,m,6,0.6,-55.09323572,1.64522851
