subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,0,0,7.20305011,0.62248381
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,1,0.1,40.54252217,1.3534175
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,2,0.2,-27.16756142,1.93672018
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,3,0.3,-47.4542684,1.80613869
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,4,0.4,16.89492576,1.17778721
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,5,0.5,-3.45231142,1.26050698
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,6,0.6,-55.37795964,0.40567716
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,7,0.7,94.81526788,1.85712714
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,8,0.8,4.42136383,0.11089582
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,9,0.9,-28.73125868,1.52275562
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,10,1,-43.27093622,0.4081166
XUJIAJIE,0,0,2024-06-14T12:55:50.979Z,english_30.wav,0,1,5635,21,3,Chinese,f,11,1.09391667,0.63608962,1.00698649
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,0,0,44.11369928,1.39445147
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,1,0.1,-49.72421876,1.98393148
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,2,0.2,37.81687243,1.85807547
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,3,0.3,-52.5290051,0.71490172
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,4,0.4,42.12087864,0.37809407
XUJIAJIE,1,0,2024-06-14T12:55:50.979Z,english_477.wav,0,0,309,21,3,Chinese,f,5,0.5,-3.66730799,0.12826759
