subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,0,0,43.98055184,1.94722798
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,1,0.1,91.3545984,1.93048351
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,2,0.2,-25.91563113,0.27240706
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,3,0.3,-14.96140851,1.06623965
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,4,0.4,-8.05824247,1.41558656
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,5,0.5,-61.63888891,0.26700347
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,6,0.6,37.86658664,0.54434522
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,7,0.7,-97.52325855,0.79258737
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,8,0.8,-16.03910224,1.13417158
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,9,0.9,83.25609208,0.68565339
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,10,1,-65.28300381,0.73020294
LX,0,0,2024-06-14T09:20:11.181Z,english_498.wav,0,0,1399,21,5,Chinese,f,11,1.09391667,38.04109912,1.48505369
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,0,0,0.27599318,1.85195662
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,1,0.1,61.54655284,0.01211705
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,2,0.2,-45.68438061,1.01527113
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,3,0.3,-56.50831868,0.58104245
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,4,0.4,15.2577286,0.36467608
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,5,0.5,-52.12017374,0.76758339
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,6,0.6,97.83272545,1.21313057
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,7,0.7,7.21834566,1.69539972
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,8,0.8,8.71902974,0.38171646
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,9,0.9,84.51998902,1.4848349
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,10,1,-21.50673836,0.84163241
LX,1,0,2024-06-14T09:20:11.181Z,english_607.wav,0,1,527,21,5,Chinese,f,11,1.09391667,68.90809966,0.34247873
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,0,0,-43.56677124,1.2135263
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,1,0.1,-83.21546868,0.41335372
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,2,0.2,-41.54064667,1.17083651
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,3,0.3,-35.81330599,0.87264028
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,4,0.4,-43.55129097,0.34128763
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,5,0.5,-33.79077662,1.24788402
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,6,0.6,70.44881048,0.43489623
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,7,0.7,3.24826562,0.29781148
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,8,0.8,34.80296655,1.73156921
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,9,0.9,-7.36062238,1.52997649
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,10,1,41.00092789,0.32887005
LX,2,0,2024-06-14T09:20:11.181Z,english_419.wav,0,1,253,21,5,Chinese,f,11,1.09391667,-17.62948534,0.83665111
LX,3,0,2024-06-14T09:20:11.181Z,english_357.wav,0,0,199,21,5,Chinese,f,0,0,-87.96365185,1.52852124
