subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,0,0,-53.22260556,0.39279529
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,1,0.1,86.77650228,0.89629602
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,2,0.2,9.77253821,1.02748966
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,3,0.3,11.03493207,0.21487606
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,4,0.4,-49.40991028,0.85817313
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,5,0.5,40.78961249,0.23854774
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,6,0.6,0.17613347,1.76515504
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,7,0.7,-59.60480948,0.66287763
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,8,0.8,-70.7429322,0.73367901
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,9,0.9,73.80660993,0.47936557
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,10,1,20.51556505,1.06722754
YRY,0,0,2024-06-14T12:48:02.904Z,english_682.wav,0,0,1588,23,4,Mandarin,f,11,1.09391667,45.26798103,1.8777792
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,0,0,14.83112151,0.44215223
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,1,0.1,11.76914083,1.16902386
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,2,0.2,56.99835841,1.34778137
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,3,0.3,-91.21705368,1.75286116
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,4,0.4,45.54032704,0.59475232
YRY,1,0,2024-06-14T12:48:02.904Z,english_413.wav,0,1,168,23,4,Mandarin,f,5,0.5,27.79493499,1.56815753
