subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,0,0,-90.13612519,0.91151007
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,1,0.1,-50.72556256,1.30362027
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,2,0.2,-79.00829797,0.25855126
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,3,0.3,-14.44339945,1.8078566
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,4,0.4,25.9456349,1.15063196
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,5,0.5,-28.76259068,1.03640346
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,6,0.6,-20.65873648,1.10712464
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,7,0.7,19.30633091,1.58948272
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,8,0.8,6.01129625,1.36569453
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,9,0.9,-10.90113074,0.84663536
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,10,1,-2.19154449,1.67108309
ZH,0,0,2024-06-14T08:26:48.904Z,english_820.wav,0,1,2253,20,3,Chinese,f,11,1.09391667,-66.85311594,1.79051546
ZH,1,0,2024-06-14T08:26:48.904Z,english_535.wav,0,0,830,20,3,Chinese,f,0,0,-4.00375318,0.74823916
ZH,1,0,2024-06-14T08:26:48.904Z,english_535.wav,0,0,830,20,3,Chinese,f,1,0.1,-37.57387138,0.9109632
ZH,1,0,2024-06-14T08:26:48.904Z,english_535.wav,0,0,830,20,3,Chinese,f,2,0.2,-31.12595353,0.84755902
ZH,1,0,2024-06-14T08:26:48.904Z,english_535.wav,0,0,830,20,3,Chinese,f,3,0.3,2.06341331,1.09662022
