subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,0,0,34.87100104,0.28324866
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,1,0.1,-42.78152033,0.8126674
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,2,0.2,53.30670494,0.29371905
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,3,0.3,-19.15351041,0.35755618
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,4,0.4,81.43981803,1.51227527
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,5,0.5,-40.3529223,1.96868376
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,6,0.6,-80.08540334,0.83617015
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,7,0.7,-59.88446673,0.96819403
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,8,0.8,14.21531263,0.41039135
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,9,0.9,39.26105915,0.45984498
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,10,1,-43.76684188,0.60924907
ZJY,0,0,2024-06-13T06:31:34.035Z,english_680.wav,0,0,1755,,,,,11,1.09391667,-17.50761484,0.18151502
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,0,0,-86.93944466,0.1588986
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,1,0.1,-97.95669785,0.38183266
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,2,0.2,35.19908461,0.20642212
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,3,0.3,66.00378301,1.21146119
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,4,0.4,10.9229126,0.35502735
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,5,0.5,72.37678619,1.56586524
ZJY,1,0,2024-06-13T06:31:34.035Z,english_585.wav,0,0,939,,,,,6,0.6,-57.08192974,1.83214489
