subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,0,0,-47.42878523,1.11335627
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,1,0.1,-30.16645038,1.13740889
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,2,0.2,-86.67371718,0.31622189
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,3,0.3,8.55547349,1.41776127
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,4,0.4,-15.66190927,0.46326981
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,5,0.5,-49.49878386,1.61561224
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,6,0.6,45.53550585,1.82492297
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,7,0.7,40.09709087,1.16604802
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,8,0.8,68.69768753,1.08414078
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,9,0.9,-80.58352636,0.66393703
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,10,1,11.66542456,0.81001911
ZYX,0,0,2024-06-14T02:57:55.302Z,english_207.wav,0,0,2243,22,4,Chinese,f,11,1.09391667,21.41487197,1.28611979
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,0,0,3.17682923,0.87887046
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,1,0.1,6.35877152,0.507187
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,2,0.2,-9.02165969,0.30654511
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,3,0.3,-36.47269085,0.61695793
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,4,0.4,-72.32699921,1.67577575
ZYX,1,0,2024-06-14T02:57:55.302Z,english_140.wav,0,1,374,22,4,Chinese,f,5,0.5,-28.69942826,0.30689604
