subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,0,0,-12.90091121,0.5789399
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,1,0.1,42.27249946,1.95381107
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,2,0.2,5.12381798,1.0168321
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,3,0.3,1.7675065,0.61202955
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,4,0.4,-21.55461961,0.89680875
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,5,0.5,-31.65586282,1.15056599
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,6,0.6,20.15160145,0.34242076
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,7,0.7,82.41987013,1.76180701
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,8,0.8,59.09454669,0.95604839
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,9,0.9,36.30583869,1.86733505
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,10,1,-40.78038553,1.17388738
ZZX,0,0,2024-06-13T15:31:54.867Z,english_283.wav,0,0,9231,21,5,Chinese,m,11,1.09391667,39.65520312,1.73016304
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,0,0,31.07114651,1.62014662
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,1,0.1,-28.29036268,0.23536516
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,2,0.2,-99.32977332,1.20919843
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,3,0.3,24.56403326,1.87022771
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,4,0.4,13.96924155,1.25340901
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,5,0.5,-7.10648456,1.24145487
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,6,0.6,16.2139947,0.16688969
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,7,0.7,-63.09488954,1.9877967
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,8,0.8,32.97149002,1.05528454
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,9,0.9,73.86440675,1.04254929
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,10,1,18.08685772,0.40355025
ZZX,1,0,2024-06-13T15:31:54.867Z,english_859.wav,0,0,5227,21,5,Chinese,m,11,1.09391667,63.56526174,1.52495745
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,0,0,-12.70990623,1.14486928
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,1,0.1,-17.89686071,0.94187729
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,2,0.2,58.24027697,0.43978781
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,3,0.3,71.96751717,0.86816184
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,4,0.4,22.83880081,0.47286583
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,5,0.5,74.23310268,0.4719667
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,6,0.6,23.98451607,1.54190919
ZZX,2,0,2024-06-13T15:31:54.867Z,english_913.wav,0,1,2547,21,5,Chinese,m,7,0.7,-29.568704,1.67539159
