subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,0,0,54.55471531,1.33761042
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,1,0.1,-9.45538995,0.16839263
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,2,0.2,51.71669589,0.15282828
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,3,0.3,35.30778931,0.93528856
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,4,0.4,20.62870104,0.42450529
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,5,0.5,45.97492152,1.13086713
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,6,0.6,57.72908242,1.16302136
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,7,0.7,-7.90762664,1.12991064
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,8,0.8,-27.43803549,0.98725245
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,9,0.9,-45.75999486,0.61152154
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,10,1,65.06809526,0.86912983
wxb_1058,0,0,2024-06-16T02:59:50.941Z,english_885.wav,0,1,2904,22,4,chinese,m,11,1.09391667,85.31433116,0.92468658
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,0,0,-38.86767844,1.06552273
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,1,0.1,29.31331075,1.21891825
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,2,0.2,37.64120423,0.29574975
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,3,0.3,25.96997634,0.59708479
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,4,0.4,25.06772021,1.90102073
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,5,0.5,19.15395825,0.08656429
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,6,0.6,96.7473058,1.91022134
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,7,0.7,-43.25342834,0.18523015
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,8,0.8,-30.92807771,0.17424813
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,9,0.9,-18.81814059,1.10584125
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,10,1,21.2135068,1.16786025
wxb_1058,1,0,2024-06-16T02:59:50.941Z,english_892.wav,0,1,1794,22,4,chinese,m,11,1.09391667,36.95597597,1.53062308
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,0,0,43.98055184,1.94722798
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,1,0.1,91.3545984,1.93048351
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,2,0.2,-25.91563113,0.27240706
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,3,0.3,-14.96140851,1.06623965
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,4,0.4,-8.05824247,1.41558656
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,5,0.5,-61.63888891,0.26700347
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,6,0.6,37.86658664,0.54434522
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,7,0.7,-97.52325855,0.79258737
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,8,0.8,-16.03910224,1.13417158
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,9,0.9,83.25609208,0.68565339
wxb_1058,2,0,2024-06-16T02:59:50.941Z,english_498.wav,0,1,1349,22,4,chinese,m,10,1,-65.28300381,0.73020294
