subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
DJX,0,0,2024-06-13T10:01:36.645Z,english_40.wav,0,0,8981,20,4,Chinese ,f,0,0,20.98315678,0.33544846
DJX,0,0,2024-06-13T10:01:36.645Z,english_40.wav,0,0,8981,20,4,Chinese ,f,1,0.1,80.64974175,0.81764939
DJX,0,0,2024-06-13T10:01:36.645Z,english_40.wav,0,0,8981,20,4,Chinese ,f,2,0.2,5.38930518,0.17548883
DJX,0,0,2024-06-13T10:01:36.645Z,english_40.wav,0,0,8981,20,4,Chinese ,f,3,0.3,18.83593916,0.83674413
DJX,0,0,2024-06-13T10:01:36.645Z,english_40.wav,0,0,8981,20,4,Chinese ,f,4,0.32341667,-14.62145671,0.80890384
DJX,1,0,2024-06-13T10:01:36.645Z,english_55.wav,0,1,1537,20,4,Chinese ,f,0,0,71.89255128,0.24931264
DJX,1,0,2024-06-13T10:01:36.645Z,english_55.wav,0,1,1537,20,4,Chinese ,f,1,0.1,0.20692224,1.79813092
DJX,1,0,2024-06-13T10:01:36.645Z,english_55.wav,0,1,1537,20,4,Chinese ,f,2,0.2,-68.61006599,0.71729895
DJX,1,0,2024-06-13T10:01:36.645Z,english_55.wav,0,1,1537,20,4,Chinese ,f,3,0.3,-5.20952515,1.28733782
DJX,1,0,2024-06-13T10:01:36.645Z,english_55.wav,0,1,1537,20,4,Chinese ,f,4,0.32341667,28.45991968,1.77061752
DJX,2,0,2024-06-13T10:01:36.645Z,english_350.wav,0,0,5364,20,4,Chinese ,f,0,0,97.64268741,0.61487918
DJX,2,0,2024-06-13T10:01:36.645Z,english_350.wav,0,0,5364,20,4,Chinese ,f,1,0.1,23.96704837,0.40988424
DJX,2,0,2024-06-13T10:01:36.645Z,english_350.wav,0,0,5364,20,4,Chinese ,f,2,0.2,50.30792237,0.86872158
DJX,2,0,2024-06-13T10:01:36.645Z,english_350.wav,0,0,5364,20,4,Chinese ,f,3,0.3,71.77937185,1.01783109
DJX,2,0,2024-06-13T10:01:36.645Z,english_350.wav,0,0,5364,20,4,Chinese ,f,4,0.32341667,-64.81416361,0.68761283
DJX,3,0,2024-06-13T10:01:36.645Z,english_492.wav,0,1,3790,20,4,Chinese ,f,0,0,-66.2832746,0.52930651
DJX,3,0,2024-06-13T10:01:36.645Z,english_492.wav,0,1,3790,20,4,Chinese ,f,1,0.1,-19.36008054,1.11739795
DJX,3,0,2024-06-13T10:01:36.645Z,english_492.wav,0,1,3790,20,4,Chinese ,f,2,0.2,95.25769545,1.86018292
DJX,3,0,2024-06-13T10:01:36.645Z,english_492.wav,0,1,3790,20,4,Chinese ,f,3,0.3,-42.69351484,0.07313262
DJX,3,0,2024-06-13T10:01:36.645Z,english_492.wav,0,1,3790,20,4,Chinese ,f,4,0.32341667,48.13359561,0.30480454
DJX,4,0,2024-06-13T10:01:36.645Z,english_666.wav,0,0,1270,20,4,Chinese ,f,0,0,-6.63307831,0.44221414
DJX,4,0,2024-06-13T10:01:36.645Z,english_666.wav,0,0,1270,20,4,Chinese ,f,1,0.1,-47.66524373,1.62559692
DJX,4,0,2024-06-13T10:01:36.645Z,english_666.wav,0,0,1270,20,4,Chinese ,f,2,0.2,66.93817534,0.27313334
