subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
FDQ,0,0,2024-06-13T06:18:17.790Z,english_504.wav,0,1,4065,21,4,Chinese,f,0,0,4.11468456,0.75379057
FDQ,0,0,2024-06-13T06:18:17.790Z,english_504.wav,0,1,4065,21,4,Chinese,f,1,0.1,70.56620437,1.18348717
FDQ,0,0,2024-06-13T06:18:17.790Z,english_504.wav,0,1,4065,21,4,Chinese,f,2,0.2,3.26767498,0.25360202
FDQ,0,0,2024-06-13T06:18:17.790Z,english_504.wav,0,1,4065,21,4,Chinese,f,3,0.3,-3.14493553,1.87094491
FDQ,0,0,2024-06-13T06:18:17.790Z,english_504.wav,0,1,4065,21,4,Chinese,f,4,0.32341667,43.57926014,0.110125
FDQ,1,0,2024-06-13T06:18:17.790Z,english_231.wav,0,0,1031,21,4,Chinese,f,0,0,-57.04299033,1.30850831
FDQ,1,0,2024-06-13T06:18:17.790Z,english_231.wav,0,0,1031,21,4,Chinese,f,1,0.1,-61.30294243,1.06317761
FDQ,1,0,2024-06-13T06:18:17.790Z,english_231.wav,0,0,1031,21,4,Chinese,f,2,0.2,11.10207427,1.86768436
FDQ,1,0,2024-06-13T06:18:17.790Z,english_231.wav,0,0,1031,21,4,Chinese,f,3,0.3,-1.38864911,1.42169342
FDQ,1,0,2024-06-13T06:18:17.790Z,english_231.wav,0,0,1031,21,4,Chinese,f,4,0.32341667,-40.37897369,0.58634772
FDQ,2,0,2024-06-13T06:18:17.790Z,english_585.wav,0,0,700,21,4,Chinese,f,0,0,-47.47167609,0.91486293
FDQ,2,0,2024-06-13T06:18:17.790Z,english_585.wav,0,0,700,21,4,Chinese,f,1,0.1,-85.73018253,0.8051019
FDQ,2,0,2024-06-13T06:18:17.790Z,english_585.wav,0,0,700,21,4,Chinese,f,2,0.2,4.69567907,1.25289508
FDQ,2,0,2024-06-13T06:18:17.790Z,english_585.wav,0,0,700,21,4,Chinese,f,3,0.3,51.83381109,0.83258124
FDQ,2,0,2024-06-13T06:18:17.790Z,english_585.wav,0,0,700,21,4,Chinese,f,4,0.32341667,14.12777642,1.43411439
FDQ,3,0,2024-06-13T06:18:17.790Z,english_356.wav,0,0,4763,21,4,Chinese,f,0,0,87.74309864,0.22820547
FDQ,3,0,2024-06-13T06:18:17.790Z,english_356.wav,0,0,4763,21,4,Chinese,f,1,0.1,-4.48264388,1.49009691
FDQ,3,0,2024-06-13T06:18:17.790Z,english_356.wav,0,0,4763,21,4,Chinese,f,2,0.2,90.19031952,1.39023362
FDQ,3,0,2024-06-13T06:18:17.790Z,english_356.wav,0,0,4763,21,4,Chinese,f,3,0.3,-69.40540064,1.78473098
FDQ,3,0,2024-06-13T06:18:17.790Z,english_356.wav,0,0,4763,21,4,Chinese,f,4,0.32341667,65.10278108,0.80628385
FDQ,4,0,2024-06-13T06:18:17.790Z,english_435.wav,0,1,1977,21,4,Chinese,f,0,0,-61.49548479,0.36819492
FDQ,4,0,2024-06-13T06:18:17.790Z,english_435.wav,0,1,1977,21,4,Chinese,f,1,0.1,18.53940612,1.77990606
FDQ,4,0,2024-06-13T06:18:17.790Z,english_435.wav,0,1,1977,21,4,Chinese,f,2,0.2,-39.20879804,1.09377229
FDQ,4,0,2024-06-13T06:18:17.790Z,english_435.wav,0,1,1977,21,4,Chinese,f,3,0.3,-30.66509024,1.98213584
FDQ,4,0,2024-06-13T06:18:17.790Z,english_435.wav,0,1,1977,21,4,Chinese,f,4,0.32341667,7.07056367,0.5936591
FDQ,5,0,2024-06-13T06:18:17.790Z,english_587.wav,0,1,2183,21,4,Chinese,f,0,0,-33.32102811,0.7972352
FDQ,5,0,2024-06-13T06:18:17.790Z,english_587.wav,0,1,2183,21,4,Chinese,f,1,0.1,46.1287001,1.97425238
FDQ,5,0,2024-06-13T06:18:17.790Z,english_587.wav,0,1,2183,21,4,Chinese,f,2,0.2,-62.23894368,0.99609006
FDQ,5,0,2024-06-13T06:18:17.790Z,english_587.wav,0,1,2183,21,4,Chinese,f,3,0.3,36.67711132,1.18577707
FDQ,5,0,2024-06-13T06:18:17.790Z,english_587.wav,0,1,2183,21,4,Chinese,f,4,0.32341667,-11.53320103,1.64089558
FDQ,6,0,2024-06-13T06:18:17.790Z,english_265.wav,0,0,517,21,4,Chinese,f,0,0,-30.2287418,1.31067296
FDQ,6,0,2024-06-13T06:18:17.790Z,english_265.wav,0,0,517,21,4,Chinese,f,1,0.1,86.62283936,0.87427745
FDQ,6,0,2024-06-13T06:18:17.790Z,english_265.wav,0,0,517,21,4,Chinese,f,2,0.2,-21.47577863,1.37620008
FDQ,6,0,2024-06-13T06:18:17.790Z,english_265.wav,0,0,517,21,4,Chinese,f,3,0.3,84.9300577,0.45825557
FDQ,6,0,2024-06-13T06:18:17.790Z,english_265.wav,0,0,517,21,4,Chinese,f,4,0.32341667,59.52250756,1.13518739
FDQ,7,0,2024-06-13T06:18:17.790Z,english_627.wav,0,0,1682,21,4,Chinese,f,0,0,-53.99355102,0.04887222
FDQ,7,0,2024-06-13T06:18:17.790Z,english_627.wav,0,0,1682,21,4,Chinese,f,1,0.1,-3.03417463,0.14119608
FDQ,7,0,2024-06-13T06:18:17.790Z,english_627.wav,0,0,1682,21,4,Chinese,f,2,0.2,83.9257281,0.97350107
FDQ,7,0,2024-06-13T06:18:17.790Z,english_627.wav,0,0,1682,21,4,Chinese,f,3,0.3,52.52073868,0.6697358
FDQ,7,0,2024-06-13T06:18:17.790Z,english_627.wav,0,0,1682,21,4,Chinese,f,4,0.32341667,-13.85481025,0.92660526
FDQ,8,0,2024-06-13T06:18:17.790Z,english_638.wav,0,0,860,21,4,Chinese,f,0,0,6.92468799,1.1702122
FDQ,8,0,2024-06-13T06:18:17.790Z,english_638.wav,0,0,860,21,4,Chinese,f,1,0.1,52.10042521,0.51269982
FDQ,8,0,2024-06-13T06:18:17.790Z,english_638.wav,0,0,860,21,4,Chinese,f,2,0.2,-39.07293948,0.1912204
FDQ,8,0,2024-06-13T06:18:17.790Z,english_638.wav,0,0,860,21,4,Chinese,f,3,0.3,38.46029754,0.91406415
FDQ,8,0,2024-06-13T06:18:17.790Z,english_638.wav,0,0,860,21,4,Chinese,f,4,0.32341667,-16.6630855,1.67689755
FDQ,9,0,2024-06-13T06:18:17.790Z,english_723.wav,0,1,787,21,4,Chinese,f,0,0,-85.17156731,1.02541656
FDQ,9,0,2024-06-13T06:18:17.790Z,english_723.wav,0,1,787,21,4,Chinese,f,1,0.1,92.93654667,0.92088513
FDQ,9,0,2024-06-13T06:18:17.790Z,english_723.wav,0,1,787,21,4,Chinese,f,2,0.2,-28.89042756,0.78256854
