subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
FQC,0,0,2024-06-14T02:38:59.534Z,english_325.wav,0,1,5327,,,,,0,0,-36.86035688,0.2784687
FQC,0,0,2024-06-14T02:38:59.534Z,english_325.wav,0,1,5327,,,,,1,0.1,-55.38569655,1.41229923
FQC,0,0,2024-06-14T02:38:59.534Z,english_325.wav,0,1,5327,,,,,2,0.2,-56.86017215,0.83316938
FQC,0,0,2024-06-14T02:38:59.534Z,english_325.wav,0,1,5327,,,,,3,0.3,-98.19449268,0.3465596
FQC,0,0,2024-06-14T02:38:59.534Z,english_325.wav,0,1,5327,,,,,4,0.32341667,-6.42447902,1.41863786
FQC,1,0,2024-06-14T02:38:59.534Z,english_935.wav,0,0,2916,,,,,0,0,64.39543101,0.53440609
FQC,1,0,2024-06-14T02:38:59.534Z,english_935.wav,0,0,2916,,,,,1,0.1,86.95314533,0.5847186
FQC,1,0,2024-06-14T02:38:59.534Z,english_935.wav,0,0,2916,,,,,2,0.2,-18.93400703,0.87093815
FQC,1,0,2024-06-14T02:38:59.534Z,english_935.wav,0,0,2916,,,,,3,0.3,36.25821345,1.35336039
FQC,1,0,2024-06-14T02:38:59.534Z,english_935.wav,0,0,2916,,,,,4,0.32341667,-52.75689815,1.46825192
FQC,2,0,2024-06-14T02:38:59.534Z,english_209.wav,0,0,2483,,,,,0,0,14.15361396,1.44232267
FQC,2,0,2024-06-14T02:38:59.534Z,english_209.wav,0,0,2483,,,,,1,0.1,85.95109622,1.49291498
FQC,2,0,2024-06-14T02:38:59.534Z,english_209.wav,0,0,2483,,,,,2,0.2,18.04804687,1.19611731
FQC,2,0,2024-06-14T02:38:59.534Z,english_209.wav,0,0,2483,,,,,3,0.3,28.2522976,1.49647535
FQC,2,0,2024-06-14T02:38:59.534Z,english_209.wav,0,0,2483,,,,,4,0.32341667,5.36776296,0.30324849
FQC,3,0,2024-06-14T02:38:59.534Z,english_279.wav,0,0,7040,,,,,0,0,-20.90398108,0.60114424
FQC,3,0,2024-06-14T02:38:59.534Z,english_279.wav,0,0,7040,,,,,1,0.1,98.83098338,0.92336304
FQC,3,0,2024-06-14T02:38:59.534Z,english_279.wav,0,0,7040,,,,,2,0.2,-95.37608427,1.39045705
FQC,3,0,2024-06-14T02:38:59.534Z,english_279.wav,0,0,7040,,,,,3,0.3,-52.65380993,0.64938935
FQC,3,0,2024-06-14T02:38:59.534Z,english_279.wav,0,0,7040,,,,,4,0.32341667,47.72500112,1.57478054
FQC,4,0,2024-06-14T02:38:59.534Z,english_638.wav,0,0,2084,,,,,0,0,6.92468799,1.1702122
FQC,4,0,2024-06-14T02:38:59.534Z,english_638.wav,0,0,2084,,,,,1,0.1,52.10042521,0.51269982
FQC,4,0,2024-06-14T02:38:59.534Z,english_638.wav,0,0,2084,,,,,2,0.2,-39.07293948,0.1912204
FQC,4,0,2024-06-14T02:38:59.534Z,english_638.wav,0,0,2084,,,,,3,0.3,38.46029754,0.91406415
FQC,4,0,2024-06-14T02:38:59.534Z,english_638.wav,0,0,2084,,,,,4,0.32341667,-16.6630855,1.67689755
FQC,5,0,2024-06-14T02:38:59.534Z,english_822.wav,0,1,1515,,,,,0,0,22.19463519,1.34957498
FQC,5,0,2024-06-14T02:38:59.534Z,english_822.wav,0,1,1515,,,,,1,0.1,46.02970585,1.18534363
FQC,5,0,2024-06-14T02:38:59.534Z,english_822.wav,0,1,1515,,,,,2,0.2,44.31281831,0.88966115
FQC,5,0,2024-06-14T02:38:59.534Z,english_822.wav,0,1,1515,,,,,3,0.3,27.24156044,1.22476657
FQC,5,0,2024-06-14T02:38:59.534Z,english_822.wav,0,1,1515,,,,,4,0.32341667,41.58842879,0.51847317
FQC,6,0,2024-06-14T02:38:59.534Z,english_261.wav,0,0,2252,,,,,0,0,-19.34212076,1.20182597
FQC,6,0,2024-06-14T02:38:59.534Z,english_261.wav,0,0,2252,,,,,1,0.1,-90.49371254,0.701642
FQC,6,0,2024-06-14T02:38:59.534Z,english_261.wav,0,0,2252,,,,,2,0.2,-2.84874079,0.72931556
FQC,6,0,2024-06-14T02:38:59.534Z,english_261.wav,0,0,2252,,,,,3,0.3,26.59732755,0.86687176
FQC,6,0,2024-06-14T02:38:59.534Z,english_261.wav,0,0,2252,,,,,4,0.32341667,39.97770901,1.42617677
FQC,7,0,2024-06-14T02:38:59.534Z,english_565.wav,0,0,2036,,,,,0,0,-89.95965492,1.93181176
FQC,7,0,2024-06-14T02:38:59.534Z,english_565.wav,0,0,2036,,,,,1,0.1,67.55938023,1.29027557
FQC,7,0,2024-06-14T02:38:59.534Z,english_565.wav,0,0,2036,,,,,2,0.2,26.6208604,0.36054668
FQC,7,0,2024-06-14T02:38:59.534Z,english_565.wav,0,0,2036,,,,,3,0.3,-54.20230035,1.25973455
FQC,7,0,2024-06-14T02:38:59.534Z,english_565.wav,0,0,2036,,,,,4,0.32341667,-98.16020256,0.92743077
FQC,8,0,2024-06-14T02:38:59.534Z,english_917.wav,0,0,2983,,,,,0,0,-2.28432431,0.51220006
