subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
JYS,0,0,2024-06-13T06:01:30.082Z,english_213.wav,0,1,5170,,,,,0,0,-29.91874444,1.42031243
JYS,0,0,2024-06-13T06:01:30.082Z,english_213.wav,0,1,5170,,,,,1,0.1,41.64704809,0.59218852
JYS,0,0,2024-06-13T06:01:30.082Z,english_213.wav,0,1,5170,,,,,2,0.2,-87.11075848,1.10576613
JYS,0,0,2024-06-13T06:01:30.082Z,english_213.wav,0,1,5170,,,,,3,0.3,-61.54877495,0.09529021
JYS,0,0,2024-06-13T06:01:30.082Z,english_213.wav,0,1,5170,,,,,4,0.32341667,-34.29429643,1.15583312
JYS,1,0,2024-06-13T06:01:30.082Z,english_179.wav,0,0,2464,,,,,0,0,76.93131114,0.23318107
JYS,1,0,2024-06-13T06:01:30.082Z,english_179.wav,0,0,2464,,,,,1,0.1,5.5150778,0.47080089
JYS,1,0,2024-06-13T06:01:30.082Z,english_179.wav,0,0,2464,,,,,2,0.2,3.89208722,1.31062884
JYS,1,0,2024-06-13T06:01:30.082Z,english_179.wav,0,0,2464,,,,,3,0.3,-8.47825544,0.27743795
JYS,1,0,2024-06-13T06:01:30.082Z,english_179.wav,0,0,2464,,,,,4,0.32341667,50.73924617,0.83516241
JYS,2,0,2024-06-13T06:01:30.082Z,english_662.wav,0,0,4563,,,,,0,0,-34.20942979,0.58122658
JYS,2,0,2024-06-13T06:01:30.082Z,english_662.wav,0,0,4563,,,,,1,0.1,-64.9220759,0.35407044
JYS,2,0,2024-06-13T06:01:30.082Z,english_662.wav,0,0,4563,,,,,2,0.2,-46.13526655,1.02300599
JYS,2,0,2024-06-13T06:01:30.082Z,english_662.wav,0,0,4563,,,,,3,0.3,16.61128262,0.09808433
JYS,2,0,2024-06-13T06:01:30.082Z,english_662.wav,0,0,4563,,,,,4,0.32341667,-72.42442326,0.71975239
JYS,3,0,2024-06-13T06:01:30.082Z,english_811.wav,0,1,2044,,,,,0,0,-51.03425556,1.55055496
JYS,3,0,2024-06-13T06:01:30.082Z,english_811.wav,0,1,2044,,,,,1,0.1,22.81695275,1.74830484
JYS,3,0,2024-06-13T06:01:30.082Z,english_811.wav,0,1,2044,,,,,2,0.2,73.06623682,1.24661488
JYS,3,0,2024-06-13T06:01:30.082Z,english_811.wav,0,1,2044,,,,,3,0.3,-9.17693151,0.09792889
JYS,3,0,2024-06-13T06:01:30.082Z,english_811.wav,0,1,2044,,,,,4,0.32341667,79.97760745,0.03735929
