subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LG,0,0,2024-06-14T13:33:32.853Z,english_49.wav,0,1,860,,,,,0,0,-6.08822071,0.36436507
LG,0,0,2024-06-14T13:33:32.853Z,english_49.wav,0,1,860,,,,,1,0.1,-56.0367764,1.66948988
LG,0,0,2024-06-14T13:33:32.853Z,english_49.wav,0,1,860,,,,,2,0.2,-51.95657584,1.20554654
LG,0,0,2024-06-14T13:33:32.853Z,english_49.wav,0,1,860,,,,,3,0.3,-59.93208112,0.31084089
LG,0,0,2024-06-14T13:33:32.853Z,english_49.wav,0,1,860,,,,,4,0.32341667,-7.85847813,0.44223059
LG,1,0,2024-06-14T13:33:32.853Z,english_457.wav,0,1,1860,,,,,0,0,-73.30847947,0.35525387
LG,1,0,2024-06-14T13:33:32.853Z,english_457.wav,0,1,1860,,,,,1,0.1,-25.74413936,0.90483023
LG,1,0,2024-06-14T13:33:32.853Z,english_457.wav,0,1,1860,,,,,2,0.2,8.82772976,1.30004432
LG,1,0,2024-06-14T13:33:32.853Z,english_457.wav,0,1,1860,,,,,3,0.3,-2.30416086,0.93422762
LG,1,0,2024-06-14T13:33:32.853Z,english_457.wav,0,1,1860,,,,,4,0.32341667,-34.04493945,1.31504388
LG,2,0,2024-06-14T13:33:32.853Z,english_691.wav,0,0,389,,,,,0,0,28.79078449,1.07683297
LG,2,0,2024-06-14T13:33:32.853Z,english_691.wav,0,0,389,,,,,1,0.1,99.1184909,1.07376069
LG,2,0,2024-06-14T13:33:32.853Z,english_691.wav,0,0,389,,,,,2,0.2,-54.13985733,0.28522735
LG,2,0,2024-06-14T13:33:32.853Z,english_691.wav,0,0,389,,,,,3,0.3,-85.36319246,0.85701066
LG,2,0,2024-06-14T13:33:32.853Z,english_691.wav,0,0,389,,,,,4,0.32341667,-73.61621094,1.71165398
LG,3,0,2024-06-14T13:33:32.853Z,english_957.wav,0,1,564,,,,,0,0,-8.34255742,0.77577071
LG,3,0,2024-06-14T13:33:32.853Z,english_957.wav,0,1,564,,,,,1,0.1,-36.8236739,1.35435363
LG,3,0,2024-06-14T13:33:32.853Z,english_957.wav,0,1,564,,,,,2,0.2,6.68978896,0.94592229
LG,3,0,2024-06-14T13:33:32.853Z,english_957.wav,0,1,564,,,,,3,0.3,-85.51463088,0.8988777
LG,3,0,2024-06-14T13:33:32.853Z,english_957.wav,0,1,564,,,,,4,0.32341667,-16.82289389,0.34403417
LG,4,0,2024-06-14T13:33:32.853Z,english_255.wav,0,1,762,,,,,0,0,-42.74550593,1.65518669
LG,4,0,2024-06-14T13:33:32.853Z,english_255.wav,0,1,762,,,,,1,0.1,35.44578771,1.85823386
LG,4,0,2024-06-14T13:33:32.853Z,english_255.wav,0,1,762,,,,,2,0.2,98.7346041,1.2123315
LG,4,0,2024-06-14T13:33:32.853Z,english_255.wav,0,1,762,,,,,3,0.3,14.08839822,0.62099519
LG,4,0,2024-06-14T13:33:32.853Z,english_255.wav,0,1,762,,,,,4,0.32341667,-55.38739786,1.08486436
LG,5,0,2024-06-14T13:33:32.853Z,english_757.wav,0,1,577,,,,,0,0,-71.37581006,0.57944866
LG,5,0,2024-06-14T13:33:32.853Z,english_757.wav,0,1,577,,,,,1,0.1,-34.89028362,1.76833087
LG,5,0,2024-06-14T13:33:32.853Z,english_757.wav,0,1,577,,,,,2,0.2,97.72444176,0.43040584
