subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LLG,0,0,2024-06-14T13:58:17.139Z,english_401.wav,0,0,6312,24,4,Chinese,m,0,0,-70.37998858,1.11338134
LLG,0,0,2024-06-14T13:58:17.139Z,english_401.wav,0,0,6312,24,4,Chinese,m,1,0.1,49.27188779,1.59691292
LLG,0,0,2024-06-14T13:58:17.139Z,english_401.wav,0,0,6312,24,4,Chinese,m,2,0.2,5.09566389,0.88679935
LLG,0,0,2024-06-14T13:58:17.139Z,english_401.wav,0,0,6312,24,4,Chinese,m,3,0.3,58.42368176,1.89749174
LLG,0,0,2024-06-14T13:58:17.139Z,english_401.wav,0,0,6312,24,4,Chinese,m,4,0.32341667,-43.06407799,1.35831765
LLG,1,0,2024-06-14T13:58:17.139Z,english_180.wav,0,0,4068,24,4,Chinese,m,0,0,-79.96502932,0.84610218
LLG,1,0,2024-06-14T13:58:17.139Z,english_180.wav,0,0,4068,24,4,Chinese,m,1,0.1,33.21752916,1.88919334
LLG,1,0,2024-06-14T13:58:17.139Z,english_180.wav,0,0,4068,24,4,Chinese,m,2,0.2,-97.52705813,0.18699196
LLG,1,0,2024-06-14T13:58:17.139Z,english_180.wav,0,0,4068,24,4,Chinese,m,3,0.3,42.51331828,0.0366283
LLG,1,0,2024-06-14T13:58:17.139Z,english_180.wav,0,0,4068,24,4,Chinese,m,4,0.32341667,-42.98571984,0.95813987
LLG,2,0,2024-06-14T13:58:17.139Z,english_527.wav,0,0,5495,24,4,Chinese,m,0,0,-32.70996179,0.06646481
LLG,2,0,2024-06-14T13:58:17.139Z,english_527.wav,0,0,5495,24,4,Chinese,m,1,0.1,-61.96334317,1.75268105
LLG,2,0,2024-06-14T13:58:17.139Z,english_527.wav,0,0,5495,24,4,Chinese,m,2,0.2,86.46317242,0.41061726
LLG,2,0,2024-06-14T13:58:17.139Z,english_527.wav,0,0,5495,24,4,Chinese,m,3,0.3,-18.9429262,1.43024268
LLG,2,0,2024-06-14T13:58:17.139Z,english_527.wav,0,0,5495,24,4,Chinese,m,4,0.32341667,-59.75355058,0.73468543
LLG,3,0,2024-06-14T13:58:17.139Z,english_993.wav,0,1,3758,24,4,Chinese,m,0,0,-66.15449332,1.17508471
LLG,3,0,2024-06-14T13:58:17.139Z,english_993.wav,0,1,3758,24,4,Chinese,m,1,0.1,33.08083728,0.94744004
LLG,3,0,2024-06-14T13:58:17.139Z,english_993.wav,0,1,3758,24,4,Chinese,m,2,0.2,51.46479562,0.74931244
LLG,3,0,2024-06-14T13:58:17.139Z,english_993.wav,0,1,3758,24,4,Chinese,m,3,0.3,-80.58676237,0.35628979
LLG,3,0,2024-06-14T13:58:17.139Z,english_993.wav,0,1,3758,24,4,Chinese,m,4,0.32341667,81.97884737,1.25416847
LLG,4,0,2024-06-14T14:03:18.259Z,english_599.wav,0,0,3090,24,4,Chinese,m,0,0,-57.09760884,1.03382432
LLG,4,0,2024-06-14T14:03:18.259Z,english_599.wav,0,0,3090,24,4,Chinese,m,1,0.1,31.85682387,1.26885403
LLG,4,0,2024-06-14T14:03:18.259Z,english_599.wav,0,0,3090,24,4,Chinese,m,2,0.2,-6.73425875,1.24717465
LLG,4,0,2024-06-14T14:03:18.259Z,english_599.wav,0,0,3090,24,4,Chinese,m,3,0.3,47.95830633,1.34338376
LLG,4,0,2024-06-14T14:03:18.259Z,english_599.wav,0,0,3090,24,4,Chinese,m,4,0.32341667,-83.8084816,0.34550335
LLG,5,0,2024-06-14T14:03:18.259Z,english_286.wav,0,1,1900,24,4,Chinese,m,0,0,-94.9495111,0.49849168
LLG,5,0,2024-06-14T14:03:18.259Z,english_286.wav,0,1,1900,24,4,Chinese,m,1,0.1,-25.05656786,1.27672914
