subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LX,0,0,2024-06-14T09:07:41.043Z,english_608.wav,0,0,1891,21,5,Chinese,f,0,0,78.8022196,1.54390555
LX,0,0,2024-06-14T09:07:41.043Z,english_608.wav,0,0,1891,21,5,Chinese,f,1,0.1,59.03316834,1.36513164
LX,0,0,2024-06-14T09:07:41.043Z,english_608.wav,0,0,1891,21,5,Chinese,f,2,0.2,-13.94961152,0.78716897
LX,0,0,2024-06-14T09:07:41.043Z,english_608.wav,0,0,1891,21,5,Chinese,f,3,0.3,55.83681575,1.29889886
LX,0,0,2024-06-14T09:07:41.043Z,english_608.wav,0,0,1891,21,5,Chinese,f,4,0.32341667,-13.77656228,0.44376749
LX,1,0,2024-06-14T09:07:41.043Z,english_441.wav,0,0,1357,21,5,Chinese,f,0,0,-34.50722314,1.86415324
LX,1,0,2024-06-14T09:07:41.043Z,english_441.wav,0,0,1357,21,5,Chinese,f,1,0.1,91.55175756,1.34062972
LX,1,0,2024-06-14T09:07:41.043Z,english_441.wav,0,0,1357,21,5,Chinese,f,2,0.2,-74.07917439,1.20894222
LX,1,0,2024-06-14T09:07:41.043Z,english_441.wav,0,0,1357,21,5,Chinese,f,3,0.3,82.08396891,0.00248362
LX,1,0,2024-06-14T09:07:41.043Z,english_441.wav,0,0,1357,21,5,Chinese,f,4,0.32341667,13.2563292,0.67485278
LX,2,0,2024-06-14T09:07:41.043Z,english_64.wav,0,0,2724,21,5,Chinese,f,0,0,-77.75081389,0.01503168
LX,2,0,2024-06-14T09:07:41.043Z,english_64.wav,0,0,2724,21,5,Chinese,f,1,0.1,47.79712302,0.51971923
LX,2,0,2024-06-14T09:07:41.043Z,english_64.wav,0,0,2724,21,5,Chinese,f,2,0.2,-98.04646937,1.01128345
LX,2,0,2024-06-14T09:07:41.043Z,english_64.wav,0,0,2724,21,5,Chinese,f,3,0.3,-20.17707595,0.69563875
LX,2,0,2024-06-14T09:07:41.043Z,english_64.wav,0,0,2724,21,5,Chinese,f,4,0.32341667,53.05828969,1.51814807
LX,3,0,2024-06-14T09:07:41.043Z,english_289.wav,0,0,1226,21,5,Chinese,f,0,0,-55.97739865,0.95213243
LX,3,0,2024-06-14T09:07:41.043Z,english_289.wav,0,0,1226,21,5,Chinese,f,1,0.1,-97.9801122,0.81858491
LX,3,0,2024-06-14T09:07:41.043Z,english_289.wav,0,0,1226,21,5,Chinese,f,2,0.2,44.28679287,1.16094748
LX,3,0,2024-06-14T09:07:41.043Z,english_289.wav,0,0,1226,21,5,Chinese,f,3,0.3,-74.0895039,0.92969459
LX,3,0,2024-06-14T09:07:41.043Z,english_289.wav,0,0,1226,21,5,Chinese,f,4,0.32341667,-44.25845537,0.41504245
LX,4,0,2024-06-14T09:07:41.043Z,english_519.wav,0,1,2080,21,5,Chinese,f,0,0,-8.06946753,0.14231686
LX,4,0,2024-06-14T09:07:41.043Z,english_519.wav,0,1,2080,21,5,Chinese,f,1,0.1,-66.74939098,1.74411569
LX,4,0,2024-06-14T09:07:41.043Z,english_519.wav,0,1,2080,21,5,Chinese,f,2,0.2,-27.98142454,1.42967772
LX,4,0,2024-06-14T09:07:41.043Z,english_519.wav,0,1,2080,21,5,Chinese,f,3,0.3,-72.75033344,0.44774012
LX,4,0,2024-06-14T09:07:41.043Z,english_519.wav,0,1,2080,21,5,Chinese,f,4,0.32341667,-36.15575878,1.4256209
LX,5,0,2024-06-14T09:07:41.043Z,english_404.wav,0,1,1808,21,5,Chinese,f,0,0,32.93077195,0.80618862
LX,5,0,2024-06-14T09:07:41.043Z,english_404.wav,0,1,1808,21,5,Chinese,f,1,0.1,51.79107477,1.03327995
LX,5,0,2024-06-14T09:07:41.043Z,english_404.wav,0,1,1808,21,5,Chinese,f,2,0.2,-61.91466198,1.39590152
LX,5,0,2024-06-14T09:07:41.043Z,english_404.wav,0,1,1808,21,5,Chinese,f,3,0.3,33.45957754,1.8615638
LX,5,0,2024-06-14T09:07:41.043Z,english_404.wav,0,1,1808,21,5,Chinese,f,4,0.32341667,-82.23793256,0.80137687
LX,6,0,2024-06-14T09:07:41.043Z,english_756.wav,0,0,544,21,5,Chinese,f,0,0,-75.60908863,1.29894989
LX,6,0,2024-06-14T09:07:41.043Z,english_756.wav,0,0,544,21,5,Chinese,f,1,0.1,-4.30259752,0.61363685
LX,6,0,2024-06-14T09:07:41.043Z,english_756.wav,0,0,544,21,5,Chinese,f,2,0.2,20.94377522,1.41793961
LX,6,0,2024-06-14T09:07:41.043Z,english_756.wav,0,0,544,21,5,Chinese,f,3,0.3,10.45062111,1.73528762
LX,6,0,2024-06-14T09:07:41.043Z,english_756.wav,0,0,544,21,5,Chinese,f,4,0.32341667,86.50209298,0.4791473
LX,7,0,2024-06-14T09:07:41.043Z,english_648.wav,0,1,1032,21,5,Chinese,f,0,0,-36.17742204,0.57576188
LX,7,0,2024-06-14T09:07:41.043Z,english_648.wav,0,1,1032,21,5,Chinese,f,1,0.1,30.10697278,1.1310908
LX,7,0,2024-06-14T09:07:41.043Z,english_648.wav,0,1,1032,21,5,Chinese,f,2,0.2,-67.31320052,1.67112441
LX,7,0,2024-06-14T09:07:41.043Z,english_648.wav,0,1,1032,21,5,Chinese,f,3,0.3,-10.94597212,0.39641968
LX,7,0,2024-06-14T09:07:41.043Z,english_648.wav,0,1,1032,21,5,Chinese,f,4,0.32341667,72.59648235,1.93789316
LX,8,0,2024-06-14T09:07:41.043Z,english_796.wav,0,0,514,21,5,Chinese,f,0,0,57.52331511,0.93419081
LX,8,0,2024-06-14T09:07:41.043Z,english_796.wav,0,0,514,21,5,Chinese,f,1,0.1,-53.71774571,0.77950231
LX,8,0,2024-06-14T09:07:41.043Z,english_796.wav,0,0,514,21,5,Chinese,f,2,0.2,-36.09214461,0.54947466
LX,8,0,2024-06-14T09:07:41.043Z,english_796.wav,0,0,514,21,5,Chinese,f,3,0.3,23.21783142,1.69054841
LX,8,0,2024-06-14T09:07:41.043Z,english_796.wav,0,0,514,21,5,Chinese,f,4,0.32341667,-74.52171885,0.76047802
LX,9,0,2024-06-14T09:07:41.043Z,english_322.wav,0,1,1167,21,5,Chinese,f,0,0,-27.28438319,0.79345249
LX,9,0,2024-06-14T09:07:41.043Z,english_322.wav,0,1,1167,21,5,Chinese,f,1,0.1,-98.66999083,0.28651419
LX,9,0,2024-06-14T09:07:41.043Z,english_322.wav,0,1,1167,21,5,Chinese,f,2,0.2,-54.08694108,1.26482546
LX,9,0,2024-06-14T09:07:41.043Z,english_322.wav,0,1,1167,21,5,Chinese,f,3,0.3,-7.3933801,0.6947791
LX,9,0,2024-06-14T09:07:41.043Z,english_322.wav,0,1,1167,21,5,Chinese,f,4,0.32341667,72.49489683,0.74875353
LX,10,0,2024-06-14T09:07:41.043Z,english_88.wav,0,0,595,21,5,Chinese,f,0,0,26.55889683,1.3027014
