subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
LYZ,0,0,2024-06-14T04:45:14.075Z,english_670.wav,0,0,15059,21,4,chinese,m,0,0,64.75672565,1.5535903
LYZ,0,0,2024-06-14T04:45:14.075Z,english_670.wav,0,0,15059,21,4,chinese,m,1,0.1,85.95156369,0.12522594
LYZ,0,0,2024-06-14T04:45:14.075Z,english_670.wav,0,0,15059,21,4,chinese,m,2,0.2,-44.32949438,0.22842632
LYZ,0,0,2024-06-14T04:45:14.075Z,english_670.wav,0,0,15059,21,4,chinese,m,3,0.3,22.57192219,0.17636502
LYZ,0,0,2024-06-14T04:45:14.075Z,english_670.wav,0,0,15059,21,4,chinese,m,4,0.32341667,34.74005277,0.16208776
LYZ,1,0,2024-06-14T04:45:14.075Z,english_823.wav,0,1,13187,21,4,chinese,m,0,0,24.6891334,1.19409205
LYZ,1,0,2024-06-14T04:45:14.075Z,english_823.wav,0,1,13187,21,4,chinese,m,1,0.1,86.03794788,0.72053846
LYZ,1,0,2024-06-14T04:45:14.075Z,english_823.wav,0,1,13187,21,4,chinese,m,2,0.2,45.97308045,0.2138623
LYZ,1,0,2024-06-14T04:45:14.075Z,english_823.wav,0,1,13187,21,4,chinese,m,3,0.3,39.11596791,1.56743943
LYZ,1,0,2024-06-14T04:45:14.075Z,english_823.wav,0,1,13187,21,4,chinese,m,4,0.32341667,10.29734006,1.24065623
LYZ,2,0,2024-06-14T04:45:14.075Z,english_477.wav,0,0,17755,21,4,chinese,m,0,0,9.7496965,0.26828956
LYZ,2,0,2024-06-14T04:45:14.075Z,english_477.wav,0,0,17755,21,4,chinese,m,1,0.1,70.56003184,0.51901368
LYZ,2,0,2024-06-14T04:45:14.075Z,english_477.wav,0,0,17755,21,4,chinese,m,2,0.2,34.49551211,0.35677294
LYZ,2,0,2024-06-14T04:45:14.075Z,english_477.wav,0,0,17755,21,4,chinese,m,3,0.3,-75.0597055,1.39462812
LYZ,2,0,2024-06-14T04:45:14.075Z,english_477.wav,0,0,17755,21,4,chinese,m,4,0.32341667,-82.15638008,0.55199483
LYZ,3,0,2024-06-14T04:45:14.075Z,english_538.wav,0,1,5981,21,4,chinese,m,0,0,2.36208538,1.54356298
LYZ,3,0,2024-06-14T04:45:14.075Z,english_538.wav,0,1,5981,21,4,chinese,m,1,0.1,77.85923423,0.47597082
LYZ,3,0,2024-06-14T04:45:14.075Z,english_538.wav,0,1,5981,21,4,chinese,m,2,0.2,-89.1271409,1.27977799
LYZ,3,0,2024-06-14T04:45:14.075Z,english_538.wav,0,1,5981,21,4,chinese,m,3,0.3,-18.79772534,1.05516459
LYZ,3,0,2024-06-14T04:45:14.075Z,english_538.wav,0,1,5981,21,4,chinese,m,4,0.32341667,87.62276495,1.20284762
LYZ,4,0,2024-06-14T04:45:14.075Z,english_603.wav,0,0,9194,21,4,chinese,m,0,0,-14.17444723,1.28295305
LYZ,4,0,2024-06-14T04:45:14.075Z,english_603.wav,0,0,9194,21,4,chinese,m,1,0.1,-4.64921339,0.35920956
LYZ,4,0,2024-06-14T04:45:14.075Z,english_603.wav,0,0,9194,21,4,chinese,m,2,0.2,-23.32469505,0.60281559
