subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
MJH_0616,0,0,2024-06-16T00:50:56.434Z,english_840.wav,0,1,8003,,,,,0,0,-27.11425843,1.31301797
MJH_0616,0,0,2024-06-16T00:50:56.434Z,english_840.wav,0,1,8003,,,,,1,0.1,-47.31494811,0.54280133
MJH_0616,0,0,2024-06-16T00:50:56.434Z,english_840.wav,0,1,8003,,,,,2,0.2,-88.66887426,0.14090987
MJH_0616,0,0,2024-06-16T00:50:56.434Z,english_840.wav,0,1,8003,,,,,3,0.3,7.86940595,0.11950116
MJH_0616,0,0,2024-06-16T00:50:56.434Z,english_840.wav,0,1,8003,,,,,4,0.32341667,87.61758205,1.48166624
MJH_0616,1,0,2024-06-16T00:50:56.434Z,english_620.wav,0,0,3630,,,,,0,0,-92.9203055,0.43561856
MJH_0616,1,0,2024-06-16T00:50:56.434Z,english_620.wav,0,0,3630,,,,,1,0.1,26.7086056,0.24535421
MJH_0616,1,0,2024-06-16T00:50:56.434Z,english_620.wav,0,0,3630,,,,,2,0.2,89.1883135,1.34102831
MJH_0616,1,0,2024-06-16T00:50:56.434Z,english_620.wav,0,0,3630,,,,,3,0.3,-0.0557738795,1.80103954
MJH_0616,1,0,2024-06-16T00:50:56.434Z,english_620.wav,0,0,3630,,,,,4,0.323416667,2.9787243,0.21248525
MJH_0616,2,0,2024-06-16T00:50:56.434Z,english_96.wav,0,1,163758,,,,,0,0,-2.60251168,1.33849038
MJH_0616,2,0,2024-06-16T00:50:56.434Z,english_96.wav,0,1,163758,,,,,1,0.1,3.1808695,1.03790095
MJH_0616,2,0,2024-06-16T00:50:56.434Z,english_96.wav,0,1,163758,,,,,2,0.2,-93.89625608,0.32730996
MJH_0616,2,0,2024-06-16T00:50:56.434Z,english_96.wav,0,1,163758,,,,,3,0.3,22.03695444,1.15118519
MJH_0616,2,0,2024-06-16T00:50:56.434Z,english_96.wav,0,1,163758,,,,,4,0.32341667,89.13776591,1.37996061
MJH_0616,3,0,2024-06-16T00:50:56.434Z,english_808.wav,0,0,6018,,,,,0,0,23.02589628,1.07384277
MJH_0616,3,0,2024-06-16T00:50:56.434Z,english_808.wav,0,0,6018,,,,,1,0.1,10.58817829,1.3919179
MJH_0616,3,0,2024-06-16T00:50:56.434Z,english_808.wav,0,0,6018,,,,,2,0.2,36.77134597,0.54960524
MJH_0616,3,0,2024-06-16T00:50:56.434Z,english_808.wav,0,0,6018,,,,,3,0.3,-30.31603221,1.95871365
MJH_0616,3,0,2024-06-16T00:50:56.434Z,english_808.wav,0,0,6018,,,,,4,0.32341667,9.74764343,0.79150541
MJH_0616,4,0,2024-06-16T00:50:56.434Z,english_677.wav,0,0,3434,,,,,0,0,74.92499355,0.4070184
MJH_0616,4,0,2024-06-16T00:50:56.434Z,english_677.wav,0,0,3434,,,,,1,0.1,35.44886391,0.82737557
MJH_0616,4,0,2024-06-16T00:50:56.434Z,english_677.wav,0,0,3434,,,,,2,0.2,3.82146975,0.46436239
MJH_0616,4,0,2024-06-16T00:50:56.434Z,english_677.wav,0,0,3434,,,,,3,0.3,10.3543008,1.40426898
MJH_0616,4,0,2024-06-16T00:50:56.434Z,english_677.wav,0,0,3434,,,,,4,0.32341667,-53.94170103,1.42138659
MJH_0616,5,0,2024-06-16T00:50:56.434Z,english_884.wav,0,0,7334,,,,,0,0,77.1498115,1.83268558
MJH_0616,5,0,2024-06-16T00:50:56.434Z,english_884.wav,0,0,7334,,,,,1,0.1,10.32602389,0.76817862
MJH_0616,5,0,2024-06-16T00:50:56.434Z,english_884.wav,0,0,7334,,,,,2,0.2,4.15464736,1.59331573
MJH_0616,5,0,2024-06-16T00:50:56.434Z,english_884.wav,0,0,7334,,,,,3,0.3,21.19252889,0.58913169
MJH_0616,5,0,2024-06-16T00:50:56.434Z,english_884.wav,0,0,7334,,,,,4,0.32341667,-7.11336122,0.81393531
MJH_0616,6,0,2024-06-16T00:50:56.434Z,english_107.wav,0,0,5616,,,,,0,0,-19.24931684,0.69122185
MJH_0616,6,0,2024-06-16T00:50:56.434Z,english_107.wav,0,0,5616,,,,,1,0.1,24.04874113,0.13674094
MJH_0616,6,0,2024-06-16T00:50:56.434Z,english_107.wav,0,0,5616,,,,,2,0.2,59.01955179,1.47608642
MJH_0616,6,0,2024-06-16T00:50:56.434Z,english_107.wav,0,0,5616,,,,,3,0.3,49.74315823,1.52525824
MJH_0616,6,0,2024-06-16T00:50:56.434Z,english_107.wav,0,0,5616,,,,,4,0.32341667,-75.23844627,0.11985114
MJH_0616,7,0,2024-06-16T00:50:56.434Z,english_734.wav,0,0,1107,,,,,0,0,23.12527103,1.15728247
MJH_0616,7,0,2024-06-16T00:50:56.434Z,english_734.wav,0,0,1107,,,,,1,0.1,70.97885261,1.10975856
MJH_0616,7,0,2024-06-16T00:50:56.434Z,english_734.wav,0,0,1107,,,,,2,0.2,-68.62860591,0.41126476
MJH_0616,7,0,2024-06-16T00:50:56.434Z,english_734.wav,0,0,1107,,,,,3,0.3,-14.81239301,1.45213782
MJH_0616,7,0,2024-06-16T00:50:56.434Z,english_734.wav,0,0,1107,,,,,4,0.32341667,-74.40513958,1.98917216
MJH_0616,8,0,2024-06-16T00:50:56.434Z,english_314.wav,0,1,1805,,,,,0,0,-64.95449137,1.33019215
MJH_0616,8,0,2024-06-16T00:50:56.434Z,english_314.wav,0,1,1805,,,,,1,0.1,41.76232806,0.95010379
MJH_0616,8,0,2024-06-16T00:50:56.434Z,english_314.wav,0,1,1805,,,,,2,0.2,68.0199099,0.0418164
MJH_0616,8,0,2024-06-16T00:50:56.434Z,english_314.wav,0,1,1805,,,,,3,0.3,-18.86846342,0.3847457
MJH_0616,8,0,2024-06-16T00:50:56.434Z,english_314.wav,0,1,1805,,,,,4,0.32341667,-2.58545886,1.31154336
MJH_0616,9,0,2024-06-16T00:50:56.434Z,english_357.wav,0,0,2123,,,,,0,0,76.35734026,1.14590216
MJH_0616,9,0,2024-06-16T00:50:56.434Z,english_357.wav,0,0,2123,,,,,1,0.1,-86.84267031,0.53472093
MJH_0616,9,0,2024-06-16T00:50:56.434Z,english_357.wav,0,0,2123,,,,,2,0.2,-64.6676431,0.54723503
MJH_0616,9,0,2024-06-16T00:50:56.434Z,english_357.wav,0,0,2123,,,,,3,0.3,-69.9472318,1.29334783
MJH_0616,9,0,2024-06-16T00:50:56.434Z,english_357.wav,0,0,2123,,,,,4,0.32341667,87.84988665,1.74725804
