subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
QH,0,0,2024-06-14T13:16:53.165Z,english_260.wav,0,0,4682,22,3,chinese,m,0,0,-45.73422918,1.75247731
QH,0,0,2024-06-14T13:16:53.165Z,english_260.wav,0,0,4682,22,3,chinese,m,1,0.1,-23.757295,1.29821829
QH,0,0,2024-06-14T13:16:53.165Z,english_260.wav,0,0,4682,22,3,chinese,m,2,0.2,-1.17180464,0.50372963
QH,0,0,2024-06-14T13:16:53.165Z,english_260.wav,0,0,4682,22,3,chinese,m,3,0.3,42.98000529,1.19905143
QH,0,0,2024-06-14T13:16:53.165Z,english_260.wav,0,0,4682,22,3,chinese,m,4,0.32341667,7.49715463,0.66690199
QH,1,0,2024-06-14T13:16:53.165Z,english_172.wav,0,0,5457,22,3,chinese,m,0,0,8.59493981,0.93080222
QH,1,0,2024-06-14T13:16:53.165Z,english_172.wav,0,0,5457,22,3,chinese,m,1,0.1,-56.34346079,0.53387901
QH,1,0,2024-06-14T13:16:53.165Z,english_172.wav,0,0,5457,22,3,chinese,m,2,0.2,-95.76423912,0.34406097
QH,1,0,2024-06-14T13:16:53.165Z,english_172.wav,0,0,5457,22,3,chinese,m,3,0.3,11.69646411,0.74935371
QH,1,0,2024-06-14T13:16:53.165Z,english_172.wav,0,0,5457,22,3,chinese,m,4,0.32341667,-55.10661496,0.42041327
QH,2,0,2024-06-14T13:16:53.165Z,english_264.wav,0,1,1462,22,3,chinese,m,0,0,16.10521774,1.02407609
QH,2,0,2024-06-14T13:16:53.165Z,english_264.wav,0,1,1462,22,3,chinese,m,1,0.1,-43.55481907,1.4393598
QH,2,0,2024-06-14T13:16:53.165Z,english_264.wav,0,1,1462,22,3,chinese,m,2,0.2,-16.87093852,1.31552174
QH,2,0,2024-06-14T13:16:53.165Z,english_264.wav,0,1,1462,22,3,chinese,m,3,0.3,-81.41755984,1.17516842
QH,2,0,2024-06-14T13:16:53.165Z,english_264.wav,0,1,1462,22,3,chinese,m,4,0.32341667,-76.00277997,0.613195
QH,3,0,2024-06-14T13:16:53.165Z,english_280.wav,0,0,6353,22,3,chinese,m,0,0,88.60957906,0.0301642
QH,3,0,2024-06-14T13:16:53.165Z,english_280.wav,0,0,6353,22,3,chinese,m,1,0.1,84.68226706,1.61205195
QH,3,0,2024-06-14T13:16:53.165Z,english_280.wav,0,0,6353,22,3,chinese,m,2,0.2,-77.43679957,1.42137195
QH,3,0,2024-06-14T13:16:53.165Z,english_280.wav,0,0,6353,22,3,chinese,m,3,0.3,45.11946934,1.73240953
QH,3,0,2024-06-14T13:16:53.165Z,english_280.wav,0,0,6353,22,3,chinese,m,4,0.32341667,-36.96988582,0.09602122
QH,4,0,2024-06-14T13:16:53.165Z,english_635.wav,0,0,6203,22,3,chinese,m,0,0,27.7169436,1.98702335
QH,4,0,2024-06-14T13:16:53.165Z,english_635.wav,0,0,6203,22,3,chinese,m,1,0.1,-44.8292656,1.27737447
QH,4,0,2024-06-14T13:16:53.165Z,english_635.wav,0,0,6203,22,3,chinese,m,2,0.2,67.97685769,0.57401651
QH,4,0,2024-06-14T13:16:53.165Z,english_635.wav,0,0,6203,22,3,chinese,m,3,0.3,82.0264667,0.46134276
QH,4,0,2024-06-14T13:16:53.165Z,english_635.wav,0,0,6203,22,3,chinese,m,4,0.32341667,84.34985253,0.71235155
QH,5,0,2024-06-14T13:16:53.165Z,english_449.wav,0,1,1457,22,3,chinese,m,0,0,-46.54576765,0.60085197
QH,5,0,2024-06-14T13:16:53.165Z,english_449.wav,0,1,1457,22,3,chinese,m,1,0.1,20.05422573,1.74901032
QH,5,0,2024-06-14T13:16:53.165Z,english_449.wav,0,1,1457,22,3,chinese,m,2,0.2,54.52400621,1.9506545
QH,5,0,2024-06-14T13:16:53.165Z,english_449.wav,0,1,1457,22,3,chinese,m,3,0.3,73.66855139,1.81044704
QH,5,0,2024-06-14T13:16:53.165Z,english_449.wav,0,1,1457,22,3,chinese,m,4,0.32341667,-1.88675615,0.93562966
QH,6,0,2024-06-14T13:16:53.165Z,english_342.wav,0,1,2179,22,3,chinese,m,0,0,78.00911228,0.99673345
QH,6,0,2024-06-14T13:16:53.165Z,english_342.wav,0,1,2179,22,3,chinese,m,1,0.1,-28.67768894,1.80563483
QH,6,0,2024-06-14T13:16:53.165Z,english_342.wav,0,1,2179,22,3,chinese,m,2,0.2,73.55618202,1.38552336
QH,6,0,2024-06-14T13:16:53.165Z,english_342.wav,0,1,2179,22,3,chinese,m,3,0.3,93.0509223,0.17145116
QH,6,0,2024-06-14T13:16:53.165Z,english_342.wav,0,1,2179,22,3,chinese,m,4,0.32341667,-2.74816459,0.15059009
QH,7,0,2024-06-14T13:16:53.165Z,english_37.wav,0,1,2772,22,3,chinese,m,0,0,-5.54999706,1.12257854
QH,7,0,2024-06-14T13:16:53.165Z,english_37.wav,0,1,2772,22,3,chinese,m,1,0.1,23.22206304,1.8669628
QH,7,0,2024-06-14T13:16:53.165Z,english_37.wav,0,1,2772,22,3,chinese,m,2,0.2,-57.36481589,0.39386712
QH,7,0,2024-06-14T13:16:53.165Z,english_37.wav,0,1,2772,22,3,chinese,m,3,0.3,58.0578648,1.21765674
QH,7,0,2024-06-14T13:16:53.165Z,english_37.wav,0,1,2772,22,3,chinese,m,4,0.32341667,66.03280024,0.74428952
QH,8,0,2024-06-14T13:16:53.165Z,english_68.wav,0,0,3144,22,3,chinese,m,0,0,-23.38152803,1.83565324
QH,8,0,2024-06-14T13:16:53.165Z,english_68.wav,0,0,3144,22,3,chinese,m,1,0.1,-36.0918901,0.35162477
QH,8,0,2024-06-14T13:16:53.165Z,english_68.wav,0,0,3144,22,3,chinese,m,2,0.2,65.46592862,1.10705723
QH,8,0,2024-06-14T13:16:53.165Z,english_68.wav,0,0,3144,22,3,chinese,m,3,0.3,48.57602628,1.09550925
QH,8,0,2024-06-14T13:16:53.165Z,english_68.wav,0,0,3144,22,3,chinese,m,4,0.32341667,-93.64245591,0.05753383
QH,9,0,2024-06-14T13:16:53.165Z,english_380.wav,0,1,2317,22,3,chinese,m,0,0,-44.61260121,1.04167661
QH,9,0,2024-06-14T13:16:53.165Z,english_380.wav,0,1,2317,22,3,chinese,m,1,0.1,-47.89967478,0.43386817
QH,9,0,2024-06-14T13:16:53.165Z,english_380.wav,0,1,2317,22,3,chinese,m,2,0.2,34.91352544,0.93219588
QH,9,0,2024-06-14T13:16:53.165Z,english_380.wav,0,1,2317,22,3,chinese,m,3,0.3,-71.89465654,0.8109376
QH,9,0,2024-06-14T13:16:53.165Z,english_380.wav,0,1,2317,22,3,chinese,m,4,0.32341667,84.67713906,0.64473949
QH,10,0,2024-06-14T13:16:53.165Z,english_377.wav,0,1,1067,22,3,chinese,m,0,0,74.10679581,1.90218841
QH,10,0,2024-06-14T13:16:53.165Z,english_377.wav,0,1,1067,22,3,chinese,m,1,0.1,-97.36412995,1.60160035
QH,10,0,2024-06-14T13:16:53.165Z,english_377.wav,0,1,1067,22,3,chinese,m,2,0.2,-84.25672888,1.668912
QH,10,0,2024-06-14T13:16:53.165Z,english_377.wav,0,1,1067,22,3,chinese,m,3,0.3,27.09308902,1.51590505
QH,10,0,2024-06-14T13:16:53.165Z,english_377.wav,0,1,1067,22,3,chinese,m,4,0.32341667,-12.33253686,0.99909344
QH,11,0,2024-06-14T13:25:55.793Z,english_458.wav,0,1,1996,22,3,chinese,m,0,0,-49.69821038,0.39452057
QH,11,0,2024-06-14T13:25:55.793Z,english_458.wav,0,1,1996,22,3,chinese,m,1,0.1,-49.80647014,1.24604375
QH,11,0,2024-06-14T13:25:55.793Z,english_458.wav,0,1,1996,22,3,chinese,m,2,0.2,11.98261521,0.42272405
QH,11,0,2024-06-14T13:25:55.793Z,english_458.wav,0,1,1996,22,3,chinese,m,3,0.3,59.43319096,0.21259233
QH,11,0,2024-06-14T13:25:55.793Z,english_458.wav,0,1,1996,22,3,chinese,m,4,0.32341667,-34.5671642,1.13235362
QH,12,0,2024-06-14T13:25:55.793Z,english_431.wav,0,1,3023,22,3,chinese,m,0,0,-28.91437381,1.3282391
QH,12,0,2024-06-14T13:25:55.793Z,english_431.wav,0,1,3023,22,3,chinese,m,1,0.1,30.6479342,1.9405757
QH,12,0,2024-06-14T13:25:55.793Z,english_431.wav,0,1,3023,22,3,chinese,m,2,0.2,41.25713347,1.67607787
QH,12,0,2024-06-14T13:25:55.793Z,english_431.wav,0,1,3023,22,3,chinese,m,3,0.3,9.19018397,0.62213613
QH,12,0,2024-06-14T13:25:55.793Z,english_431.wav,0,1,3023,22,3,chinese,m,4,0.32341667,-61.77590044,0.50881411
QH,13,0,2024-06-14T13:25:55.793Z,english_451.wav,0,0,695,22,3,chinese,m,0,0,-87.31297583,0.44823779
QH,13,0,2024-06-14T13:25:55.793Z,english_451.wav,0,0,695,22,3,chinese,m,1,0.1,-44.51362963,0.44678563
QH,13,0,2024-06-14T13:25:55.793Z,english_451.wav,0,0,695,22,3,chinese,m,2,0.2,-15.52945473,1.69444841
QH,13,0,2024-06-14T13:25:55.793Z,english_451.wav,0,0,695,22,3,chinese,m,3,0.3,11.70886435,0.18586344
QH,13,0,2024-06-14T13:25:55.793Z,english_451.wav,0,0,695,22,3,chinese,m,4,0.32341667,82.84342256,0.9677256
QH,14,0,2024-06-14T13:25:55.793Z,english_896.wav,0,0,1071,22,3,chinese,m,0,0,-76.63716622,1.08893336
QH,14,0,2024-06-14T13:25:55.793Z,english_896.wav,0,0,1071,22,3,chinese,m,1,0.1,-73.11298951,0.41748987
QH,14,0,2024-06-14T13:25:55.793Z,english_896.wav,0,0,1071,22,3,chinese,m,2,0.2,48.53347054,0.32012442
QH,14,0,2024-06-14T13:25:55.793Z,english_896.wav,0,0,1071,22,3,chinese,m,3,0.3,-4.46661278,0.63387312
QH,14,0,2024-06-14T13:25:55.793Z,english_896.wav,0,0,1071,22,3,chinese,m,4,0.32341667,-44.69533701,1.27766005
QH,15,0,2024-06-14T13:25:55.793Z,english_258.wav,0,1,583,22,3,chinese,m,0,0,-7.1133109,1.89026761
QH,15,0,2024-06-14T13:25:55.793Z,english_258.wav,0,1,583,22,3,chinese,m,1,0.1,44.58564752,1.79361992
QH,15,0,2024-06-14T13:25:55.793Z,english_258.wav,0,1,583,22,3,chinese,m,2,0.2,45.36800295,0.43687845
QH,15,0,2024-06-14T13:25:55.793Z,english_258.wav,0,1,583,22,3,chinese,m,3,0.3,25.81301737,0.04688612
QH,15,0,2024-06-14T13:25:55.793Z,english_258.wav,0,1,583,22,3,chinese,m,4,0.32341667,-77.97513924,0.52567924
QH,16,0,2024-06-14T13:25:55.793Z,english_842.wav,0,1,1339,22,3,chinese,m,0,0,-48.5952207,0.12382156
QH,16,0,2024-06-14T13:25:55.793Z,english_842.wav,0,1,1339,22,3,chinese,m,1,0.1,29.19485822,1.75564688
QH,16,0,2024-06-14T13:25:55.793Z,english_842.wav,0,1,1339,22,3,chinese,m,2,0.2,84.54328152,0.24815543
QH,16,0,2024-06-14T13:25:55.793Z,english_842.wav,0,1,1339,22,3,chinese,m,3,0.3,69.99994667,1.2885643
QH,16,0,2024-06-14T13:25:55.793Z,english_842.wav,0,1,1339,22,3,chinese,m,4,0.32341667,56.72069463,0.70518165
QH,17,0,2024-06-14T13:25:55.793Z,english_223.wav,0,1,964,22,3,chinese,m,0,0,-51.58222533,0.62889348
QH,17,0,2024-06-14T13:25:55.793Z,english_223.wav,0,1,964,22,3,chinese,m,1,0.1,-36.02700064,1.73736573
QH,17,0,2024-06-14T13:25:55.793Z,english_223.wav,0,1,964,22,3,chinese,m,2,0.2,-35.4915315,1.20130681
QH,17,0,2024-06-14T13:25:55.793Z,english_223.wav,0,1,964,22,3,chinese,m,3,0.3,1.26892628,0.53176439
QH,17,0,2024-06-14T13:25:55.793Z,english_223.wav,0,1,964,22,3,chinese,m,4,0.32341667,72.37143842,1.24562253
QH,18,0,2024-06-14T13:25:55.793Z,english_407.wav,0,1,1345,22,3,chinese,m,0,0,-13.68776922,0.77658743
QH,18,0,2024-06-14T13:25:55.793Z,english_407.wav,0,1,1345,22,3,chinese,m,1,0.1,-57.11899702,1.53398674
QH,18,0,2024-06-14T13:25:55.793Z,english_407.wav,0,1,1345,22,3,chinese,m,2,0.2,62.94325807,0.70379875
