subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
QMH,0,0,2024-06-14T15:01:49.875Z,english_598.wav,0,0,3294,20,3,Chinese,f,0,0,4.26365523,0.04069017
QMH,0,0,2024-06-14T15:01:49.875Z,english_598.wav,0,0,3294,20,3,Chinese,f,1,0.1,-29.634957,1.27980102
QMH,0,0,2024-06-14T15:01:49.875Z,english_598.wav,0,0,3294,20,3,Chinese,f,2,0.2,-17.49120793,0.98781586
QMH,0,0,2024-06-14T15:01:49.875Z,english_598.wav,0,0,3294,20,3,Chinese,f,3,0.3,-34.93876912,1.55939702
QMH,0,0,2024-06-14T15:01:49.875Z,english_598.wav,0,0,3294,20,3,Chinese,f,4,0.32341667,49.49845506,1.74128412
QMH,1,0,2024-06-14T15:01:49.875Z,english_665.wav,0,1,3994,20,3,Chinese,f,0,0,-25.08423312,1.80265724
QMH,1,0,2024-06-14T15:01:49.875Z,english_665.wav,0,1,3994,20,3,Chinese,f,1,0.1,-88.66042782,0.10063576
QMH,1,0,2024-06-14T15:01:49.875Z,english_665.wav,0,1,3994,20,3,Chinese,f,2,0.2,-73.67467666,0.92910111
QMH,1,0,2024-06-14T15:01:49.875Z,english_665.wav,0,1,3994,20,3,Chinese,f,3,0.3,66.53606028,0.83814709
QMH,1,0,2024-06-14T15:01:49.875Z,english_665.wav,0,1,3994,20,3,Chinese,f,4,0.32341667,-75.03630793,0.77033789
QMH,2,0,2024-06-14T15:01:49.875Z,english_400.wav,0,0,4550,20,3,Chinese,f,0,0,-9.17924521,1.06898792
QMH,2,0,2024-06-14T15:01:49.875Z,english_400.wav,0,0,4550,20,3,Chinese,f,1,0.1,-51.0410118,0.05890524
QMH,2,0,2024-06-14T15:01:49.875Z,english_400.wav,0,0,4550,20,3,Chinese,f,2,0.2,66.2548805,1.54728483
QMH,2,0,2024-06-14T15:01:49.875Z,english_400.wav,0,0,4550,20,3,Chinese,f,3,0.3,92.33374018,1.43953162
QMH,2,0,2024-06-14T15:01:49.875Z,english_400.wav,0,0,4550,20,3,Chinese,f,4,0.32341667,-60.80730989,1.12546459
QMH,3,0,2024-06-14T15:01:49.875Z,english_358.wav,0,1,3538,20,3,Chinese,f,0,0,-24.40280242,0.64702298
QMH,3,0,2024-06-14T15:01:49.875Z,english_358.wav,0,1,3538,20,3,Chinese,f,1,0.1,62.18566088,0.86836285
QMH,3,0,2024-06-14T15:01:49.875Z,english_358.wav,0,1,3538,20,3,Chinese,f,2,0.2,5.26675109,1.05826104
QMH,3,0,2024-06-14T15:01:49.875Z,english_358.wav,0,1,3538,20,3,Chinese,f,3,0.3,-31.91571391,1.98011631
QMH,3,0,2024-06-14T15:01:49.875Z,english_358.wav,0,1,3538,20,3,Chinese,f,4,0.32341667,27.35112364,0.35058307
QMH,4,0,2024-06-14T15:01:49.875Z,english_959.wav,0,1,2328,20,3,Chinese,f,0,0,-78.42285057,1.71892855
QMH,4,0,2024-06-14T15:01:49.875Z,english_959.wav,0,1,2328,20,3,Chinese,f,1,0.1,6.44734251,1.96402951
QMH,4,0,2024-06-14T15:01:49.875Z,english_959.wav,0,1,2328,20,3,Chinese,f,2,0.2,20.74966326,0.26247596
QMH,4,0,2024-06-14T15:01:49.875Z,english_959.wav,0,1,2328,20,3,Chinese,f,3,0.3,-29.69680039,1.29464598
QMH,4,0,2024-06-14T15:01:49.875Z,english_959.wav,0,1,2328,20,3,Chinese,f,4,0.32341667,34.2282551,1.77868038
QMH,5,0,2024-06-14T15:01:49.875Z,english_874.wav,0,1,728,20,3,Chinese,f,0,0,32.94582558,0.77720789
QMH,5,0,2024-06-14T15:01:49.875Z,english_874.wav,0,1,728,20,3,Chinese,f,1,0.1,73.76521909,1.44852608
QMH,5,0,2024-06-14T15:01:49.875Z,english_874.wav,0,1,728,20,3,Chinese,f,2,0.2,-83.94992572,1.18086928
QMH,5,0,2024-06-14T15:01:49.875Z,english_874.wav,0,1,728,20,3,Chinese,f,3,0.3,-61.86791133,0.75042975
QMH,5,0,2024-06-14T15:01:49.875Z,english_874.wav,0,1,728,20,3,Chinese,f,4,0.32341667,-94.71312943,1.11461748
QMH,6,0,2024-06-14T15:01:49.875Z,english_576.wav,0,0,1269,20,3,Chinese,f,0,0,70.71636046,1.40655209
QMH,6,0,2024-06-14T15:01:49.875Z,english_576.wav,0,0,1269,20,3,Chinese,f,1,0.1,-53.10414049,0.7609351
QMH,6,0,2024-06-14T15:01:49.875Z,english_576.wav,0,0,1269,20,3,Chinese,f,2,0.2,34.4374047,1.0155723
QMH,6,0,2024-06-14T15:01:49.875Z,english_576.wav,0,0,1269,20,3,Chinese,f,3,0.3,19.64113521,1.45906276
QMH,6,0,2024-06-14T15:01:49.875Z,english_576.wav,0,0,1269,20,3,Chinese,f,4,0.32341667,36.63265498,1.49724695
QMH,7,0,2024-06-14T15:01:49.875Z,english_486.wav,0,0,2352,20,3,Chinese,f,0,0,31.41997184,1.22599644
QMH,7,0,2024-06-14T15:01:49.875Z,english_486.wav,0,0,2352,20,3,Chinese,f,1,0.1,58.03480486,1.4547445
QMH,7,0,2024-06-14T15:01:49.875Z,english_486.wav,0,0,2352,20,3,Chinese,f,2,0.2,-62.84801238,0.27967606
QMH,7,0,2024-06-14T15:01:49.875Z,english_486.wav,0,0,2352,20,3,Chinese,f,3,0.3,10.62451678,0.02065399
QMH,7,0,2024-06-14T15:01:49.875Z,english_486.wav,0,0,2352,20,3,Chinese,f,4,0.32341667,10.31835057,0.3128479
QMH,8,0,2024-06-14T15:01:49.875Z,english_956.wav,0,0,5591,20,3,Chinese,f,0,0,-98.71257913,1.5828524
QMH,8,0,2024-06-14T15:01:49.875Z,english_956.wav,0,0,5591,20,3,Chinese,f,1,0.1,-36.05702295,0.66985857
QMH,8,0,2024-06-14T15:01:49.875Z,english_956.wav,0,0,5591,20,3,Chinese,f,2,0.2,-31.95582623,0.13798036
QMH,8,0,2024-06-14T15:01:49.875Z,english_956.wav,0,0,5591,20,3,Chinese,f,3,0.3,-81.31295359,0.22663358
QMH,8,0,2024-06-14T15:01:49.875Z,english_956.wav,0,0,5591,20,3,Chinese,f,4,0.32341667,45.09425789,0.54862974
QMH,9,0,2024-06-14T15:01:49.875Z,english_507.wav,0,1,1339,20,3,Chinese,f,0,0,-61.1842488,1.97653192
QMH,9,0,2024-06-14T15:01:49.875Z,english_507.wav,0,1,1339,20,3,Chinese,f,1,0.1,-67.40048172,1.52355847
QMH,9,0,2024-06-14T15:01:49.875Z,english_507.wav,0,1,1339,20,3,Chinese,f,2,0.2,12.41471853,0.98006415
QMH,9,0,2024-06-14T15:01:49.875Z,english_507.wav,0,1,1339,20,3,Chinese,f,3,0.3,-23.82579329,0.44372312
QMH,9,0,2024-06-14T15:01:49.875Z,english_507.wav,0,1,1339,20,3,Chinese,f,4,0.32341667,9.53005369,0.65281453
QMH,10,0,2024-06-14T15:01:49.875Z,english_678.wav,0,0,606,20,3,Chinese,f,0,0,87.86222938,1.6760541
QMH,10,0,2024-06-14T15:01:49.875Z,english_678.wav,0,0,606,20,3,Chinese,f,1,0.1,-47.14792626,0.22369522
QMH,10,0,2024-06-14T15:01:49.875Z,english_678.wav,0,0,606,20,3,Chinese,f,2,0.2,-6.84659798,1.1260271
QMH,10,0,2024-06-14T15:01:49.875Z,english_678.wav,0,0,606,20,3,Chinese,f,3,0.3,87.67045201,1.53941447
QMH,10,0,2024-06-14T15:01:49.875Z,english_678.wav,0,0,606,20,3,Chinese,f,4,0.32341667,-51.71213936,1.37136581
QMH,11,0,2024-06-14T15:01:49.875Z,english_779.wav,0,1,984,20,3,Chinese,f,0,0,-66.48303018,1.22216448
QMH,11,0,2024-06-14T15:01:49.875Z,english_779.wav,0,1,984,20,3,Chinese,f,1,0.1,55.33592885,1.30288261
QMH,11,0,2024-06-14T15:01:49.875Z,english_779.wav,0,1,984,20,3,Chinese,f,2,0.2,67.38671669,0.25409759
QMH,11,0,2024-06-14T15:01:49.875Z,english_779.wav,0,1,984,20,3,Chinese,f,3,0.3,65.49052189,1.76174581
QMH,11,0,2024-06-14T15:01:49.875Z,english_779.wav,0,1,984,20,3,Chinese,f,4,0.32341667,-12.12955258,0.12280057
QMH,12,0,2024-06-14T15:01:49.875Z,english_892.wav,0,0,1401,20,3,Chinese,f,0,0,38.63128374,0.97893944
QMH,12,0,2024-06-14T15:01:49.875Z,english_892.wav,0,0,1401,20,3,Chinese,f,1,0.1,22.49899687,0.66551001
QMH,12,0,2024-06-14T15:01:49.875Z,english_892.wav,0,0,1401,20,3,Chinese,f,2,0.2,28.84135264,0.36795179
QMH,12,0,2024-06-14T15:01:49.875Z,english_892.wav,0,0,1401,20,3,Chinese,f,3,0.3,81.19740532,1.0840826
QMH,12,0,2024-06-14T15:01:49.875Z,english_892.wav,0,0,1401,20,3,Chinese,f,4,0.32341667,22.37782167,0.83637256
QMH,13,0,2024-06-14T15:01:49.875Z,english_430.wav,0,0,838,20,3,Chinese,f,0,0,72.23510535,0.8682214
QMH,13,0,2024-06-14T15:01:49.875Z,english_430.wav,0,0,838,20,3,Chinese,f,1,0.1,-9.56156918,0.26781202
QMH,13,0,2024-06-14T15:01:49.875Z,english_430.wav,0,0,838,20,3,Chinese,f,2,0.2,36.71559936,1.38873793
QMH,13,0,2024-06-14T15:01:49.875Z,english_430.wav,0,0,838,20,3,Chinese,f,3,0.3,-33.55254317,0.29076709
QMH,13,0,2024-06-14T15:01:49.875Z,english_430.wav,0,0,838,20,3,Chinese,f,4,0.32341667,-25.71861109,0.30869259
QMH,14,0,2024-06-14T15:01:49.875Z,english_412.wav,0,0,1089,20,3,Chinese,f,0,0,-82.38375592,0.41347899
QMH,14,0,2024-06-14T15:01:49.875Z,english_412.wav,0,0,1089,20,3,Chinese,f,1,0.1,-35.89348303,0.05505218
QMH,14,0,2024-06-14T15:01:49.875Z,english_412.wav,0,0,1089,20,3,Chinese,f,2,0.2,-78.50422887,1.28972039
QMH,14,0,2024-06-14T15:01:49.875Z,english_412.wav,0,0,1089,20,3,Chinese,f,3,0.3,8.19618882,0.97331843
QMH,14,0,2024-06-14T15:01:49.875Z,english_412.wav,0,0,1089,20,3,Chinese,f,4,0.32341667,88.30694734,0.22558246
QMH,15,0,2024-06-14T15:01:49.875Z,english_895.wav,0,0,2880,20,3,Chinese,f,0,0,-36.05432491,1.57991636
QMH,15,0,2024-06-14T15:01:49.875Z,english_895.wav,0,0,2880,20,3,Chinese,f,1,0.1,0.27991529,1.29141926
QMH,15,0,2024-06-14T15:01:49.875Z,english_895.wav,0,0,2880,20,3,Chinese,f,2,0.2,-68.50060493,0.78617821
QMH,15,0,2024-06-14T15:01:49.875Z,english_895.wav,0,0,2880,20,3,Chinese,f,3,0.3,-65.34452755,0.53071912
QMH,15,0,2024-06-14T15:01:49.875Z,english_895.wav,0,0,2880,20,3,Chinese,f,4,0.32341667,44.30205494,1.44568828
QMH,16,0,2024-06-14T15:01:49.875Z,english_301.wav,0,1,993,20,3,Chinese,f,0,0,-78.18927369,1.31935747
QMH,16,0,2024-06-14T15:01:49.875Z,english_301.wav,0,1,993,20,3,Chinese,f,1,0.1,-3.52439177,1.41636911
QMH,16,0,2024-06-14T15:01:49.875Z,english_301.wav,0,1,993,20,3,Chinese,f,2,0.2,-23.22473782,1.38842862
QMH,16,0,2024-06-14T15:01:49.875Z,english_301.wav,0,1,993,20,3,Chinese,f,3,0.3,-11.7220967,1.25169603
QMH,16,0,2024-06-14T15:01:49.875Z,english_301.wav,0,1,993,20,3,Chinese,f,4,0.32341667,-5.78047748,1.38740104
QMH,17,0,2024-06-14T15:01:49.875Z,english_389.wav,0,1,611,20,3,Chinese,f,0,0,36.16487693,1.25286497
QMH,17,0,2024-06-14T15:01:49.875Z,english_389.wav,0,1,611,20,3,Chinese,f,1,0.1,-97.36259769,1.31396789
QMH,17,0,2024-06-14T15:01:49.875Z,english_389.wav,0,1,611,20,3,Chinese,f,2,0.2,24.50411951,1.84060757
QMH,17,0,2024-06-14T15:01:49.875Z,english_389.wav,0,1,611,20,3,Chinese,f,3,0.3,43.1395046,0.64046023
QMH,17,0,2024-06-14T15:01:49.875Z,english_389.wav,0,1,611,20,3,Chinese,f,4,0.32341667,85.14605982,1.47992762
QMH,18,0,2024-06-14T15:01:49.875Z,english_251.wav,0,1,567,20,3,Chinese,f,0,0,-35.26640223,1.59441442
QMH,18,0,2024-06-14T15:01:49.875Z,english_251.wav,0,1,567,20,3,Chinese,f,1,0.1,-82.14936791,1.21410308
QMH,18,0,2024-06-14T15:01:49.875Z,english_251.wav,0,1,567,20,3,Chinese,f,2,0.2,39.53587687,0.89125894
QMH,18,0,2024-06-14T15:01:49.875Z,english_251.wav,0,1,567,20,3,Chinese,f,3,0.3,-75.44024907,0.14763688
QMH,18,0,2024-06-14T15:01:49.875Z,english_251.wav,0,1,567,20,3,Chinese,f,4,0.32341667,26.94148116,1.71797298
QMH,19,0,2024-06-14T15:01:49.875Z,english_157.wav,0,1,405,20,3,Chinese,f,0,0,-74.01864956,1.10168906
QMH,19,0,2024-06-14T15:01:49.875Z,english_157.wav,0,1,405,20,3,Chinese,f,1,0.1,1.44529667,1.71225259
QMH,19,0,2024-06-14T15:01:49.875Z,english_157.wav,0,1,405,20,3,Chinese,f,2,0.2,-42.76251303,1.71884561
QMH,19,0,2024-06-14T15:01:49.875Z,english_157.wav,0,1,405,20,3,Chinese,f,3,0.3,-49.01483239,1.47822148
QMH,19,0,2024-06-14T15:01:49.875Z,english_157.wav,0,1,405,20,3,Chinese,f,4,0.32341667,-96.85595697,1.36273156
QMH,20,0,2024-06-14T15:01:49.875Z,english_503.wav,0,1,1125,20,3,Chinese,f,0,0,-62.81458057,1.15988152
QMH,20,0,2024-06-14T15:01:49.875Z,english_503.wav,0,1,1125,20,3,Chinese,f,1,0.1,17.97702429,0.58853345
QMH,20,0,2024-06-14T15:01:49.875Z,english_503.wav,0,1,1125,20,3,Chinese,f,2,0.2,-8.2980926,1.29983279
QMH,20,0,2024-06-14T15:01:49.875Z,english_503.wav,0,1,1125,20,3,Chinese,f,3,0.3,-62.4217389,1.42406205
QMH,20,0,2024-06-14T15:01:49.875Z,english_503.wav,0,1,1125,20,3,Chinese,f,4,0.32341667,18.11027086,0.84018378
QMH,21,0,2024-06-14T15:01:49.875Z,english_191.wav,0,0,909,20,3,Chinese,f,0,0,5.22709543,0.24693927
QMH,21,0,2024-06-14T15:01:49.875Z,english_191.wav,0,0,909,20,3,Chinese,f,1,0.1,-51.29785688,1.61528443
QMH,21,0,2024-06-14T15:01:49.875Z,english_191.wav,0,0,909,20,3,Chinese,f,2,0.2,14.39503603,0.10158113
QMH,21,0,2024-06-14T15:01:49.875Z,english_191.wav,0,0,909,20,3,Chinese,f,3,0.3,60.50312404,1.02883866
QMH,21,0,2024-06-14T15:01:49.875Z,english_191.wav,0,0,909,20,3,Chinese,f,4,0.32341667,68.15927452,0.69870432
QMH,22,0,2024-06-14T15:01:49.875Z,english_207.wav,0,1,4293,20,3,Chinese,f,0,0,-64.55688296,1.06406661
QMH,22,0,2024-06-14T15:01:49.875Z,english_207.wav,0,1,4293,20,3,Chinese,f,1,0.1,98.33987034,1.58122859
QMH,22,0,2024-06-14T15:01:49.875Z,english_207.wav,0,1,4293,20,3,Chinese,f,2,0.2,-40.48281934,1.31381917
QMH,22,0,2024-06-14T15:01:49.875Z,english_207.wav,0,1,4293,20,3,Chinese,f,3,0.3,-36.48143513,0.83233835
QMH,22,0,2024-06-14T15:01:49.875Z,english_207.wav,0,1,4293,20,3,Chinese,f,4,0.32341667,-87.11188062,0.12663517
QMH,23,0,2024-06-14T15:01:49.875Z,english_345.wav,0,1,865,20,3,Chinese,f,0,0,-46.00579497,1.58751342
QMH,23,0,2024-06-14T15:01:49.875Z,english_345.wav,0,1,865,20,3,Chinese,f,1,0.1,-45.5805492,1.0202646
QMH,23,0,2024-06-14T15:01:49.875Z,english_345.wav,0,1,865,20,3,Chinese,f,2,0.2,-14.04378539,0.61561299
QMH,23,0,2024-06-14T15:01:49.875Z,english_345.wav,0,1,865,20,3,Chinese,f,3,0.3,63.72413351,1.21547564
QMH,23,0,2024-06-14T15:01:49.875Z,english_345.wav,0,1,865,20,3,Chinese,f,4,0.32341667,18.03717792,1.47127253
QMH,24,0,2024-06-14T15:01:49.875Z,english_407.wav,0,0,470,20,3,Chinese,f,0,0,-13.68776922,0.77658743
QMH,24,0,2024-06-14T15:01:49.875Z,english_407.wav,0,0,470,20,3,Chinese,f,1,0.1,-57.11899702,1.53398674
QMH,24,0,2024-06-14T15:01:49.875Z,english_407.wav,0,0,470,20,3,Chinese,f,2,0.2,62.94325807,0.70379875
