subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
TYT,0,0,2024-06-13T14:39:10.702Z,english_889.wav,0,0,1480,,,,,0,0,-92.0683747,0.69619005
TYT,0,0,2024-06-13T14:39:10.702Z,english_889.wav,0,0,1480,,,,,1,0.1,92.92883541,1.46059979
TYT,0,0,2024-06-13T14:39:10.702Z,english_889.wav,0,0,1480,,,,,2,0.2,-38.78028918,1.13034103
TYT,0,0,2024-06-13T14:39:10.702Z,english_889.wav,0,0,1480,,,,,3,0.3,33.48812202,1.0639125
TYT,0,0,2024-06-13T14:39:10.702Z,english_889.wav,0,0,1480,,,,,4,0.32341667,68.79643169,0.42066581
TYT,1,0,2024-06-13T14:39:10.702Z,english_887.wav,0,0,1465,,,,,0,0,21.36154006,0.58574694
TYT,1,0,2024-06-13T14:39:10.702Z,english_887.wav,0,0,1465,,,,,1,0.1,-21.46213737,0.48413962
TYT,1,0,2024-06-13T14:39:10.702Z,english_887.wav,0,0,1465,,,,,2,0.2,-45.53850124,1.16923549
TYT,1,0,2024-06-13T14:39:10.702Z,english_887.wav,0,0,1465,,,,,3,0.3,-75.36110743,1.46190157
TYT,1,0,2024-06-13T14:39:10.702Z,english_887.wav,0,0,1465,,,,,4,0.32341667,-96.67184991,0.00789239
TYT,2,0,2024-06-13T14:39:10.702Z,english_986.wav,0,0,976,,,,,0,0,36.93997263,1.7539978
TYT,2,0,2024-06-13T14:39:10.702Z,english_986.wav,0,0,976,,,,,1,0.1,-76.80061303,1.40735445
TYT,2,0,2024-06-13T14:39:10.702Z,english_986.wav,0,0,976,,,,,2,0.2,60.8418497,0.62226098
TYT,2,0,2024-06-13T14:39:10.702Z,english_986.wav,0,0,976,,,,,3,0.3,-27.90828951,0.48175931
TYT,2,0,2024-06-13T14:39:10.702Z,english_986.wav,0,0,976,,,,,4,0.32341667,99.51838141,1.5918282
TYT,3,0,2024-06-13T14:39:10.702Z,english_948.wav,0,0,639,,,,,0,0,12.28616187,1.33435242
TYT,3,0,2024-06-13T14:39:10.702Z,english_948.wav,0,0,639,,,,,1,0.1,33.44634687,1.33862855
TYT,3,0,2024-06-13T14:39:10.702Z,english_948.wav,0,0,639,,,,,2,0.2,98.80566767,1.25876505
TYT,3,0,2024-06-13T14:39:10.702Z,english_948.wav,0,0,639,,,,,3,0.3,-93.57044844,1.87938727
TYT,3,0,2024-06-13T14:39:10.702Z,english_948.wav,0,0,639,,,,,4,0.32341667,-51.09398555,1.88731406
TYT,4,0,2024-06-13T14:39:10.702Z,english_24.wav,0,0,695,,,,,0,0,83.82729659,0.31203725
TYT,4,0,2024-06-13T14:39:10.702Z,english_24.wav,0,0,695,,,,,1,0.1,-2.54724082,1.56948954
TYT,4,0,2024-06-13T14:39:10.702Z,english_24.wav,0,0,695,,,,,2,0.2,88.70909739,0.87333864
TYT,4,0,2024-06-13T14:39:10.702Z,english_24.wav,0,0,695,,,,,3,0.3,48.93770926,0.88535019
TYT,4,0,2024-06-13T14:39:10.702Z,english_24.wav,0,0,695,,,,,4,0.32341667,53.25190048,0.66112496
TYT,5,0,2024-06-13T14:39:10.702Z,english_544.wav,0,0,892,,,,,0,0,96.80704334,1.85115917
TYT,5,0,2024-06-13T14:39:10.702Z,english_544.wav,0,0,892,,,,,1,0.1,70.5198752,0.8718407
TYT,5,0,2024-06-13T14:39:10.702Z,english_544.wav,0,0,892,,,,,2,0.2,78.21609099,1.82238935
TYT,5,0,2024-06-13T14:39:10.702Z,english_544.wav,0,0,892,,,,,3,0.3,-95.7752672,0.25719172
TYT,5,0,2024-06-13T14:39:10.702Z,english_544.wav,0,0,892,,,,,4,0.32341667,-56.58918052,0.72929157
TYT,6,0,2024-06-13T14:39:10.702Z,english_640.wav,0,1,522,,,,,0,0,74.95875769,1.81273707
TYT,6,0,2024-06-13T14:39:10.702Z,english_640.wav,0,1,522,,,,,1,0.1,87.73764633,1.50076703
TYT,6,0,2024-06-13T14:39:10.702Z,english_640.wav,0,1,522,,,,,2,0.2,-71.36544648,0.25286143
TYT,6,0,2024-06-13T14:39:10.702Z,english_640.wav,0,1,522,,,,,3,0.3,11.07583082,0.53181051
TYT,6,0,2024-06-13T14:39:10.702Z,english_640.wav,0,1,522,,,,,4,0.32341667,18.32643638,0.76351343
TYT,7,0,2024-06-13T14:39:10.702Z,english_418.wav,0,0,1992,,,,,0,0,-7.92859899,0.20369216
TYT,7,0,2024-06-13T14:39:10.702Z,english_418.wav,0,0,1992,,,,,1,0.1,10.19863107,0.15242613
TYT,7,0,2024-06-13T14:39:10.702Z,english_418.wav,0,0,1992,,,,,2,0.2,-44.82770696,0.77695319
TYT,7,0,2024-06-13T14:39:10.702Z,english_418.wav,0,0,1992,,,,,3,0.3,-80.4141896,0.71786342
TYT,7,0,2024-06-13T14:39:10.702Z,english_418.wav,0,0,1992,,,,,4,0.32341667,32.43674468,1.20494416
TYT,8,0,2024-06-13T14:39:10.702Z,english_576.wav,0,1,1155,,,,,0,0,70.71636046,1.40655209
TYT,8,0,2024-06-13T14:39:10.702Z,english_576.wav,0,1,1155,,,,,1,0.1,-53.10414049,0.7609351
TYT,8,0,2024-06-13T14:39:10.702Z,english_576.wav,0,1,1155,,,,,2,0.2,34.4374047,1.0155723
TYT,8,0,2024-06-13T14:39:10.702Z,english_576.wav,0,1,1155,,,,,3,0.3,19.64113521,1.45906276
TYT,8,0,2024-06-13T14:39:10.702Z,english_576.wav,0,1,1155,,,,,4,0.32341667,36.63265498,1.49724695
TYT,9,0,2024-06-13T14:39:10.702Z,english_612.wav,0,0,1490,,,,,0,0,-84.32217164,1.34068621
TYT,9,0,2024-06-13T14:39:10.702Z,english_612.wav,0,0,1490,,,,,1,0.1,36.55311424,0.03443149
TYT,9,0,2024-06-13T14:39:10.702Z,english_612.wav,0,0,1490,,,,,2,0.2,92.38334081,0.45903509
TYT,9,0,2024-06-13T14:39:10.702Z,english_612.wav,0,0,1490,,,,,3,0.3,11.68953794,0.60209198
TYT,9,0,2024-06-13T14:39:10.702Z,english_612.wav,0,0,1490,,,,,4,0.32341667,43.3279226,0.29533154
TYT,10,0,2024-06-13T14:39:10.702Z,english_166.wav,0,1,1080,,,,,0,0,37.27670025,1.42766663
TYT,10,0,2024-06-13T14:39:10.702Z,english_166.wav,0,1,1080,,,,,1,0.1,34.38847046,0.72731767
