subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
WH,0,0,2024-06-14T05:29:55.141Z,english_887.wav,0,0,3029,,,,,0,0,21.36154006,0.58574694
WH,0,0,2024-06-14T05:29:55.141Z,english_887.wav,0,0,3029,,,,,1,0.1,-21.46213737,0.48413962
WH,0,0,2024-06-14T05:29:55.141Z,english_887.wav,0,0,3029,,,,,2,0.2,-45.53850124,1.16923549
WH,0,0,2024-06-14T05:29:55.141Z,english_887.wav,0,0,3029,,,,,3,0.3,-75.36110743,1.46190157
WH,0,0,2024-06-14T05:29:55.141Z,english_887.wav,0,0,3029,,,,,4,0.32341667,-96.67184991,0.00789239
WH,1,0,2024-06-14T05:29:55.141Z,english_548.wav,0,1,1703,,,,,0,0,19.39315344,0.41811488
WH,1,0,2024-06-14T05:29:55.141Z,english_548.wav,0,1,1703,,,,,1,0.1,82.09582914,1.70384437
WH,1,0,2024-06-14T05:29:55.141Z,english_548.wav,0,1,1703,,,,,2,0.2,-65.55781301,1.82142436
WH,1,0,2024-06-14T05:29:55.141Z,english_548.wav,0,1,1703,,,,,3,0.3,-5.02691035,1.13784798
WH,1,0,2024-06-14T05:29:55.141Z,english_548.wav,0,1,1703,,,,,4,0.32341667,62.63141303,1.73168063
WH,2,0,2024-06-14T05:29:55.141Z,english_483.wav,0,1,649,,,,,0,0,-5.76716701,0.46419013
WH,2,0,2024-06-14T05:29:55.141Z,english_483.wav,0,1,649,,,,,1,0.1,70.49761143,1.51640771
WH,2,0,2024-06-14T05:29:55.141Z,english_483.wav,0,1,649,,,,,2,0.2,-45.60331281,0.16811565
WH,2,0,2024-06-14T05:29:55.141Z,english_483.wav,0,1,649,,,,,3,0.3,83.6717315,0.53401791
WH,2,0,2024-06-14T05:29:55.141Z,english_483.wav,0,1,649,,,,,4,0.32341667,-49.24362833,1.0404632
WH,3,0,2024-06-14T05:29:55.141Z,english_580.wav,0,1,683,,,,,0,0,92.13406767,1.93694744
WH,3,0,2024-06-14T05:29:55.141Z,english_580.wav,0,1,683,,,,,1,0.1,-85.58685866,0.28773753
WH,3,0,2024-06-14T05:29:55.141Z,english_580.wav,0,1,683,,,,,2,0.2,57.10945482,0.86433335
WH,3,0,2024-06-14T05:29:55.141Z,english_580.wav,0,1,683,,,,,3,0.3,32.92004132,0.96651265
WH,3,0,2024-06-14T05:29:55.141Z,english_580.wav,0,1,683,,,,,4,0.32341667,52.08708517,1.25003658
WH,4,0,2024-06-14T05:29:55.141Z,english_676.wav,0,1,769,,,,,0,0,3.93099148,1.7716209
WH,4,0,2024-06-14T05:29:55.141Z,english_676.wav,0,1,769,,,,,1,0.1,73.76311644,1.97281878
WH,4,0,2024-06-14T05:29:55.141Z,english_676.wav,0,1,769,,,,,2,0.2,-26.92634129,1.42487848
WH,4,0,2024-06-14T05:29:55.141Z,english_676.wav,0,1,769,,,,,3,0.3,51.70874443,1.45099775
WH,4,0,2024-06-14T05:29:55.141Z,english_676.wav,0,1,769,,,,,4,0.32341667,-48.7675791,1.84822532
WH,5,0,2024-06-14T05:29:55.141Z,english_694.wav,0,0,1414,,,,,0,0,-79.88370205,0.99496101
WH,5,0,2024-06-14T05:29:55.141Z,english_694.wav,0,0,1414,,,,,1,0.1,-58.02841319,0.06406007
WH,5,0,2024-06-14T05:29:55.141Z,english_694.wav,0,0,1414,,,,,2,0.2,-50.54988317,0.5055253
WH,5,0,2024-06-14T05:29:55.141Z,english_694.wav,0,0,1414,,,,,3,0.3,-20.79864769,0.19498426
WH,5,0,2024-06-14T05:29:55.141Z,english_694.wav,0,0,1414,,,,,4,0.32341667,-73.64916114,0.36410653
WH,6,0,2024-06-14T05:29:55.141Z,english_403.wav,0,0,833,,,,,0,0,-92.65414009,1.93574734
WH,6,0,2024-06-14T05:29:55.141Z,english_403.wav,0,0,833,,,,,1,0.1,75.99659731,0.36447309
WH,6,0,2024-06-14T05:29:55.141Z,english_403.wav,0,0,833,,,,,2,0.2,-27.37801557,1.02888701
WH,6,0,2024-06-14T05:29:55.141Z,english_403.wav,0,0,833,,,,,3,0.3,-80.04540334,0.02385722
WH,6,0,2024-06-14T05:29:55.141Z,english_403.wav,0,0,833,,,,,4,0.32341667,30.50648557,1.40553938
WH,7,0,2024-06-14T05:29:55.141Z,english_347.wav,0,0,668,,,,,0,0,34.89178431,1.32203506
WH,7,0,2024-06-14T05:29:55.141Z,english_347.wav,0,0,668,,,,,1,0.1,53.24978685,0.28714436
WH,7,0,2024-06-14T05:29:55.141Z,english_347.wav,0,0,668,,,,,2,0.2,4.11185022,1.66093526
WH,7,0,2024-06-14T05:29:55.141Z,english_347.wav,0,0,668,,,,,3,0.3,89.26663646,1.29826057
WH,7,0,2024-06-14T05:29:55.141Z,english_347.wav,0,0,668,,,,,4,0.32341667,-53.02646266,0.05504814
WH,8,0,2024-06-14T05:29:55.141Z,english_199.wav,0,0,740,,,,,0,0,-24.89956817,0.07306367
WH,8,0,2024-06-14T05:29:55.141Z,english_199.wav,0,0,740,,,,,1,0.1,-48.49200931,0.10334581
WH,8,0,2024-06-14T05:29:55.141Z,english_199.wav,0,0,740,,,,,2,0.2,-89.66548778,1.49062114
WH,8,0,2024-06-14T05:29:55.141Z,english_199.wav,0,0,740,,,,,3,0.3,29.20785813,0.36717513
WH,8,0,2024-06-14T05:29:55.141Z,english_199.wav,0,0,740,,,,,4,0.32341667,-88.68286362,1.33179809
WH,9,0,2024-06-14T05:29:55.141Z,english_805.wav,0,1,665,,,,,0,0,-11.97504695,0.06029378
WH,9,0,2024-06-14T05:29:55.141Z,english_805.wav,0,1,665,,,,,1,0.1,96.82911573,0.81391401
WH,9,0,2024-06-14T05:29:55.141Z,english_805.wav,0,1,665,,,,,2,0.2,7.51835152,1.33531055
WH,9,0,2024-06-14T05:29:55.141Z,english_805.wav,0,1,665,,,,,3,0.3,2.47378187,1.7608484
WH,9,0,2024-06-14T05:29:55.141Z,english_805.wav,0,1,665,,,,,4,0.32341667,-43.26336213,1.4289718
WH,10,0,2024-06-14T05:29:55.141Z,english_508.wav,0,1,1470,,,,,0,0,-21.23116318,1.79614382
WH,10,0,2024-06-14T05:29:55.141Z,english_508.wav,0,1,1470,,,,,1,0.1,-27.56583205,0.60449395
WH,10,0,2024-06-14T05:29:55.141Z,english_508.wav,0,1,1470,,,,,2,0.2,64.21774851,0.56582153
WH,10,0,2024-06-14T05:29:55.141Z,english_508.wav,0,1,1470,,,,,3,0.3,-9.24056951,1.01665474
WH,10,0,2024-06-14T05:29:55.141Z,english_508.wav,0,1,1470,,,,,4,0.32341667,-9.74670904,0.78905044
