subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
WWH,0,0,2024-06-13T06:29:48.500Z,english_511.wav,0,0,6814,21,2,Chinese,f,0,0,-54.05076571,1.68448531
WWH,0,0,2024-06-13T06:29:48.500Z,english_511.wav,0,0,6814,21,2,Chinese,f,1,0.1,58.21305336,0.64957271
WWH,0,0,2024-06-13T06:29:48.500Z,english_511.wav,0,0,6814,21,2,Chinese,f,2,0.2,93.28984864,1.47534814
WWH,0,0,2024-06-13T06:29:48.500Z,english_511.wav,0,0,6814,21,2,Chinese,f,3,0.3,-93.08437199,1.38615571
WWH,0,0,2024-06-13T06:29:48.500Z,english_511.wav,0,0,6814,21,2,Chinese,f,4,0.32341667,48.49476441,0.71972648
WWH,1,0,2024-06-13T06:29:48.500Z,english_875.wav,0,0,5607,21,2,Chinese,f,0,0,-72.29566874,0.47412948
WWH,1,0,2024-06-13T06:29:48.500Z,english_875.wav,0,0,5607,21,2,Chinese,f,1,0.1,40.49821439,0.97105678
WWH,1,0,2024-06-13T06:29:48.500Z,english_875.wav,0,0,5607,21,2,Chinese,f,2,0.2,61.66936014,1.31175081
WWH,1,0,2024-06-13T06:29:48.500Z,english_875.wav,0,0,5607,21,2,Chinese,f,3,0.3,36.92950197,0.55015514
WWH,1,0,2024-06-13T06:29:48.500Z,english_875.wav,0,0,5607,21,2,Chinese,f,4,0.32341667,61.03530789,1.23529794
WWH,2,0,2024-06-13T06:29:48.500Z,english_562.wav,0,0,4565,21,2,Chinese,f,0,0,-40.22672309,0.64031882
WWH,2,0,2024-06-13T06:29:48.500Z,english_562.wav,0,0,4565,21,2,Chinese,f,1,0.1,77.961849,0.7637006
WWH,2,0,2024-06-13T06:29:48.500Z,english_562.wav,0,0,4565,21,2,Chinese,f,2,0.2,25.52463525,0.87632482
WWH,2,0,2024-06-13T06:29:48.500Z,english_562.wav,0,0,4565,21,2,Chinese,f,3,0.3,84.62788358,0.98972612
WWH,2,0,2024-06-13T06:29:48.500Z,english_562.wav,0,0,4565,21,2,Chinese,f,4,0.32341667,-53.67427145,0.74010285
WWH,3,0,2024-06-13T06:29:48.500Z,english_317.wav,0,1,1989,21,2,Chinese,f,0,0,-26.75650792,1.75672771
WWH,3,0,2024-06-13T06:29:48.500Z,english_317.wav,0,1,1989,21,2,Chinese,f,1,0.1,9.07297032,1.82949168
WWH,3,0,2024-06-13T06:29:48.500Z,english_317.wav,0,1,1989,21,2,Chinese,f,2,0.2,17.58512652,1.6954519
WWH,3,0,2024-06-13T06:29:48.500Z,english_317.wav,0,1,1989,21,2,Chinese,f,3,0.3,29.57201507,0.7122411
WWH,3,0,2024-06-13T06:29:48.500Z,english_317.wav,0,1,1989,21,2,Chinese,f,4,0.32341667,56.4667582,1.26753728
WWH,4,0,2024-06-13T06:29:48.500Z,english_255.wav,0,0,5703,21,2,Chinese,f,0,0,-42.74550593,1.65518669
WWH,4,0,2024-06-13T06:29:48.500Z,english_255.wav,0,0,5703,21,2,Chinese,f,1,0.1,35.44578771,1.85823386
WWH,4,0,2024-06-13T06:29:48.500Z,english_255.wav,0,0,5703,21,2,Chinese,f,2,0.2,98.7346041,1.2123315
WWH,4,0,2024-06-13T06:29:48.500Z,english_255.wav,0,0,5703,21,2,Chinese,f,3,0.3,14.08839822,0.62099519
WWH,4,0,2024-06-13T06:29:48.500Z,english_255.wav,0,0,5703,21,2,Chinese,f,4,0.32341667,-55.38739786,1.08486436
WWH,5,0,2024-06-13T06:29:48.500Z,english_415.wav,0,0,5536,21,2,Chinese,f,0,0,36.00223879,1.49199547
WWH,5,0,2024-06-13T06:29:48.500Z,english_415.wav,0,0,5536,21,2,Chinese,f,1,0.1,-82.63332374,1.79959711
WWH,5,0,2024-06-13T06:29:48.500Z,english_415.wav,0,0,5536,21,2,Chinese,f,2,0.2,57.55038703,0.64689267
WWH,5,0,2024-06-13T06:29:48.500Z,english_415.wav,0,0,5536,21,2,Chinese,f,3,0.3,-9.83064734,0.31881377
WWH,5,0,2024-06-13T06:29:48.500Z,english_415.wav,0,0,5536,21,2,Chinese,f,4,0.32341667,-29.78573939,0.18568486
WWH,6,0,2024-06-13T06:29:48.500Z,english_564.wav,0,1,2952,21,2,Chinese,f,0,0,-4.16228192,1.35245187
WWH,6,0,2024-06-13T06:29:48.500Z,english_564.wav,0,1,2952,21,2,Chinese,f,1,0.1,-8.38376801,0.24798142
WWH,6,0,2024-06-13T06:29:48.500Z,english_564.wav,0,1,2952,21,2,Chinese,f,2,0.2,52.82752554,1.26376743
WWH,6,0,2024-06-13T06:29:48.500Z,english_564.wav,0,1,2952,21,2,Chinese,f,3,0.3,-92.64870354,0.73548171
WWH,6,0,2024-06-13T06:29:48.500Z,english_564.wav,0,1,2952,21,2,Chinese,f,4,0.32341667,-48.86146536,0.1394123
WWH,7,0,2024-06-13T06:29:48.500Z,english_804.wav,0,0,16536,21,2,Chinese,f,0,0,11.23319328,0.16159815
WWH,7,0,2024-06-13T06:29:48.500Z,english_804.wav,0,0,16536,21,2,Chinese,f,1,0.1,-75.15189859,1.76023076
WWH,7,0,2024-06-13T06:29:48.500Z,english_804.wav,0,0,16536,21,2,Chinese,f,2,0.2,5.39397939,0.7355024
WWH,7,0,2024-06-13T06:29:48.500Z,english_804.wav,0,0,16536,21,2,Chinese,f,3,0.3,42.92141331,1.74636497
WWH,7,0,2024-06-13T06:29:48.500Z,english_804.wav,0,0,16536,21,2,Chinese,f,4,0.32341667,-79.84726866,1.05562007
WWH,8,0,2024-06-13T06:29:48.500Z,english_559.wav,0,1,5861,21,2,Chinese,f,0,0,72.91796617,0.28347303
WWH,8,0,2024-06-13T06:29:48.500Z,english_559.wav,0,1,5861,21,2,Chinese,f,1,0.1,49.0763932,0.33705515
WWH,8,0,2024-06-13T06:29:48.500Z,english_559.wav,0,1,5861,21,2,Chinese,f,2,0.2,37.36372944,1.25665906
WWH,8,0,2024-06-13T06:29:48.500Z,english_559.wav,0,1,5861,21,2,Chinese,f,3,0.3,62.8744144,0.42135622
WWH,8,0,2024-06-13T06:29:48.500Z,english_559.wav,0,1,5861,21,2,Chinese,f,4,0.32341667,-70.24316133,0.44445559
WWH,9,0,2024-06-13T06:29:48.500Z,english_902.wav,0,0,4238,21,2,Chinese,f,0,0,-4.27617126,0.16330526
WWH,9,0,2024-06-13T06:29:48.500Z,english_902.wav,0,0,4238,21,2,Chinese,f,1,0.1,-5.01127315,0.62492789
WWH,9,0,2024-06-13T06:29:48.500Z,english_902.wav,0,0,4238,21,2,Chinese,f,2,0.2,83.22080084,1.08638924
WWH,9,0,2024-06-13T06:29:48.500Z,english_902.wav,0,0,4238,21,2,Chinese,f,3,0.3,77.56473772,1.61764227
WWH,9,0,2024-06-13T06:29:48.500Z,english_902.wav,0,0,4238,21,2,Chinese,f,4,0.32341667,-13.02741535,1.72075309
WWH,10,0,2024-06-13T06:29:48.500Z,english_867.wav,0,1,3919,21,2,Chinese,f,0,0,9.0283109,0.25019481
WWH,10,0,2024-06-13T06:29:48.500Z,english_867.wav,0,1,3919,21,2,Chinese,f,1,0.1,6.96107974,0.62311927
WWH,10,0,2024-06-13T06:29:48.500Z,english_867.wav,0,1,3919,21,2,Chinese,f,2,0.2,14.88339172,1.78918939
WWH,10,0,2024-06-13T06:29:48.500Z,english_867.wav,0,1,3919,21,2,Chinese,f,3,0.3,-2.73093064,1.34945049
WWH,10,0,2024-06-13T06:29:48.500Z,english_867.wav,0,1,3919,21,2,Chinese,f,4,0.32341667,-85.27526638,0.75720604
WWH,11,0,2024-06-13T06:29:48.500Z,english_27.wav,0,1,4924,21,2,Chinese,f,0,0,-6.18374659,1.89085405
WWH,11,0,2024-06-13T06:29:48.500Z,english_27.wav,0,1,4924,21,2,Chinese,f,1,0.1,32.21095844,0.80138328
WWH,11,0,2024-06-13T06:29:48.500Z,english_27.wav,0,1,4924,21,2,Chinese,f,2,0.2,21.02729748,1.01248602
WWH,11,0,2024-06-13T06:29:48.500Z,english_27.wav,0,1,4924,21,2,Chinese,f,3,0.3,4.79829383,1.67412938
WWH,11,0,2024-06-13T06:29:48.500Z,english_27.wav,0,1,4924,21,2,Chinese,f,4,0.32341667,-70.7577659,0.3387802
WWH,12,0,2024-06-13T06:29:48.500Z,english_99.wav,0,0,2036,21,2,Chinese,f,0,0,9.75149611,0.79411887
WWH,12,0,2024-06-13T06:29:48.500Z,english_99.wav,0,0,2036,21,2,Chinese,f,1,0.1,-7.37998228,0.53064308
WWH,12,0,2024-06-13T06:29:48.500Z,english_99.wav,0,0,2036,21,2,Chinese,f,2,0.2,29.15889261,0.10254027
WWH,12,0,2024-06-13T06:29:48.500Z,english_99.wav,0,0,2036,21,2,Chinese,f,3,0.3,-23.23230809,0.53999741
WWH,12,0,2024-06-13T06:29:48.500Z,english_99.wav,0,0,2036,21,2,Chinese,f,4,0.32341667,51.25937721,0.74302856
WWH,13,0,2024-06-13T06:29:48.500Z,english_300.wav,0,1,3955,21,2,Chinese,f,0,0,-57.32903368,1.31106943
WWH,13,0,2024-06-13T06:29:48.500Z,english_300.wav,0,1,3955,21,2,Chinese,f,1,0.1,-14.80176218,1.36432179
WWH,13,0,2024-06-13T06:29:48.500Z,english_300.wav,0,1,3955,21,2,Chinese,f,2,0.2,17.32090115,1.9756976
WWH,13,0,2024-06-13T06:29:48.500Z,english_300.wav,0,1,3955,21,2,Chinese,f,3,0.3,9.38584248,1.38621255
WWH,13,0,2024-06-13T06:29:48.500Z,english_300.wav,0,1,3955,21,2,Chinese,f,4,0.32341667,-54.58865419,1.60203422
WWH,14,0,2024-06-13T06:29:48.500Z,english_668.wav,0,1,6463,21,2,Chinese,f,0,0,48.8265236,0.43768829
WWH,14,0,2024-06-13T06:29:48.500Z,english_668.wav,0,1,6463,21,2,Chinese,f,1,0.1,97.68090991,0.31983773
WWH,14,0,2024-06-13T06:29:48.500Z,english_668.wav,0,1,6463,21,2,Chinese,f,2,0.2,47.50182685,1.24438546
WWH,14,0,2024-06-13T06:29:48.500Z,english_668.wav,0,1,6463,21,2,Chinese,f,3,0.3,81.7432518,0.49120307
WWH,14,0,2024-06-13T06:29:48.500Z,english_668.wav,0,1,6463,21,2,Chinese,f,4,0.32341667,28.08178094,0.60639718
WWH,15,0,2024-06-13T06:29:48.500Z,english_809.wav,0,1,1432,21,2,Chinese,f,0,0,-9.08149959,0.73203403
WWH,15,0,2024-06-13T06:29:48.500Z,english_809.wav,0,1,1432,21,2,Chinese,f,1,0.1,12.16544582,0.53159531
WWH,15,0,2024-06-13T06:29:48.500Z,english_809.wav,0,1,1432,21,2,Chinese,f,2,0.2,40.52205867,1.48114639
WWH,15,0,2024-06-13T06:29:48.500Z,english_809.wav,0,1,1432,21,2,Chinese,f,3,0.3,-94.19679153,1.77078339
WWH,15,0,2024-06-13T06:29:48.500Z,english_809.wav,0,1,1432,21,2,Chinese,f,4,0.32341667,-5.82752377,1.36117577
WWH,16,0,2024-06-13T06:29:48.500Z,english_232.wav,0,0,1357,21,2,Chinese,f,0,0,15.13134779,0.53160298
WWH,16,0,2024-06-13T06:29:48.500Z,english_232.wav,0,0,1357,21,2,Chinese,f,1,0.1,-49.29605083,0.4519978
WWH,16,0,2024-06-13T06:29:48.500Z,english_232.wav,0,0,1357,21,2,Chinese,f,2,0.2,59.10606455,0.39260156
WWH,16,0,2024-06-13T06:29:48.500Z,english_232.wav,0,0,1357,21,2,Chinese,f,3,0.3,48.81708847,0.4692084
WWH,16,0,2024-06-13T06:29:48.500Z,english_232.wav,0,0,1357,21,2,Chinese,f,4,0.32341667,14.83590121,0.46233459
WWH,17,0,2024-06-13T06:29:48.500Z,english_221.wav,0,1,1602,21,2,Chinese,f,0,0,85.84184869,1.38100565
WWH,17,0,2024-06-13T06:29:48.500Z,english_221.wav,0,1,1602,21,2,Chinese,f,1,0.1,-20.37513589,0.79531516
WWH,17,0,2024-06-13T06:29:48.500Z,english_221.wav,0,1,1602,21,2,Chinese,f,2,0.2,-89.75984637,0.9538446
WWH,17,0,2024-06-13T06:29:48.500Z,english_221.wav,0,1,1602,21,2,Chinese,f,3,0.3,50.66879934,1.56492426
WWH,17,0,2024-06-13T06:29:48.500Z,english_221.wav,0,1,1602,21,2,Chinese,f,4,0.32341667,20.92538743,1.60855456
WWH,18,0,2024-06-13T06:29:48.500Z,english_214.wav,0,0,2940,21,2,Chinese,f,0,0,58.82847816,1.81864401
WWH,18,0,2024-06-13T06:29:48.500Z,english_214.wav,0,0,2940,21,2,Chinese,f,1,0.1,87.26801489,0.97241975
WWH,18,0,2024-06-13T06:29:48.500Z,english_214.wav,0,0,2940,21,2,Chinese,f,2,0.2,-28.10234025,1.91423566
WWH,18,0,2024-06-13T06:29:48.500Z,english_214.wav,0,0,2940,21,2,Chinese,f,3,0.3,-36.12188516,1.71940232
WWH,18,0,2024-06-13T06:29:48.500Z,english_214.wav,0,0,2940,21,2,Chinese,f,4,0.32341667,-45.93983978,0.68694042
WWH,19,0,2024-06-13T06:29:48.500Z,english_436.wav,0,0,1811,21,2,Chinese,f,0,0,58.73131257,0.30497449
WWH,19,0,2024-06-13T06:29:48.500Z,english_436.wav,0,0,1811,21,2,Chinese,f,1,0.1,65.29204538,1.04665744
