subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
XUJIAJIE,0,0,2024-06-14T12:41:27.078Z,english_62.wav,0,0,2773,21,3,Chinese,f,0,0,17.28527913,1.12530616
XUJIAJIE,0,0,2024-06-14T12:41:27.078Z,english_62.wav,0,0,2773,21,3,Chinese,f,1,0.1,8.63936001,1.09357984
XUJIAJIE,0,0,2024-06-14T12:41:27.078Z,english_62.wav,0,0,2773,21,3,Chinese,f,2,0.2,-69.0074729,1.07648496
XUJIAJIE,0,0,2024-06-14T12:41:27.078Z,english_62.wav,0,0,2773,21,3,Chinese,f,3,0.3,-18.85502465,0.36768209
XUJIAJIE,0,0,2024-06-14T12:41:27.078Z,english_62.wav,0,0,2773,21,3,Chinese,f,4,0.32341667,59.46739627,0.39033463
XUJIAJIE,1,0,2024-06-14T12:41:27.078Z,english_941.wav,0,0,2087,21,3,Chinese,f,0,0,88.25484185,1.5236155
XUJIAJIE,1,0,2024-06-14T12:41:27.078Z,english_941.wav,0,0,2087,21,3,Chinese,f,1,0.1,29.23312353,0.93469446
XUJIAJIE,1,0,2024-06-14T12:41:27.078Z,english_941.wav,0,0,2087,21,3,Chinese,f,2,0.2,-73.60888885,0.44203051
XUJIAJIE,1,0,2024-06-14T12:41:27.078Z,english_941.wav,0,0,2087,21,3,Chinese,f,3,0.3,-38.35663254,1.28625712
XUJIAJIE,1,0,2024-06-14T12:41:27.078Z,english_941.wav,0,0,2087,21,3,Chinese,f,4,0.32341667,-37.21470774,1.264942
XUJIAJIE,2,0,2024-06-14T12:41:27.078Z,english_738.wav,0,0,1474,21,3,Chinese,f,0,0,-37.88087101,1.83397703
XUJIAJIE,2,0,2024-06-14T12:41:27.078Z,english_738.wav,0,0,1474,21,3,Chinese,f,1,0.1,-16.85966727,1.52099356
XUJIAJIE,2,0,2024-06-14T12:41:27.078Z,english_738.wav,0,0,1474,21,3,Chinese,f,2,0.2,-79.76891938,1.69283951
XUJIAJIE,2,0,2024-06-14T12:41:27.078Z,english_738.wav,0,0,1474,21,3,Chinese,f,3,0.3,-82.30918252,1.81957343
XUJIAJIE,2,0,2024-06-14T12:41:27.078Z,english_738.wav,0,0,1474,21,3,Chinese,f,4,0.32341667,59.65991076,0.75908376
XUJIAJIE,3,0,2024-06-14T12:41:27.078Z,english_760.wav,0,0,1161,21,3,Chinese,f,0,0,24.3902693,0.67210823
XUJIAJIE,3,0,2024-06-14T12:41:27.078Z,english_760.wav,0,0,1161,21,3,Chinese,f,1,0.1,-0.0247174936,1.89588113
XUJIAJIE,3,0,2024-06-14T12:41:27.078Z,english_760.wav,0,0,1161,21,3,Chinese,f,2,0.2,82.8662613,0.23432987
XUJIAJIE,3,0,2024-06-14T12:41:27.078Z,english_760.wav,0,0,1161,21,3,Chinese,f,3,0.3,-7.97314524,1.20797246
XUJIAJIE,3,0,2024-06-14T12:41:27.078Z,english_760.wav,0,0,1161,21,3,Chinese,f,4,0.323416667,-6.32438983,1.72866971
XUJIAJIE,4,0,2024-06-14T12:41:27.078Z,english_166.wav,0,0,2248,21,3,Chinese,f,0,0,37.27670025,1.42766663
XUJIAJIE,4,0,2024-06-14T12:41:27.078Z,english_166.wav,0,0,2248,21,3,Chinese,f,1,0.1,34.38847046,0.72731767
XUJIAJIE,4,0,2024-06-14T12:41:27.078Z,english_166.wav,0,0,2248,21,3,Chinese,f,2,0.2,49.91842175,1.80608275
XUJIAJIE,4,0,2024-06-14T12:41:27.078Z,english_166.wav,0,0,2248,21,3,Chinese,f,3,0.3,56.9541748,1.91598421
XUJIAJIE,4,0,2024-06-14T12:41:27.078Z,english_166.wav,0,0,2248,21,3,Chinese,f,4,0.32341667,10.97290623,1.21084105
XUJIAJIE,5,0,2024-06-14T12:41:27.078Z,english_247.wav,0,0,857,21,3,Chinese,f,0,0,48.65693284,0.25539499
XUJIAJIE,5,0,2024-06-14T12:41:27.078Z,english_247.wav,0,0,857,21,3,Chinese,f,1,0.1,-27.64572099,1.09429421
XUJIAJIE,5,0,2024-06-14T12:41:27.078Z,english_247.wav,0,0,857,21,3,Chinese,f,2,0.2,-20.19701808,0.88115619
XUJIAJIE,5,0,2024-06-14T12:41:27.078Z,english_247.wav,0,0,857,21,3,Chinese,f,3,0.3,-10.74442668,1.97859338
XUJIAJIE,5,0,2024-06-14T12:41:27.078Z,english_247.wav,0,0,857,21,3,Chinese,f,4,0.32341667,91.42432082,0.10638235
XUJIAJIE,6,0,2024-06-14T12:41:27.078Z,english_561.wav,0,0,675,21,3,Chinese,f,0,0,62.21065415,1.32725493
XUJIAJIE,6,0,2024-06-14T12:41:27.078Z,english_561.wav,0,0,675,21,3,Chinese,f,1,0.1,-9.84770717,1.15871491
XUJIAJIE,6,0,2024-06-14T12:41:27.078Z,english_561.wav,0,0,675,21,3,Chinese,f,2,0.2,-12.92274306,0.82816789
XUJIAJIE,6,0,2024-06-14T12:41:27.078Z,english_561.wav,0,0,675,21,3,Chinese,f,3,0.3,16.08334811,1.72308293
XUJIAJIE,6,0,2024-06-14T12:41:27.078Z,english_561.wav,0,0,675,21,3,Chinese,f,4,0.32341667,-22.38830035,0.72943893
XUJIAJIE,7,0,2024-06-14T12:41:27.078Z,english_501.wav,0,0,411,21,3,Chinese,f,0,0,-7.07122187,1.4737248
XUJIAJIE,7,0,2024-06-14T12:41:27.078Z,english_501.wav,0,0,411,21,3,Chinese,f,1,0.1,10.00250781,1.10212017
XUJIAJIE,7,0,2024-06-14T12:41:27.078Z,english_501.wav,0,0,411,21,3,Chinese,f,2,0.2,-21.98285256,1.65595948
XUJIAJIE,7,0,2024-06-14T12:41:27.078Z,english_501.wav,0,0,411,21,3,Chinese,f,3,0.3,46.16062549,0.64757112
XUJIAJIE,7,0,2024-06-14T12:41:27.078Z,english_501.wav,0,0,411,21,3,Chinese,f,4,0.32341667,41.01655214,0.36171009
XUJIAJIE,8,0,2024-06-14T12:41:27.078Z,english_905.wav,0,1,2759,21,3,Chinese,f,0,0,73.76258642,1.30259847
XUJIAJIE,8,0,2024-06-14T12:41:27.078Z,english_905.wav,0,1,2759,21,3,Chinese,f,1,0.1,49.84186991,0.15786419
XUJIAJIE,8,0,2024-06-14T12:41:27.078Z,english_905.wav,0,1,2759,21,3,Chinese,f,2,0.2,-84.55275191,0.47562292
XUJIAJIE,8,0,2024-06-14T12:41:27.078Z,english_905.wav,0,1,2759,21,3,Chinese,f,3,0.3,70.45460649,1.69272047
XUJIAJIE,8,0,2024-06-14T12:41:27.078Z,english_905.wav,0,1,2759,21,3,Chinese,f,4,0.32341667,-84.87734561,1.28570309
XUJIAJIE,9,0,2024-06-14T12:41:27.078Z,english_71.wav,0,0,456,21,3,Chinese,f,0,0,-89.06637534,0.37218892
XUJIAJIE,9,0,2024-06-14T12:41:27.078Z,english_71.wav,0,0,456,21,3,Chinese,f,1,0.1,-28.638437,1.29479557
XUJIAJIE,9,0,2024-06-14T12:41:27.078Z,english_71.wav,0,0,456,21,3,Chinese,f,2,0.2,-8.31899436,1.34818575
XUJIAJIE,9,0,2024-06-14T12:41:27.078Z,english_71.wav,0,0,456,21,3,Chinese,f,3,0.3,67.7820648,1.24266832
XUJIAJIE,9,0,2024-06-14T12:41:27.078Z,english_71.wav,0,0,456,21,3,Chinese,f,4,0.32341667,4.09606073,1.38884894
