subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
YRY,0,0,2024-06-14T12:14:29.686Z,english_753.wav,0,0,2481,23,4,Mandarin,f,0,0,38.61944715,0.75641923
YRY,0,0,2024-06-14T12:14:29.686Z,english_753.wav,0,0,2481,23,4,Mandarin,f,1,0.1,-76.3398938,1.17320485
YRY,0,0,2024-06-14T12:14:29.686Z,english_753.wav,0,0,2481,23,4,Mandarin,f,2,0.2,-80.92813522,0.63072958
YRY,0,0,2024-06-14T12:14:29.686Z,english_753.wav,0,0,2481,23,4,Mandarin,f,3,0.3,-16.48508052,1.96252246
YRY,0,0,2024-06-14T12:14:29.686Z,english_753.wav,0,0,2481,23,4,Mandarin,f,4,0.32341667,16.23487259,1.97125296
YRY,1,0,2024-06-14T12:14:29.686Z,english_111.wav,0,0,8405,23,4,Mandarin,f,0,0,43.12539807,1.84745579
YRY,1,0,2024-06-14T12:14:29.686Z,english_111.wav,0,0,8405,23,4,Mandarin,f,1,0.1,63.99665526,0.92577031
YRY,1,0,2024-06-14T12:14:29.686Z,english_111.wav,0,0,8405,23,4,Mandarin,f,2,0.2,86.04570556,0.31264784
YRY,1,0,2024-06-14T12:14:29.686Z,english_111.wav,0,0,8405,23,4,Mandarin,f,3,0.3,-25.76798659,0.89352032
YRY,1,0,2024-06-14T12:14:29.686Z,english_111.wav,0,0,8405,23,4,Mandarin,f,4,0.32341667,-36.14422463,0.32138535
YRY,2,0,2024-06-14T12:14:29.686Z,english_199.wav,0,0,7896,23,4,Mandarin,f,0,0,-24.89956817,0.07306367
YRY,2,0,2024-06-14T12:14:29.686Z,english_199.wav,0,0,7896,23,4,Mandarin,f,1,0.1,-48.49200931,0.10334581
YRY,2,0,2024-06-14T12:14:29.686Z,english_199.wav,0,0,7896,23,4,Mandarin,f,2,0.2,-89.66548778,1.49062114
YRY,2,0,2024-06-14T12:14:29.686Z,english_199.wav,0,0,7896,23,4,Mandarin,f,3,0.3,29.20785813,0.36717513
YRY,2,0,2024-06-14T12:14:29.686Z,english_199.wav,0,0,7896,23,4,Mandarin,f,4,0.32341667,-88.68286362,1.33179809
YRY,3,0,2024-06-14T12:14:29.686Z,english_297.wav,0,0,2669,23,4,Mandarin,f,0,0,43.84745313,1.28698197
YRY,3,0,2024-06-14T12:14:29.686Z,english_297.wav,0,0,2669,23,4,Mandarin,f,1,0.1,-76.77337823,0.55126404
YRY,3,0,2024-06-14T12:14:29.686Z,english_297.wav,0,0,2669,23,4,Mandarin,f,2,0.2,52.72097055,0.14077967
YRY,3,0,2024-06-14T12:14:29.686Z,english_297.wav,0,0,2669,23,4,Mandarin,f,3,0.3,-53.36684977,1.29889067
YRY,3,0,2024-06-14T12:14:29.686Z,english_297.wav,0,0,2669,23,4,Mandarin,f,4,0.32341667,81.15212258,1.30715655
YRY,4,0,2024-06-14T12:14:29.686Z,english_232.wav,0,0,3605,23,4,Mandarin,f,0,0,15.13134779,0.53160298
YRY,4,0,2024-06-14T12:14:29.686Z,english_232.wav,0,0,3605,23,4,Mandarin,f,1,0.1,-49.29605083,0.4519978
YRY,4,0,2024-06-14T12:14:29.686Z,english_232.wav,0,0,3605,23,4,Mandarin,f,2,0.2,59.10606455,0.39260156
YRY,4,0,2024-06-14T12:14:29.686Z,english_232.wav,0,0,3605,23,4,Mandarin,f,3,0.3,48.81708847,0.4692084
YRY,4,0,2024-06-14T12:14:29.686Z,english_232.wav,0,0,3605,23,4,Mandarin,f,4,0.32341667,14.83590121,0.46233459
YRY,5,0,2024-06-14T12:14:29.686Z,english_116.wav,0,1,959,23,4,Mandarin,f,0,0,47.3382154,1.30986561
YRY,5,0,2024-06-14T12:14:29.686Z,english_116.wav,0,1,959,23,4,Mandarin,f,1,0.1,-82.57412589,0.36649927
YRY,5,0,2024-06-14T12:14:29.686Z,english_116.wav,0,1,959,23,4,Mandarin,f,2,0.2,24.81754674,1.53598436
YRY,5,0,2024-06-14T12:14:29.686Z,english_116.wav,0,1,959,23,4,Mandarin,f,3,0.3,61.93416492,1.65694634
YRY,5,0,2024-06-14T12:14:29.686Z,english_116.wav,0,1,959,23,4,Mandarin,f,4,0.32341667,-97.8286579,0.40343631
YRY,6,0,2024-06-14T12:14:29.686Z,english_130.wav,0,0,7613,23,4,Mandarin,f,0,0,-27.4951122,0.83907871
YRY,6,0,2024-06-14T12:14:29.686Z,english_130.wav,0,0,7613,23,4,Mandarin,f,1,0.1,-38.07775804,1.38560413
YRY,6,0,2024-06-14T12:14:29.686Z,english_130.wav,0,0,7613,23,4,Mandarin,f,2,0.2,-9.69340922,0.50531735
YRY,6,0,2024-06-14T12:14:29.686Z,english_130.wav,0,0,7613,23,4,Mandarin,f,3,0.3,-88.09187015,0.53414674
YRY,6,0,2024-06-14T12:14:29.686Z,english_130.wav,0,0,7613,23,4,Mandarin,f,4,0.32341667,-47.45461314,1.10107345
YRY,7,0,2024-06-14T12:14:29.686Z,english_514.wav,0,1,3758,23,4,Mandarin,f,0,0,-61.65105701,1.12509033
YRY,7,0,2024-06-14T12:14:29.686Z,english_514.wav,0,1,3758,23,4,Mandarin,f,1,0.1,49.84264816,0.78701739
YRY,7,0,2024-06-14T12:14:29.686Z,english_514.wav,0,1,3758,23,4,Mandarin,f,2,0.2,14.14440898,0.37052689
YRY,7,0,2024-06-14T12:14:29.686Z,english_514.wav,0,1,3758,23,4,Mandarin,f,3,0.3,-30.10662908,1.42053426
YRY,7,0,2024-06-14T12:14:29.686Z,english_514.wav,0,1,3758,23,4,Mandarin,f,4,0.32341667,90.48337022,1.94621598
YRY,8,0,2024-06-14T12:14:29.686Z,english_40.wav,0,0,609,23,4,Mandarin,f,0,0,20.98315678,0.33544846
YRY,8,0,2024-06-14T12:14:29.686Z,english_40.wav,0,0,609,23,4,Mandarin,f,1,0.1,80.64974175,0.81764939
YRY,8,0,2024-06-14T12:14:29.686Z,english_40.wav,0,0,609,23,4,Mandarin,f,2,0.2,5.38930518,0.17548883
YRY,8,0,2024-06-14T12:14:29.686Z,english_40.wav,0,0,609,23,4,Mandarin,f,3,0.3,18.83593916,0.83674413
YRY,8,0,2024-06-14T12:14:29.686Z,english_40.wav,0,0,609,23,4,Mandarin,f,4,0.32341667,-14.62145671,0.80890384
YRY,9,0,2024-06-14T12:14:29.686Z,english_557.wav,0,1,634,23,4,Mandarin,f,0,0,43.94308994,0.38165316
YRY,9,0,2024-06-14T12:14:29.686Z,english_557.wav,0,1,634,23,4,Mandarin,f,1,0.1,84.77773598,1.19567933
YRY,9,0,2024-06-14T12:14:29.686Z,english_557.wav,0,1,634,23,4,Mandarin,f,2,0.2,-14.75143777,1.35103773
YRY,9,0,2024-06-14T12:14:29.686Z,english_557.wav,0,1,634,23,4,Mandarin,f,3,0.3,-37.76141322,1.69174007
YRY,9,0,2024-06-14T12:14:29.686Z,english_557.wav,0,1,634,23,4,Mandarin,f,4,0.32341667,-5.99076179,0.4334092
YRY,10,0,2024-06-14T12:14:29.686Z,english_100.wav,0,0,1307,23,4,Mandarin,f,0,0,-66.86198445,0.79522553
YRY,10,0,2024-06-14T12:14:29.686Z,english_100.wav,0,0,1307,23,4,Mandarin,f,1,0.1,32.23990363,0.27784591
YRY,10,0,2024-06-14T12:14:29.686Z,english_100.wav,0,0,1307,23,4,Mandarin,f,2,0.2,-63.31896149,1.76330212
YRY,10,0,2024-06-14T12:14:29.686Z,english_100.wav,0,0,1307,23,4,Mandarin,f,3,0.3,-73.00038049,0.60946618
