subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZH,0,0,2024-06-14T08:01:42.018Z,english_801.wav,0,0,4393,20,3,Chinese,f,0,0,66.50571345,0.19311528
ZH,0,0,2024-06-14T08:01:42.018Z,english_801.wav,0,0,4393,20,3,Chinese,f,1,0.1,-53.03260979,0.48683601
ZH,0,0,2024-06-14T08:01:42.018Z,english_801.wav,0,0,4393,20,3,Chinese,f,2,0.2,-3.89459646,1.16293258
ZH,0,0,2024-06-14T08:01:42.018Z,english_801.wav,0,0,4393,20,3,Chinese,f,3,0.3,8.32951864,1.55734707
ZH,0,0,2024-06-14T08:01:42.018Z,english_801.wav,0,0,4393,20,3,Chinese,f,4,0.32341667,-87.46806733,0.63471681
ZH,1,0,2024-06-14T08:01:42.018Z,english_998.wav,0,0,7115,20,3,Chinese,f,0,0,-57.03196796,0.0179282
ZH,1,0,2024-06-14T08:01:42.018Z,english_998.wav,0,0,7115,20,3,Chinese,f,1,0.1,-12.93623633,1.72217412
ZH,1,0,2024-06-14T08:01:42.018Z,english_998.wav,0,0,7115,20,3,Chinese,f,2,0.2,-24.63186366,0.91011795
ZH,1,0,2024-06-14T08:01:42.018Z,english_998.wav,0,0,7115,20,3,Chinese,f,3,0.3,-10.49750637,1.24282972
ZH,1,0,2024-06-14T08:01:42.018Z,english_998.wav,0,0,7115,20,3,Chinese,f,4,0.32341667,22.76793653,0.40520665
ZH,2,0,2024-06-14T08:01:42.018Z,english_52.wav,0,1,3473,20,3,Chinese,f,0,0,54.63859099,0.91426261
ZH,2,0,2024-06-14T08:01:42.018Z,english_52.wav,0,1,3473,20,3,Chinese,f,1,0.1,-85.67195477,1.20728413
ZH,2,0,2024-06-14T08:01:42.018Z,english_52.wav,0,1,3473,20,3,Chinese,f,2,0.2,2.4878885,0.71733995
ZH,2,0,2024-06-14T08:01:42.018Z,english_52.wav,0,1,3473,20,3,Chinese,f,3,0.3,86.13143505,1.54149443
ZH,2,0,2024-06-14T08:01:42.018Z,english_52.wav,0,1,3473,20,3,Chinese,f,4,0.32341667,-53.30399902,1.3376245
ZH,3,0,2024-06-14T08:01:42.018Z,english_677.wav,0,1,1734,20,3,Chinese,f,0,0,74.92499355,0.4070184
ZH,3,0,2024-06-14T08:01:42.018Z,english_677.wav,0,1,1734,20,3,Chinese,f,1,0.1,35.44886391,0.82737557
ZH,3,0,2024-06-14T08:01:42.018Z,english_677.wav,0,1,1734,20,3,Chinese,f,2,0.2,3.82146975,0.46436239
ZH,3,0,2024-06-14T08:01:42.018Z,english_677.wav,0,1,1734,20,3,Chinese,f,3,0.3,10.3543008,1.40426898
ZH,3,0,2024-06-14T08:01:42.018Z,english_677.wav,0,1,1734,20,3,Chinese,f,4,0.32341667,-53.94170103,1.42138659
ZH,4,0,2024-06-14T08:01:42.018Z,english_542.wav,0,1,1398,20,3,Chinese,f,0,0,-75.53633957,0.40538048
ZH,4,0,2024-06-14T08:01:42.018Z,english_542.wav,0,1,1398,20,3,Chinese,f,1,0.1,-65.83593262,1.98560632
ZH,4,0,2024-06-14T08:01:42.018Z,english_542.wav,0,1,1398,20,3,Chinese,f,2,0.2,-66.8010443,1.18970355
ZH,4,0,2024-06-14T08:01:42.018Z,english_542.wav,0,1,1398,20,3,Chinese,f,3,0.3,89.94318033,1.00543009
ZH,4,0,2024-06-14T08:01:42.018Z,english_542.wav,0,1,1398,20,3,Chinese,f,4,0.32341667,-28.80984484,1.15995836
ZH,5,0,2024-06-14T08:01:42.018Z,english_501.wav,0,0,1671,20,3,Chinese,f,0,0,-7.07122187,1.4737248
ZH,5,0,2024-06-14T08:01:42.018Z,english_501.wav,0,0,1671,20,3,Chinese,f,1,0.1,10.00250781,1.10212017
ZH,5,0,2024-06-14T08:01:42.018Z,english_501.wav,0,0,1671,20,3,Chinese,f,2,0.2,-21.98285256,1.65595948
ZH,5,0,2024-06-14T08:01:42.018Z,english_501.wav,0,0,1671,20,3,Chinese,f,3,0.3,46.16062549,0.64757112
ZH,5,0,2024-06-14T08:01:42.018Z,english_501.wav,0,0,1671,20,3,Chinese,f,4,0.32341667,41.01655214,0.36171009
ZH,6,0,2024-06-14T08:01:42.018Z,english_672.wav,0,0,907,20,3,Chinese,f,0,0,30.04022321,0.7872581
ZH,6,0,2024-06-14T08:01:42.018Z,english_672.wav,0,0,907,20,3,Chinese,f,1,0.1,-49.20146972,1.24822874
ZH,6,0,2024-06-14T08:01:42.018Z,english_672.wav,0,0,907,20,3,Chinese,f,2,0.2,68.57510342,1.0921985
ZH,6,0,2024-06-14T08:01:42.018Z,english_672.wav,0,0,907,20,3,Chinese,f,3,0.3,46.99705545,1.42682896
ZH,6,0,2024-06-14T08:01:42.018Z,english_672.wav,0,0,907,20,3,Chinese,f,4,0.32341667,-96.75951233,0.39437363
ZH,7,0,2024-06-14T08:01:42.018Z,english_897.wav,0,1,1453,20,3,Chinese,f,0,0,-6.17515852,1.45954458
ZH,7,0,2024-06-14T08:01:42.018Z,english_897.wav,0,1,1453,20,3,Chinese,f,1,0.1,-25.56252799,1.4662158
ZH,7,0,2024-06-14T08:01:42.018Z,english_897.wav,0,1,1453,20,3,Chinese,f,2,0.2,-51.51756482,1.09304129
ZH,7,0,2024-06-14T08:01:42.018Z,english_897.wav,0,1,1453,20,3,Chinese,f,3,0.3,-57.3776393,1.17713492
ZH,7,0,2024-06-14T08:01:42.018Z,english_897.wav,0,1,1453,20,3,Chinese,f,4,0.32341667,-65.82780913,1.23726335
ZH,8,0,2024-06-14T08:01:42.018Z,english_709.wav,0,0,1937,20,3,Chinese,f,0,0,-57.85840644,1.64294201
ZH,8,0,2024-06-14T08:01:42.018Z,english_709.wav,0,0,1937,20,3,Chinese,f,1,0.1,-9.03046344,1.39808038
ZH,8,0,2024-06-14T08:01:42.018Z,english_709.wav,0,0,1937,20,3,Chinese,f,2,0.2,-83.08592789,1.46645034
ZH,8,0,2024-06-14T08:01:42.018Z,english_709.wav,0,0,1937,20,3,Chinese,f,3,0.3,-30.28779026,1.11724372
ZH,8,0,2024-06-14T08:01:42.018Z,english_709.wav,0,0,1937,20,3,Chinese,f,4,0.32341667,-42.69418167,0.30195694
