subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZJY,0,0,2024-06-13T06:11:37.684Z,english_804.wav,0,0,3977,,,,,0,0,11.23319328,0.16159815
ZJY,0,0,2024-06-13T06:11:37.684Z,english_804.wav,0,0,3977,,,,,1,0.1,-75.15189859,1.76023076
ZJY,0,0,2024-06-13T06:11:37.684Z,english_804.wav,0,0,3977,,,,,2,0.2,5.39397939,0.7355024
ZJY,0,0,2024-06-13T06:11:37.684Z,english_804.wav,0,0,3977,,,,,3,0.3,42.92141331,1.74636497
ZJY,0,0,2024-06-13T06:11:37.684Z,english_804.wav,0,0,3977,,,,,4,0.32341667,-79.84726866,1.05562007
ZJY,1,0,2024-06-13T06:11:37.684Z,english_238.wav,0,0,2772,,,,,0,0,87.78466979,1.0750983
ZJY,1,0,2024-06-13T06:11:37.684Z,english_238.wav,0,0,2772,,,,,1,0.1,65.39287108,0.03626896
ZJY,1,0,2024-06-13T06:11:37.684Z,english_238.wav,0,0,2772,,,,,2,0.2,-38.39100082,1.9832234
ZJY,1,0,2024-06-13T06:11:37.684Z,english_238.wav,0,0,2772,,,,,3,0.3,-20.01297649,0.17604691
ZJY,1,0,2024-06-13T06:11:37.684Z,english_238.wav,0,0,2772,,,,,4,0.32341667,78.31880556,1.61383808
ZJY,2,0,2024-06-13T06:11:37.684Z,english_865.wav,0,0,1192,,,,,0,0,57.45647421,1.64387024
ZJY,2,0,2024-06-13T06:11:37.684Z,english_865.wav,0,0,1192,,,,,1,0.1,-62.30549211,0.05749027
ZJY,2,0,2024-06-13T06:11:37.684Z,english_865.wav,0,0,1192,,,,,2,0.2,-35.85649312,0.09554773
ZJY,2,0,2024-06-13T06:11:37.684Z,english_865.wav,0,0,1192,,,,,3,0.3,55.00701181,1.62598434
ZJY,2,0,2024-06-13T06:11:37.684Z,english_865.wav,0,0,1192,,,,,4,0.32341667,-39.97662747,0.71232625
ZJY,3,0,2024-06-13T06:11:37.684Z,english_343.wav,0,0,2104,,,,,0,0,-26.15456552,0.99905336
ZJY,3,0,2024-06-13T06:11:37.684Z,english_343.wav,0,0,2104,,,,,1,0.1,-4.26522308,0.59066439
ZJY,3,0,2024-06-13T06:11:37.684Z,english_343.wav,0,0,2104,,,,,2,0.2,55.3227334,1.69088488
ZJY,3,0,2024-06-13T06:11:37.684Z,english_343.wav,0,0,2104,,,,,3,0.3,-26.26518208,1.70645599
ZJY,3,0,2024-06-13T06:11:37.684Z,english_343.wav,0,0,2104,,,,,4,0.32341667,-18.3065251,0.13143106
ZJY,4,0,2024-06-13T06:11:37.684Z,english_180.wav,0,1,2482,,,,,0,0,-79.96502932,0.84610218
ZJY,4,0,2024-06-13T06:11:37.684Z,english_180.wav,0,1,2482,,,,,1,0.1,33.21752916,1.88919334
ZJY,4,0,2024-06-13T06:11:37.684Z,english_180.wav,0,1,2482,,,,,2,0.2,-97.52705813,0.18699196
ZJY,4,0,2024-06-13T06:11:37.684Z,english_180.wav,0,1,2482,,,,,3,0.3,42.51331828,0.0366283
ZJY,4,0,2024-06-13T06:11:37.684Z,english_180.wav,0,1,2482,,,,,4,0.32341667,-42.98571984,0.95813987
ZJY,5,0,2024-06-13T06:11:37.684Z,english_825.wav,0,1,2248,,,,,0,0,9.96211161,0.17252736
ZJY,5,0,2024-06-13T06:11:37.684Z,english_825.wav,0,1,2248,,,,,1,0.1,-28.44120521,0.52830291
ZJY,5,0,2024-06-13T06:11:37.684Z,english_825.wav,0,1,2248,,,,,2,0.2,58.95311712,0.51646024
ZJY,5,0,2024-06-13T06:11:37.684Z,english_825.wav,0,1,2248,,,,,3,0.3,-14.85414305,0.70859388
