subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZYX,0,0,2024-06-14T02:54:45.983Z,english_294.wav,0,1,8398,22,4,Chinese,f,0,0,-92.15775888,0.74816787
ZYX,0,0,2024-06-14T02:54:45.983Z,english_294.wav,0,1,8398,22,4,Chinese,f,1,0.1,71.96645866,1.71916745
ZYX,0,0,2024-06-14T02:54:45.983Z,english_294.wav,0,1,8398,22,4,Chinese,f,2,0.2,-25.46852775,1.7524902
ZYX,0,0,2024-06-14T02:54:45.983Z,english_294.wav,0,1,8398,22,4,Chinese,f,3,0.3,17.21488016,0.9780509
ZYX,0,0,2024-06-14T02:54:45.983Z,english_294.wav,0,1,8398,22,4,Chinese,f,4,0.32341667,-10.41176069,1.21177262
ZYX,1,0,2024-06-14T02:54:45.983Z,english_451.wav,0,1,2000,22,4,Chinese,f,0,0,-87.31297583,0.44823779
ZYX,1,0,2024-06-14T02:54:45.983Z,english_451.wav,0,1,2000,22,4,Chinese,f,1,0.1,-44.51362963,0.44678563
ZYX,1,0,2024-06-14T02:54:45.983Z,english_451.wav,0,1,2000,22,4,Chinese,f,2,0.2,-15.52945473,1.69444841
ZYX,1,0,2024-06-14T02:54:45.983Z,english_451.wav,0,1,2000,22,4,Chinese,f,3,0.3,11.70886435,0.18586344
ZYX,1,0,2024-06-14T02:54:45.983Z,english_451.wav,0,1,2000,22,4,Chinese,f,4,0.32341667,82.84342256,0.9677256
ZYX,2,0,2024-06-14T02:54:45.983Z,english_674.wav,0,0,679,22,4,Chinese,f,0,0,-38.60253285,0.25488683
ZYX,2,0,2024-06-14T02:54:45.983Z,english_674.wav,0,0,679,22,4,Chinese,f,1,0.1,46.14948962,1.80679583
ZYX,2,0,2024-06-14T02:54:45.983Z,english_674.wav,0,0,679,22,4,Chinese,f,2,0.2,-49.76414787,1.59420413
ZYX,2,0,2024-06-14T02:54:45.983Z,english_674.wav,0,0,679,22,4,Chinese,f,3,0.3,-66.16492387,1.25714797
ZYX,2,0,2024-06-14T02:54:45.983Z,english_674.wav,0,0,679,22,4,Chinese,f,4,0.32341667,28.37583826,1.20557216
ZYX,3,0,2024-06-14T02:54:45.983Z,english_914.wav,0,1,1663,22,4,Chinese,f,0,0,37.51857345,0.04486829
ZYX,3,0,2024-06-14T02:54:45.983Z,english_914.wav,0,1,1663,22,4,Chinese,f,1,0.1,-30.53068311,1.18486584
ZYX,3,0,2024-06-14T02:54:45.983Z,english_914.wav,0,1,1663,22,4,Chinese,f,2,0.2,-12.980452,1.58356311
ZYX,3,0,2024-06-14T02:54:45.983Z,english_914.wav,0,1,1663,22,4,Chinese,f,3,0.3,-99.09260462,1.35478251
ZYX,3,0,2024-06-14T02:54:45.983Z,english_914.wav,0,1,1663,22,4,Chinese,f,4,0.32341667,-34.91402533,1.16671671
ZYX,4,0,2024-06-14T02:54:45.983Z,english_824.wav,0,0,1337,22,4,Chinese,f,0,0,80.46503136,1.43025592
ZYX,4,0,2024-06-14T02:54:45.983Z,english_824.wav,0,0,1337,22,4,Chinese,f,1,0.1,-48.668347,0.89138167
ZYX,4,0,2024-06-14T02:54:45.983Z,english_824.wav,0,0,1337,22,4,Chinese,f,2,0.2,37.27765876,1.91281619
ZYX,4,0,2024-06-14T02:54:45.983Z,english_824.wav,0,0,1337,22,4,Chinese,f,3,0.3,-91.29945309,0.71335031
ZYX,4,0,2024-06-14T02:54:45.983Z,english_824.wav,0,0,1337,22,4,Chinese,f,4,0.32341667,14.46507007,0.89780818
ZYX,5,0,2024-06-14T02:54:45.983Z,english_190.wav,0,1,708,22,4,Chinese,f,0,0,81.66607819,0.126715216
ZYX,5,0,2024-06-14T02:54:45.983Z,english_190.wav,0,1,708,22,4,Chinese,f,1,0.1,-14.16938067,0.000178349903
ZYX,5,0,2024-06-14T02:54:45.983Z,english_190.wav,0,1,708,22,4,Chinese,f,2,0.2,15.7443745,1.35192229
ZYX,5,0,2024-06-14T02:54:45.983Z,english_190.wav,0,1,708,22,4,Chinese,f,3,0.3,85.77694093,1.08905811
ZYX,5,0,2024-06-14T02:54:45.983Z,english_190.wav,0,1,708,22,4,Chinese,f,4,0.32341667,33.21115004,1.75580408
ZYX,6,0,2024-06-14T02:54:45.983Z,english_37.wav,0,0,1339,22,4,Chinese,f,0,0,-5.54999706,1.12257854
ZYX,6,0,2024-06-14T02:54:45.983Z,english_37.wav,0,0,1339,22,4,Chinese,f,1,0.1,23.22206304,1.8669628
ZYX,6,0,2024-06-14T02:54:45.983Z,english_37.wav,0,0,1339,22,4,Chinese,f,2,0.2,-57.36481589,0.39386712
ZYX,6,0,2024-06-14T02:54:45.983Z,english_37.wav,0,0,1339,22,4,Chinese,f,3,0.3,58.0578648,1.21765674
ZYX,6,0,2024-06-14T02:54:45.983Z,english_37.wav,0,0,1339,22,4,Chinese,f,4,0.32341667,66.03280024,0.74428952
ZYX,7,0,2024-06-14T02:54:45.983Z,english_13.wav,0,1,1029,22,4,Chinese,f,0,0,85.79405153,0.93145275
ZYX,7,0,2024-06-14T02:54:45.983Z,english_13.wav,0,1,1029,22,4,Chinese,f,1,0.1,-22.00296346,0.69811424
ZYX,7,0,2024-06-14T02:54:45.983Z,english_13.wav,0,1,1029,22,4,Chinese,f,2,0.2,45.89988476,1.08090206
ZYX,7,0,2024-06-14T02:54:45.983Z,english_13.wav,0,1,1029,22,4,Chinese,f,3,0.3,-17.47250281,0.35305012
ZYX,7,0,2024-06-14T02:54:45.983Z,english_13.wav,0,1,1029,22,4,Chinese,f,4,0.32341667,-30.34546067,0.65915907
ZYX,8,0,2024-06-14T02:54:45.983Z,english_619.wav,0,1,321,22,4,Chinese,f,0,0,38.53351318,1.25542912
ZYX,8,0,2024-06-14T02:54:45.983Z,english_619.wav,0,1,321,22,4,Chinese,f,1,0.1,-11.21157995,0.83005785
ZYX,8,0,2024-06-14T02:54:45.983Z,english_619.wav,0,1,321,22,4,Chinese,f,2,0.2,29.79887689,1.51254928
ZYX,8,0,2024-06-14T02:54:45.983Z,english_619.wav,0,1,321,22,4,Chinese,f,3,0.3,48.6384615,0.37972577
ZYX,8,0,2024-06-14T02:54:45.983Z,english_619.wav,0,1,321,22,4,Chinese,f,4,0.32341667,-66.5905708,0.44889873
ZYX,9,0,2024-06-14T02:54:45.983Z,english_414.wav,0,0,269,22,4,Chinese,f,0,0,19.47839865,0.9434816
ZYX,9,0,2024-06-14T02:54:45.983Z,english_414.wav,0,0,269,22,4,Chinese,f,1,0.1,59.9490877,1.1146936
ZYX,9,0,2024-06-14T02:54:45.983Z,english_414.wav,0,0,269,22,4,Chinese,f,2,0.2,22.33981162,0.48476454
ZYX,9,0,2024-06-14T02:54:45.983Z,english_414.wav,0,0,269,22,4,Chinese,f,3,0.3,18.97426154,0.23554241
ZYX,9,0,2024-06-14T02:54:45.983Z,english_414.wav,0,0,269,22,4,Chinese,f,4,0.32341667,15.16306506,1.13007685
ZYX,10,0,2024-06-14T02:54:45.983Z,english_778.wav,0,1,552,22,4,Chinese,f,0,0,99.37283207,0.92158405
ZYX,10,0,2024-06-14T02:54:45.983Z,english_778.wav,0,1,552,22,4,Chinese,f,1,0.1,61.02900927,1.90392814
ZYX,10,0,2024-06-14T02:54:45.983Z,english_778.wav,0,1,552,22,4,Chinese,f,2,0.2,-43.89505842,0.34916702
ZYX,10,0,2024-06-14T02:54:45.983Z,english_778.wav,0,1,552,22,4,Chinese,f,3,0.3,-6.51139434,1.21087231
ZYX,10,0,2024-06-14T02:54:45.983Z,english_778.wav,0,1,552,22,4,Chinese,f,4,0.32341667,-98.37213751,0.72140227
ZYX,11,0,2024-06-14T02:54:45.983Z,english_357.wav,0,0,2,22,4,Chinese,f,0,0,76.35734026,1.14590216
ZYX,11,0,2024-06-14T02:54:45.983Z,english_357.wav,0,0,2,22,4,Chinese,f,1,0.1,-86.84267031,0.53472093
ZYX,11,0,2024-06-14T02:54:45.983Z,english_357.wav,0,0,2,22,4,Chinese,f,2,0.2,-64.6676431,0.54723503
ZYX,11,0,2024-06-14T02:54:45.983Z,english_357.wav,0,0,2,22,4,Chinese,f,3,0.3,-69.9472318,1.29334783
ZYX,11,0,2024-06-14T02:54:45.983Z,english_357.wav,0,0,2,22,4,Chinese,f,4,0.32341667,87.84988665,1.74725804
ZYX,12,0,2024-06-14T02:54:45.983Z,english_430.wav,0,1,142,22,4,Chinese,f,0,0,72.23510535,0.8682214
ZYX,12,0,2024-06-14T02:54:45.983Z,english_430.wav,0,1,142,22,4,Chinese,f,1,0.1,-9.56156918,0.26781202
ZYX,12,0,2024-06-14T02:54:45.983Z,english_430.wav,0,1,142,22,4,Chinese,f,2,0.2,36.71559936,1.38873793
ZYX,12,0,2024-06-14T02:54:45.983Z,english_430.wav,0,1,142,22,4,Chinese,f,3,0.3,-33.55254317,0.29076709
ZYX,12,0,2024-06-14T02:54:45.983Z,english_430.wav,0,1,142,22,4,Chinese,f,4,0.32341667,-25.71861109,0.30869259
ZYX,13,0,2024-06-14T02:54:45.983Z,english_441.wav,0,1,31,22,4,Chinese,f,0,0,-34.50722314,1.86415324
ZYX,13,0,2024-06-14T02:54:45.983Z,english_441.wav,0,1,31,22,4,Chinese,f,1,0.1,91.55175756,1.34062972
ZYX,13,0,2024-06-14T02:54:45.983Z,english_441.wav,0,1,31,22,4,Chinese,f,2,0.2,-74.07917439,1.20894222
ZYX,13,0,2024-06-14T02:54:45.983Z,english_441.wav,0,1,31,22,4,Chinese,f,3,0.3,82.08396891,0.00248362
ZYX,13,0,2024-06-14T02:54:45.983Z,english_441.wav,0,1,31,22,4,Chinese,f,4,0.32341667,13.2563292,0.67485278
ZYX,14,0,2024-06-14T02:54:45.983Z,english_478.wav,0,1,1023,22,4,Chinese,f,0,0,-70.9954821,0.91489342
ZYX,14,0,2024-06-14T02:54:45.983Z,english_478.wav,0,1,1023,22,4,Chinese,f,1,0.1,18.763036,1.0325944
ZYX,14,0,2024-06-14T02:54:45.983Z,english_478.wav,0,1,1023,22,4,Chinese,f,2,0.2,84.30682023,1.47139294
ZYX,14,0,2024-06-14T02:54:45.983Z,english_478.wav,0,1,1023,22,4,Chinese,f,3,0.3,96.70790152,0.31719256
ZYX,14,0,2024-06-14T02:54:45.983Z,english_478.wav,0,1,1023,22,4,Chinese,f,4,0.32341667,-65.75430749,1.1469235
ZYX,15,0,2024-06-14T02:54:45.983Z,english_331.wav,0,1,563,22,4,Chinese,f,0,0,12.66323204,1.93220763
