subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
ZZX,0,0,2024-06-13T15:11:31.085Z,english_298.wav,0,0,8727,21,5,Chinese,m,0,0,-71.75530507,0.91890611
ZZX,0,0,2024-06-13T15:11:31.085Z,english_298.wav,0,0,8727,21,5,Chinese,m,1,0.1,76.25876358,0.7322353
ZZX,0,0,2024-06-13T15:11:31.085Z,english_298.wav,0,0,8727,21,5,Chinese,m,2,0.2,11.95102224,0.50601445
ZZX,0,0,2024-06-13T15:11:31.085Z,english_298.wav,0,0,8727,21,5,Chinese,m,3,0.3,79.91037795,0.41160049
ZZX,0,0,2024-06-13T15:11:31.085Z,english_298.wav,0,0,8727,21,5,Chinese,m,4,0.32341667,30.12462174,0.81223035
ZZX,1,0,2024-06-13T15:12:21.047Z,english_554.wav,0,1,3388,21,5,Chinese,m,0,0,9.57607907,1.93967122
ZZX,1,0,2024-06-13T15:12:21.047Z,english_554.wav,0,1,3388,21,5,Chinese,m,1,0.1,29.37398753,1.74360796
ZZX,1,0,2024-06-13T15:12:21.047Z,english_554.wav,0,1,3388,21,5,Chinese,m,2,0.2,-58.71210794,0.37945994
ZZX,1,0,2024-06-13T15:12:21.047Z,english_554.wav,0,1,3388,21,5,Chinese,m,3,0.3,-10.7927705,1.56347046
ZZX,1,0,2024-06-13T15:12:21.047Z,english_554.wav,0,1,3388,21,5,Chinese,m,4,0.32341667,21.8128915,1.38248676
ZZX,2,0,2024-06-13T15:12:21.047Z,english_386.wav,0,1,2996,21,5,Chinese,m,0,0,74.56899624,1.79299743
ZZX,2,0,2024-06-13T15:12:21.047Z,english_386.wav,0,1,2996,21,5,Chinese,m,1,0.1,25.94107183,0.16071221
ZZX,2,0,2024-06-13T15:12:21.047Z,english_386.wav,0,1,2996,21,5,Chinese,m,2,0.2,41.2839149,0.21721497
ZZX,2,0,2024-06-13T15:12:21.047Z,english_386.wav,0,1,2996,21,5,Chinese,m,3,0.3,14.47866495,1.22036918
ZZX,2,0,2024-06-13T15:12:21.047Z,english_386.wav,0,1,2996,21,5,Chinese,m,4,0.32341667,-14.73959674,1.81871952
ZZX,3,0,2024-06-13T15:12:21.047Z,english_964.wav,0,1,2199,21,5,Chinese,m,0,0,11.04708611,0.74384055
ZZX,3,0,2024-06-13T15:12:21.047Z,english_964.wav,0,1,2199,21,5,Chinese,m,1,0.1,-10.67848967,0.46038505
ZZX,3,0,2024-06-13T15:12:21.047Z,english_964.wav,0,1,2199,21,5,Chinese,m,2,0.2,64.95328634,0.80934661
ZZX,3,0,2024-06-13T15:12:21.047Z,english_964.wav,0,1,2199,21,5,Chinese,m,3,0.3,-78.10341524,1.94282647
ZZX,3,0,2024-06-13T15:12:21.047Z,english_964.wav,0,1,2199,21,5,Chinese,m,4,0.32341667,-48.61651995,1.99482071
ZZX,4,0,2024-06-13T15:12:21.047Z,english_282.wav,0,0,2417,21,5,Chinese,m,0,0,0.76940706,0.32837311
ZZX,4,0,2024-06-13T15:12:21.047Z,english_282.wav,0,0,2417,21,5,Chinese,m,1,0.1,85.14494722,0.39977994
ZZX,4,0,2024-06-13T15:12:21.047Z,english_282.wav,0,0,2417,21,5,Chinese,m,2,0.2,-92.43433596,0.62065738
ZZX,4,0,2024-06-13T15:12:21.047Z,english_282.wav,0,0,2417,21,5,Chinese,m,3,0.3,-98.42888083,0.06200237
ZZX,4,0,2024-06-13T15:12:21.047Z,english_282.wav,0,0,2417,21,5,Chinese,m,4,0.32341667,-32.58662549,1.4193679
ZZX,5,0,2024-06-13T15:12:21.047Z,english_985.wav,0,1,3212,21,5,Chinese,m,0,0,31.76144354,0.46805505
ZZX,5,0,2024-06-13T15:12:21.047Z,english_985.wav,0,1,3212,21,5,Chinese,m,1,0.1,49.0534069,1.72857245
