subj,trial,block,date,stim,stim_order,response,rt,age,english,language,sex,param_index,segment,pitch,stretch
wxb_1027,0,0,2024-06-16T02:29:53.385Z,english_48.wav,0,1,4525,22,4,chinese,m,0,0,73.79399561,0.74385981
wxb_1027,0,0,2024-06-16T02:29:53.385Z,english_48.wav,0,1,4525,22,4,chinese,m,1,0.1,-6.33056249,1.05457567
wxb_1027,0,0,2024-06-16T02:29:53.385Z,english_48.wav,0,1,4525,22,4,chinese,m,2,0.2,-25.55346814,0.45493163
wxb_1027,0,0,2024-06-16T02:29:53.385Z,english_48.wav,0,1,4525,22,4,chinese,m,3,0.3,46.43305776,0.06513279
wxb_1027,0,0,2024-06-16T02:29:53.385Z,english_48.wav,0,1,4525,22,4,chinese,m,4,0.32341667,-46.56414761,0.46755714
wxb_1027,1,0,2024-06-16T02:29:53.385Z,english_16.wav,0,1,1608,22,4,chinese,m,0,0,-86.84797814,0.47796166
wxb_1027,1,0,2024-06-16T02:29:53.385Z,english_16.wav,0,1,1608,22,4,chinese,m,1,0.1,29.78439304,1.82902446
wxb_1027,1,0,2024-06-16T02:29:53.385Z,english_16.wav,0,1,1608,22,4,chinese,m,2,0.2,93.37667148,1.57835565
wxb_1027,1,0,2024-06-16T02:29:53.385Z,english_16.wav,0,1,1608,22,4,chinese,m,3,0.3,-84.28086854,0.98546729
wxb_1027,1,0,2024-06-16T02:29:53.385Z,english_16.wav,0,1,1608,22,4,chinese,m,4,0.32341667,-8.77302982,0.88950072
wxb_1027,2,0,2024-06-16T02:29:53.385Z,english_546.wav,0,1,1913,22,4,chinese,m,0,0,81.21590514,1.56657823
wxb_1027,2,0,2024-06-16T02:29:53.385Z,english_546.wav,0,1,1913,22,4,chinese,m,1,0.1,75.01018689,0.84038259
wxb_1027,2,0,2024-06-16T02:29:53.385Z,english_546.wav,0,1,1913,22,4,chinese,m,2,0.2,15.56226302,0.00684501
wxb_1027,2,0,2024-06-16T02:29:53.385Z,english_546.wav,0,1,1913,22,4,chinese,m,3,0.3,48.30886192,1.68157273
wxb_1027,2,0,2024-06-16T02:29:53.385Z,english_546.wav,0,1,1913,22,4,chinese,m,4,0.32341667,18.80923499,1.09409739
wxb_1027,3,0,2024-06-16T02:29:53.385Z,english_421.wav,0,1,2859,22,4,chinese,m,0,0,25.39012861,1.47358925
wxb_1027,3,0,2024-06-16T02:29:53.385Z,english_421.wav,0,1,2859,22,4,chinese,m,1,0.1,49.11153532,1.20920516
wxb_1027,3,0,2024-06-16T02:29:53.385Z,english_421.wav,0,1,2859,22,4,chinese,m,2,0.2,38.93723883,0.72174872
wxb_1027,3,0,2024-06-16T02:29:53.385Z,english_421.wav,0,1,2859,22,4,chinese,m,3,0.3,-9.34286459,0.24556907
wxb_1027,3,0,2024-06-16T02:29:53.385Z,english_421.wav,0,1,2859,22,4,chinese,m,4,0.32341667,-9.28476392,0.87006143
wxb_1027,4,0,2024-06-16T02:29:53.385Z,english_416.wav,0,1,1723,22,4,chinese,m,0,0,26.92040942,0.66708871
wxb_1027,4,0,2024-06-16T02:29:53.385Z,english_416.wav,0,1,1723,22,4,chinese,m,1,0.1,32.98463782,0.46140785
wxb_1027,4,0,2024-06-16T02:29:53.385Z,english_416.wav,0,1,1723,22,4,chinese,m,2,0.2,94.30298269,0.4311344
wxb_1027,4,0,2024-06-16T02:29:53.385Z,english_416.wav,0,1,1723,22,4,chinese,m,3,0.3,71.4008894,0.4522554
wxb_1027,4,0,2024-06-16T02:29:53.385Z,english_416.wav,0,1,1723,22,4,chinese,m,4,0.32341667,-13.61584313,0.23817019
wxb_1027,5,0,2024-06-16T02:29:53.385Z,english_135.wav,0,1,2434,22,4,chinese,m,0,0,92.53632507,0.8813083
wxb_1027,5,0,2024-06-16T02:29:53.385Z,english_135.wav,0,1,2434,22,4,chinese,m,1,0.1,42.68843281,1.60503348
wxb_1027,5,0,2024-06-16T02:29:53.385Z,english_135.wav,0,1,2434,22,4,chinese,m,2,0.2,87.27237188,0.22265806
wxb_1027,5,0,2024-06-16T02:29:53.385Z,english_135.wav,0,1,2434,22,4,chinese,m,3,0.3,-70.62725941,0.4233462
wxb_1027,5,0,2024-06-16T02:29:53.385Z,english_135.wav,0,1,2434,22,4,chinese,m,4,0.32341667,91.37204548,0.99500327
wxb_1027,6,0,2024-06-16T02:29:53.385Z,english_838.wav,0,1,1525,22,4,chinese,m,0,0,-46.43239877,0.57293762
wxb_1027,6,0,2024-06-16T02:29:53.385Z,english_838.wav,0,1,1525,22,4,chinese,m,1,0.1,-0.77549132,1.65450135
wxb_1027,6,0,2024-06-16T02:29:53.385Z,english_838.wav,0,1,1525,22,4,chinese,m,2,0.2,-47.56158581,0.30574951
